id,titles,un,public university,private university,business & finance,civil society,business,research,government,au_category,,,,,,,,,,,,,
1,"act on climate: steps to individual, community, and political action",,1,,,,,,,public university,,,,,,,,,,,,,
3,administrative records quality assessment tool (hecra),,,,,,,,1,government,,,,,,,,,,,,,
5,alianzas: un veh<ed>culo para lograr el desarrollo sostenible,,,,1,,,,,finance,,,,,,,,,,,,,
7,beyond the sdgs (sdgs): addressing sustainability and development,,1,,,,,,,public university,,,,,,,,,,,,,
8,biosphere 2 science for the future of our planet,,1,,,,,,,public university,,,,,,,,,,,,,
9,book club with jeffrey sachs,,,1,,,,,,private university, private university,,,,,,,,,,,,
10,calidad de registros administrativos,,,,,,,,1,government,,,,,,,,,,,,,
12,circular economy and the 2030 agenda,0.5,,,,0.5,,,,un, ngo,,,,,,,,,,,,
14,cities and the challenge of sustainable development,,,1,,,,,,private university,,,,,,,,,,,,,
16,climate action: solutions for a changing planet,0.125,0.125,0.125,0.125,0.125,,0.125,0.125, un, ngo, public university, public university, ngo, public university, business, government,private university, research  policy institutes, government, research  policy institutes, research  policy institutes, public university
17,climate adaptation in africa,,1,,,,,,,public university,,,,,,,,,,,,,
18,climate change and water in mountains: a global concern,,1,,,,,,,public university,,,,,,,,,,,,,
19,climate change mitigation in developing countries,,1,,,,,,,public university, public university,,,,,,,,,,,,
20,climate change science & negotiations,,,0.5,,0.5,,,,private university, ngo,,,,,,,,,,,,
21,climate change: the science and global impact,,1,,,,,,,public university,,,,,,,,,,,,,
23,communicating gender statistics,,,,,,,,1,government,,,,,,,,,,,,,
24,communicating statistics on women's economic empowerment,,,,,,,,1,government,,,,,,,,,,,,,
26,constructing producer price indexes and import and export price indexes,,,,,,,,1,government,,,,,,,,,,,,,
27,conversations with global leaders: leading on sustainable development,0.25,,0.25,,,0.25,,0.25, un, business, government,private university,,,,,,,,,,
28,data planning with adapt,,,,,,,,1,government,,,,,,,,,,,,,
29,designing a multidimensional poverty index,0.5,,,,,,,0.5, un,government,,,,,,,,,,,,
31,ecological and energy transitions in southern countries,,1,,,,,,,public university,,,,,,,,,,,,,
32,ecology: ecosystem dynamics and conservation,,,,,1,,,,cultural institution, ngo,,,,,,,,,,,,
33,economic indicators,,,,,,,,1,government,,,,,,,,,,,,,
36,el snieg de mxico,,,,,,,,1,government,,,,,,,,,,,,,
40,environmental management & ethics,,1,,,,,,,public university,,,,,,,,,,,,,
42,environmental security and sustaining peace,,,,,,,,, un, private university, ngo,private university, public university,,,,,,,,,
44,essential reading and understanding dhs program tables,,,,,,,,,government,,,,,,,,,,,,,
45,ethics in action,,,,,,,,,private university, ngo,,,,,,,,,,,,
50,evaluation of  public policies and programmes,,,,,,,,,government,,,,,,,,,,,,,
51,extractive sector: sustainability and development in latin america and the caribbean,,,,,,,,, un, un ngo, finance,private university,,,,,,,,,,
52,feeding a hungry planet,,,,,,,,,private university, private university, private university, private university, public university, business,,,,,,,,
58,from climate science to action,,,,,,,,,government,,,,,,,,,,,,,
59,from the ground up: managing our terrestrial ecosystems,,,,,,,,, un, public university,private university, ngo, public university,,,,,,,,,
60,frozen in the ice: exploring the arctic,,,,,,,,,public university,,,,,,,,,,,,,
61,fundamental principles of the official statistics,,,,,,,,,government,,,,,,,,,,,,,
62,geospatial information technology in fragile contexts,,,,,,,,,research  policy institutes,,,,,,,,,,,,,
63,getting a good deal: negotiating extractive industry contracts,,,,,,,,,government, ngo, private university, research  policy institutes,,,,,,,,,,
64,global energy and climate policy,,,,,,,,,public university, public university,,,,,,,,,,,,
65,global environmental management,,,,,,,,,public university,,,,,,,,,,,,,
66,global public health,,,,,,,,,public university, research  policy institutes, private university, ngo,,,,,,,,,,
67,global warming ii: create your own models in python,,,,,,,,,private university,,,,,,,,,,,,,
68,globalization: past and future,,,,,,,,,private university, un ngo,,,,,,,,,,,,
69,governance for transboundary freshwater security,,,,,,,,, un, government, public university, public university, research  policy institutes,government, public university, research  policy institutes, research  policy institutes, business,,,,
71,greening the economy: lessons from scandinavia,,,,,,,,,public university,,,,,,,,,,,,,
72,how to achieve the sdgs,,,,,,,,, un,private university,,,,,,,,,,,,
73,"human rights, environmental protection and climate change",,,,,,,,,research  policy institutes,,,,,,,,,,,,,
74,"human rights, human wrongs",,,,,,,,,public university,,,,,,,,,,,,,
76,industrial policy in the 21st century: the challenge for africa,,,,,,,,,research  policy institutes,,,,,,,,,,,,,
80,integrated economic statistics to support 2008 sna implementation,,,,,,,,, un,research  policy institutes,,,,,,,,,,,,
88,international criminal law and transitional justice,,,,,,,,,un, ngo,,,,,,,,,,,,
89,international law in the 21st century,,,,,,,,,research  policy institutes,,,,,,,,,,,,,
90,introduction to big data for sustainable development,,,,,,,,,research  policy institutes,,,,,,,,,,,,,
92,introduction to environmental law and policy,,,,,,,,,public university,,,,,,,,,,,,,
95,introduction to sustainability,,,,,,,,,public university,,,,,,,,,,,,,
97,introduction to the arctic: climate,,,,,,,,,public university,,,,,,,,,,,,,
101,labor market information: business establishment surveys,,,,,,,,,government,,,,,,,,,,,,,
102,labor market information: household labor force surveys,,,,,,,,,government,,,,,,,,,,,,,
104,laudato si<u+0092>: on care for our common home,,,,,,,,,private university, finance, cultural institution, cultural institution, ngo,,,,,,,,,
108,living heritage and sustainable development,,,,,,,,, un, private university, public university, public university, public university, public university, cultural institution, ngo, public university,private university, public university,,,
112,machine learning on satellite imagery,,,,,,,,,research  policy institutes,,,,,,,,,,,,,
113,macroeconomics for a sustainable planet,,,,,,,,,private university, government,,,,,,,,,,,,
115,master in anti-corruption and diplomacy,,,,,,,,,research  policy institutes,,,,,,,,,,,,,
117,measuring productivity,,,,,,,,,government,,,,,,,,,,,,,
118,measuring sustainable development,,,,,,,,,un ngo,,,,,,,,,,,,,
119,measuring sustainable development,,,,,,,,,un ngo, ngo,,,,,,,,,,,,
121,national metadata for sdgs,,,,,,,,,government,,,,,,,,,,,,,
122,national system of statistical and geographic information of mexico,,,,,,,,,government,,,,,,,,,,,,,
123,natural resources for sustainable development,,,,,,,,, un, ngo,private university, public university, ngo, private university, research  policy institutes, ngo,,,,,,
128,"one planet, one ocean",,,,,,,,,ngo, public university, ngo,,,,,,,,,,,
130,"our earth: its climate, history, and processes",,,,,,,,,public university,,,,,,,,,,,,,
131,our earth's future,,,,,,,,,cultural institution,,,,,,,,,,,,,
132,our energy future,,,,,,,,,public university,,,,,,,,,,,,,
133,partnerships: a vehicle for sustainable development,,,,,,,,,un ngo, finance,,,,,,,,,,,,
135,planetary boundaries and human opportunities,,,,,,,,,public university, research  policy institutes, public university,,,,,,,,,,,
136,planning for climate change in african cities,,,,,,,,,public university, government, public university, government,,,,,,,,,,
137,policy coherence and systems thinking for sustainable development,,,,,,,,,un, private university, government,,,,,,,,,,,
138,policy coherence for sustainable development,,,,,,,,, un, private university, government, un ngo,private university,,,,,,,,,
140,"policy cycle, integrated approaches and sdgs for african ldcs",,,,,,,,, un,research  policy institutes,,,,,,,,,,,,
143,principles of sustainable finance,,,,,,,,,public university,,,,,,,,,,,,,
148,questionnaire development and testing,,,,,,,,,government,,,,,,,,,,,,,
149,raising ambition - how to set science-based targets aligning with 1.5c pathways,,,,,,,,,un, business,,,,,,,,,,,,
150,regulations of the national system of statistical and geographic information,,,,,,,,,government,,,,,,,,,,,,,
163,sdg lab toolkit,,,,,,,,,un, ngo,,,,,,,,,,,,
164,sdg primer,,,,,,,,,un, ngo,,,,,,,,,,,,
166,sector extractivo: sostenibilidad y desarrollo en am<e9>rica latina y el caribe,,,,,,,,,private university, ngo, public university, finance,,,,,,,,,,
174,social indicators for public policies and programmes,,,,,,,,,government,,,,,,,,,,,,,
175,social protection for sustainable development,,,,,,,,,un, research  policy institutes,,,,,,,,,,,,
176,statistical methods for correcting selection bias,,,,,,,,,research  policy institutes,,,,,,,,,,,,,
181,survey skills development course,,,,,,,,,government,,,,,,,,,,,,,
182,"sustainable business: big issues, big changes",,,,,,,,,public university,,,,,,,,,,,,,
183,sustainable cities,,,,,,,,, un, private university, public university, public university, private university,government, private university, research  policy institutes, government, public university, research  policy institutes, ngo,,
184,sustainable development: the post-capitalist order,,,,,,,,,private university,,,,,,,,,,,,,
185,sustainable food systems: a mediterranean perspective,,,,,,,,,public university, public university, private university, public university, private university, research  policy institutes, public university, public university, public university, public university, public university, ngo,,
186,system dynamics-based development planning,,,,,,,,,public university, research  policy institutes,,,,,,,,,,,,
189,tech for good: the role of ict in achieving the sdgs,,,,,,,,, un, private university,private university, public university,, ngo, research  policy institutes,, government,,,,,
190,the age of sustainable development,,,,,,,,,private university,,,,,,,,,,,,,
191,the best start in life: early childhood development for sustainable development,,,,,,,,,private university, private university,,,,,,,,,,,,
193,the korean story: secrets of an economic miracle,,,,,,,,,research  policy institutes, private university, government, private university, public university, public university, government, government,,,,,,
195,the sdg primer,,,,,,,,,un, un ngo,,,,,,,,,,,,
196,"the sdgs  a global, transdisciplinary vision for the future",,,,,,,,,public university,,,,,,,,,,,,,
197,the turn: from reactionary populism to a progressive alternative,,,,,,,,,private university, private university,,,,,,,,,,,,
203,transforming development: the science and practice of resilience thinking,,,,,,,,,research  policy institutes, public university,,,,,,,,,,,,
204,transforming our world: achieving the sdgs,,,,,,,,,private university,,,,,,,,,,,,,
