,titles,au_category
1,"act on climate: steps to individual, community, and political action",public university
2,adaptation funding,NA
3,administrative records quality assessment tool (hecra),NA
4,air quality management,NA
5,alianzas: un veh<ed>culo para lograr el desarrollo sostenible,finance
6,anti-corruption in the context of the 2030 agenda,"un, un"
7,beyond the sdgs (sdgs): addressing sustainability and development,public university
8,biosphere 2 science for the future of our planet,public university
9,book club with jeffrey sachs,"private university, private university"
10,calidad de registros administrativos,NA
11,changingmindsets in public institutions to implement the 2030 agenda for sustainable development<u+200b>,NA
12,circular economy and the 2030 agenda,"un, un, ngo, un"
13,cities and marine plastic pollution: building a circular economy,un
14,cities and the challenge of sustainable development,private university
15,civil registration and vital statistics systems,NA
16,climate action: solutions for a changing planet,"private university, ngo, public university, public university, ngo, public university, business, government, un, research  policy institutes, government, research  policy institutes, research  policy institutes, public university"
17,climate adaptation in africa,public university
18,climate change and water in mountains: a global concern,public university
19,climate change mitigation in developing countries,"public university, public university"
20,climate change science & negotiations,"private university, ngo"
21,climate change: the science and global impact,public university
22,climate mitigation initiatives,NA
23,communicating gender statistics,NA
24,communicating statistics on women's economic empowerment,NA
25,compilation and application of environmentally extended supply-use tables,un
26,constructing producer price indexes and import and export price indexes,NA
27,conversations with global leaders: leading on sustainable development,"private university, business, government, government, un"
28,data planning with adapt,NA
29,designing a multidimensional poverty index,"government, un"
30,digit4sd: digital government implementation,NA
31,e-government for womens empowerment <u+200b>,NA
32,e-learning on gender statistics,un
33,e-learning series on public-private partnerships,un
34,e-training on gdp re-basing,un
35,e-training on gender statistics,un
36,e-training on the compilation and application of supply-use tables (suts) in afr,un
37,e-training on the framework for development of environmental statistics (fdes),un
38,ecological and energy transitions in southern countries,NA
39,ecology: ecosystem dynamics and conservation,"cultural institution, ngo"
40,economic indicators,NA
41,effective national to local public governance for sdg implementation,NA
42,el snieg de mxico,NA
43,ensuring womens legal rights to land ownership and/or control,NA
44,environmental management & ethics,public university
45,environmental sdg indicators,"un, un"
46,environmental security and sustaining peace,"private university, private university, ngo, un, public university"
47,equip,un
48,essential reading and understanding dhs program tables,government
49,ethics in action,"private university, ngo"
50,evaluation of  public policies and programmes,NA
51,extractive sector: sustainability and development in latin america and the caribbean,NA
52,feeding a hungry planet,"private university, private university, private university, private university, public university, business"
53,financing in health,NA
54,fisheries and aquaculture statistics,un
55,follow-up and review (fur) and the voluntary national review (vnr),un
56,"foresight for development, the 2030 agenda and the sdgs","un, un"
57,"formation introductive sur la jeunesse, la paix et la scurit",NA
58,from climate science to action,government
59,from the ground up: managing our terrestrial ecosystems,"private university, public university, un, ngo, public university"
60,frozen in the ice: exploring the arctic,public university
61,fundamental principles of the official statistics,NA
62,geospatial information technology in fragile contexts,research  policy institutes
63,getting a good deal: negotiating extractive industry contracts,"government, ngo, private university, research  policy institutes"
64,global energy and climate policy,"public university, public university"
65,global environmental management,public university
66,global public health,"public university, research  policy institutes, private university, ngo"
67,global warming ii: create your own models in python,private university
68,globalization: past and future,"private university, un ngo"
69,governance for transboundary freshwater security,"government, government, public university, public university, research  policy institutes, un, public university, research  policy institutes, research  policy institutes, business"
70,government innovation for social inclusion of vulnerable groups,NA
71,greening the economy: lessons from scandinavia,public university
72,how to achieve the sdgs,"private university, un"
73,"human rights, environmental protection and climate change",research  policy institutes
74,"human rights, human wrongs",public university
75,ilo labour market statistics and analysis academy,un
76,industrial policy in the 21st century: the challenge for africa,NA
77,infrastructure asset management for sustainable development,"un, un"
78,"infrastructure, public-private partnerships, and fiscal management",NA
79,innovation and digital government for public service delivery <u+200b>,NA
80,integrated economic statistics to support 2008 sna implementation,"research  policy institutes, un"
81,integrated policies and policy coherence for sdgs,"un, un, un"
82,integrated policies and policy coherence for the sdgs,NA
83,integrated recovery planning and policy coherence towards the sdgs,"un, un"
84,integrating climate risk information into naps,"un, un, un"
85,integration of the sdgs into national planning,NA
86,international business alliance,un
87,international criminal law and transitional justice,"un, ngo"
88,international law in the 21st century,research  policy institutes
89,introduction to big data for sustainable development,research  policy institutes
90,introduction to data governance for monitoring the sdgs,un
91,introduction to environmental law and policy,public university
92,introduction to index insurance,NA
93,introduction to standards and sustainability,NA
94,introduction to sustainability,public university
95,introduction to sustainable development goal indicators under fao custodianship,un
96,introduction to the arctic: climate,public university
97,introduction to the seea central framework,un
98,"introductory training on youth, peace and security",NA
99,labor market information: business establishment surveys,NA
100,labor market information: household labor force surveys,NA
101,labour productivity and income of small-scale food producers,un
102,laudato si<u+0092>: on care for our common home,"private university, finance, cultural institution, cultural institution, ngo"
103,law of international organizations  extended edition,NA
104,law of treaties  extended edition,NA
105,leip,"un, un"
106,living heritage and sustainable development,"private university, private university, public university, public university, public university, public university, cultural institution, ngo, public university, un, public university"
107,m.a. development studies and diplomacy,"un, un"
108,m.a. in international law and diplomacy,"un, un"
109,ma development studies and diplomacy,"un, un"
110,machine learning on satellite imagery,research  policy institutes
111,macroeconomics for a sustainable planet,"private university, government"
112,"manual bsico sobre la juventud, la paz y la seguridad",NA
113,master in anti-corruption and diplomacy,research  policy institutes
114,master in international affairs and diplomacy,un
115,measuring productivity,NA
116,measuring sustainable development,"un ngo, ngo"
117,national disaster risk reduction strategies,un
118,national metadata for sdgs,NA
119,national system of statistical and geographic information of mexico,NA
120,natural resources for sustainable development,"private university, ngo, un, public university, ngo, private university, research  policy institutes, ngo"
121,nature-based solutions for disaster and climate resilience,un
122,normativa del snieg de mxico,NA
123,"o guia de iniciao de juventude, paz e segurana",NA
124,official statistics for sdgs,un
125,"one planet, one ocean","ngo, public university, ngo"
126,online diploma in multilateral diplomacy 2022  edition 2,NA
127,our earth's future,cultural institution
128,"our earth: its climate, history, and processes",public university
129,our energy future,public university
130,partnerships: a vehicle for sustainable development,NA
131,plan-cadre de coopration des nations unies pour le dveloppement durable,NA
132,planetary boundaries and human opportunities,"public university, research  policy institutes, public university"
133,planning for climate change in african cities,"public university, government, public university, government"
134,policy coherence and systems thinking for sustainable development,NA
135,policy coherence for sustainable development,"private university, un, private university, government, un ngo"
136,"policy cycle, integrated approaches and sdgs",un
137,"policy cycle, integrated approaches and sdgs for african ldcs","research  policy institutes, un"
138,poverty statistics for sdgs,un
139,preparing for action national briefing package: the 2030 agenda and sdgs,NA
140,principles of sustainable finance,public university
141,programming for child feeding,NA
142,public-private-partnerships (ppp),NA
143,public-private partnerships,NA
144,public financial management,NA
145,questionnaire development and testing,NA
146,raising ambition - how to set science-based targets aligning with 1.5c pathways,NA
147,regulations of the national system of statistical and geographic information,NA
148,remote training on phone surveys,NA
149,risk-informed governance and innovative technology for disaster risk reduction and resilience <u+200b>,NA
150,sdg indicator 14.4.1 - fish stocks sustainability,un
151,sdg indicator 14.b.1 - securing sustainable small-scale fisheries,un
152,sdg indicator 2.1.1 - prevalence of undernourishment (pou),un
153,sdg indicator 2.1.2 - using the food insecurity experience scale (fies),un
154,sdg indicator 2.4.1 - sustainable agriculture,un
155,sdg indicator 2.a.1  agriculture orientation index,NA
156,sdg indicator 2.c.1 - food price anomalies,un
157,sdg indicator 5.a.1 - equal tenure rights for women on agricultural land,un
158,sdg indicators 15.1.1 and 15.2.1 - forest area and sustainable forest management,un
159,sdg indicators 2.5.1 and 2.5.2 - plant and animal genetic resources,un
160,sdg lab toolkit,"un, un, ngo"
161,sdg primer,"un, un, ngo, un"
162,sdg sub-indicator 12.3.1.a  food loss index,NA
163,sector extractivo: sostenibilidad y desarrollo en am<e9>rica latina y el caribe,"private university, ngo, public university, finance"
164,seea experimental ecosystem accounting,un
165,seea for policy makers,NA
166,seea: in-depth training on water accounting,un
167,seea: in depth training on energy accounting,un
168,social indicators for public policies and programmes,NA
169,social protection for sustainable development,"un, research  policy institutes, un"
170,statistical methods for correcting selection bias,research  policy institutes
171,strategic planning for territorial development and the 2030 agenda,un
172,strengthening institutional arrangements and governance capacities for policy coherence<u+200b>,NA
173,strengthening stakeholder engagement for the 2030 agenda,"un, un"
174,survey skills development course,NA
175,"sustainable business: big issues, big changes",public university
176,sustainable cities,"government, private university, public university, public university, private university, un, private university, research  policy institutes, government, public university, research  policy institutes, ngo"
177,sustainable development: the post-capitalist order,private university
178,sustainable food systems: a mediterranean perspective,"public university, public university, private university, public university, private university, research  policy institutes, public university, public university, public university, public university, public university, ngo"
179,system dynamics-based development planning,"public university, research  policy institutes"
180,taking the entrepreneurship route,NA
181,tech for good: the role of ict in achieving the sdgs,"private university, un, private university, un, public university, un, ngo, research  policy institutes, ngo, government, un, un"
182,the age of sustainable development,private university
183,the best start in life: early childhood development for sustainable development,"private university, private university"
184,the gender statistics toolkit,"un, un"
185,the korean story: secrets of an economic miracle,"research  policy institutes, private university, government, private university, public university, public university, government, government"
186,the paris agreement on climate change as a development agenda,NA
187,the sdg primer,NA
188,"the sdgs  a global, transdisciplinary vision for the future",NA
189,the turn: from reactionary populism to a progressive alternative,"private university, private university"
190,the un country team leadership course,NA
