id,titles,au_category
1,"act on climate: steps to individual, community, and political action",public university
3,administrative records quality assessment tool (hecra),government
5,alianzas: un veh<ed>culo para lograr el desarrollo sostenible,research  business
7,beyond the sdgs (sdgs): addressing sustainability and development,public university
8,biosphere 2 science for the future of our planet,public university
9,book club with jeffrey sachs,"private university, private university"
10,calidad de registros administrativos,government
12,circular economy and the 2030 agenda,"un, un, civil society, un"
14,cities and the challenge of sustainable development,private university
16,climate action: solutions for a changing planet,"private university, civil society, public university, public university, civil society, public university, business, government, un, research  business, government, research  business, research  business, public university"
17,climate adaptation in africa,public university
18,climate change and water in mountains: a global concern,public university
19,climate change mitigation in developing countries,"public university, public university"
20,climate change science & negotiations,"private university, civil society"
21,climate change: the science and global impact,public university
23,communicating gender statistics,government
24,communicating statistics on women's economic empowerment,government
26,constructing producer price indexes and import and export price indexes,government
27,conversations with global leaders: leading on sustainable development,"private university, business, government, government, un"
28,data planning with adapt,government
29,designing a multidimensional poverty index,"government, un"
31,ecological and energy transitions in southern countries,public university
32,ecology: ecosystem dynamics and conservation,"civil society, civil society"
33,economic indicators,government
36,el snieg de mxico,government
40,environmental management & ethics,public university
42,environmental security and sustaining peace,"private university, private university, civil society, un, public university"
44,essential reading and understanding dhs program tables,government
45,ethics in action,"private university, civil society"
50,evaluation of  public policies and programmes,government
51,extractive sector: sustainability and development in latin america and the caribbean,"private university, civil society, un, research  business"
52,feeding a hungry planet,"private university, private university, private university, private university, public university, business"
58,from climate science to action,government
59,from the ground up: managing our terrestrial ecosystems,"private university, public university, un, civil society, public university"
60,frozen in the ice: exploring the arctic,public university
61,fundamental principles of the official statistics,government
62,geospatial information technology in fragile contexts,research  business
63,getting a good deal: negotiating extractive industry contracts,"government, civil society, private university, research  business"
64,global energy and climate policy,"public university, public university"
65,global environmental management,public university
66,global public health,"public university, research  business, private university, civil society"
67,global warming ii: create your own models in python,private university
68,globalization: past and future,"private university, civil society"
69,governance for transboundary freshwater security,"government, government, public university, public university, research  business, un, public university, research  business, research  business, business"
71,greening the economy: lessons from scandinavia,public university
72,how to achieve the sdgs,"private university, un"
73,"human rights, environmental protection and climate change",research  business
74,"human rights, human wrongs",public university
76,industrial policy in the 21st century: the challenge for africa,research  business
80,integrated economic statistics to support 2008 sna implementation,"research  business, un"
88,international criminal law and transitional justice,"un, civil society"
89,international law in the 21st century,research  business
90,introduction to big data for sustainable development,research  business
92,introduction to environmental law and policy,public university
95,introduction to sustainability,public university
97,introduction to the arctic: climate,public university
101,labor market information: business establishment surveys,government
102,labor market information: household labor force surveys,government
104,laudato si<u+0092>: on care for our common home,"private university, research  business, civil society, civil society, civil society"
108,living heritage and sustainable development,"private university, private university, public university, public university, public university, public university, civil society, civil society, public university, un, public university"
112,machine learning on satellite imagery,research  business
113,macroeconomics for a sustainable planet,"private university, government"
115,master in anti-corruption and diplomacy,research  business
117,measuring productivity,government
118,measuring sustainable development,civil society
119,measuring sustainable development,"civil society, civil society"
121,national metadata for sdgs,government
122,national system of statistical and geographic information of mexico,government
123,natural resources for sustainable development,"private university, civil society, un, public university, civil society, private university, research  business, civil society"
128,"one planet, one ocean","civil society, public university, civil society"
130,"our earth: its climate, history, and processes",public university
131,our earth's future,civil society
132,our energy future,public university
133,partnerships: a vehicle for sustainable development,"civil society, research  business"
135,planetary boundaries and human opportunities,"public university, research  business, public university"
136,planning for climate change in african cities,"public university, government, public university, government"
137,policy coherence and systems thinking for sustainable development,"un, private university, government"
138,policy coherence for sustainable development,"private university, un, private university, government, civil society"
140,"policy cycle, integrated approaches and sdgs for african ldcs","research  business, un"
143,principles of sustainable research  business,public university
148,questionnaire development and testing,government
149,raising ambition - how to set science-based targets aligning with 1.5c pathways,"un, business"
150,regulations of the national system of statistical and geographic information,government
163,sdg lab toolkit,"un, un, civil society"
164,sdg primer,"un, un, civil society, un"
166,sector extractivo: sostenibilidad y desarrollo en am<e9>rica latina y el caribe,"private university, civil society, public university, research  business"
174,social indicators for public policies and programmes,government
175,social protection for sustainable development,"un, research  business, un"
176,statistical methods for correcting selection bias,research  business
181,survey skills development course,government
182,"sustainable business: big issues, big changes",public university
183,sustainable cities,"government, private university, public university, public university, private university, un, private university, research  business, government, public university, research  business, civil society"
184,sustainable development: the post-capitalist order,private university
185,sustainable food systems: a mediterranean perspective,"public university, public university, private university, public university, private university, research  business, public university, public university, public university, public university, public university, civil society"
186,system dynamics-based development planning,"public university, research  business"
189,tech for good: the role of ict in achieving the sdgs,"private university, un, private university, un, public university, un, civil society, research  business, civil society, government, un, un"
190,the age of sustainable development,private university
191,the best start in life: early childhood development for sustainable development,"private university, private university"
193,the korean story: secrets of an economic miracle,"research  business, private university, government, private university, public university, public university, government, government"
195,the sdg primer,"un, civil society"
196,"the sdgs  a global, transdisciplinary vision for the future",public university
197,the turn: from reactionary populism to a progressive alternative,"private university, private university"
203,transforming development: the science and practice of resilience thinking,"research  business, public university"
204,transforming our world: achieving the sdgs,private university
210,understanding poverty and inequality,"research  business, civil society, public university, civil society, private university, un, public university, public university, research  business, civil society"
215,unleashing the power of the private sector for the 2030 agenda - 2021,research  business
216,water: addressing the global crisis,"research  business, un, civil society, civil society, un"
217,web data collection and analysis,research  business
218,work and employment for a sustainable future,"private university, private university, private university, un, public university, public university, civil society"
