id,titles,category,description,major_categ,au_category
2,adaptation funding,reflexivity and adaptation,e learning course introduces participants concepts facets adaptation fund af accreditation process also provides overview requirements comply fund s environmental social policy esp gender policy gp direct access unlock adaptation funding e learning course important tool capacity building national subnational level tackles specific challenges opportunities associated direct access modality particular capacity gaps financial management fiduciary standards environmental social gender standards mitigation factors accreditation section introduces participants definition designated authority role nominating entity apply accreditation adaptation fund also provides overview adaptation fund fiduciary standards ways apply different types accreditation processes finally section also includes steps governing bodies involved regular accreditation process esp gp considerations section introduces participants fund s projects programme approval process compliance fund s esp gp esp risk identification process requirements elements robust consultative process grievance mechanism environmental social management plan esmp including monitoring reporting evaluation requirements relevant esp gp compliance af funding templates e learning course introduces participants concepts facets adaptation fund af accreditation process also provides overview requirements comply fund s environmental social policy esp gender policy gp direct access unlock adaptation funding e learning course important tool capacity building national subnational level tackles specific challenges opportunities associated direct access modality particular capacity gaps financial management fiduciary standards environmental social gender standards mitigation factors accreditation section introduces participants definition designated authority role nominating entity apply accreditation adaptation fund also provides overview adaptation fund fiduciary standards ways apply different types accreditation processes finally section also includes steps governing bodies involved regular accreditation process esp gp considerations section introduces participants fund s projects programme approval process compliance fund s esp gp esp risk identification process requirements elements robust consultative process grievance mechanism environmental social management plan esmp including monitoring reporting evaluation requirements relevant esp gp compliance af funding templates target audience government officials adaptation fund designated authorities adaptation fund national implementing entities focal points international organizations non governmental organizations ngos private sector relevant stakeholders government officials adaptation fund designated authorities adaptation fund national implementing entities focal points international organizations non governmental organizations ngos private sector relevant stakeholders learning objectives completion course participants  able successfully acquaint adaptation fund requirements accreditation fund s esp requirements project formulation implementation intended help recipients design implement sustainable projects avoid adverse impacts people environment help increase benefits completion course participants  able successfully acquaint adaptation fund requirements accreditation fund s esp requirements project formulation implementation intended help recipients design implement sustainable projects avoid adverse impacts people environment help increase benefits,4,un
4,air quality management,reflexivity and adaptation,air pollution become major challenge global health latest estimates global burden disease project suggesting 2015 nearly six one half million people died prematurely either air pollution outdoor environment air pollution associated use solid biofuels cooking heating homes unfortunately deaths now occurring developing world world bank moving address major public health challenge environmental health pollution management business line launch <U+613C><U+3E30>pollution management environmental health<U+613C><U+3E30> pmeh <U+613C><U+3E30>multi donor trust fund pilot programs demonstrate improve air quality specific cities research improve understanding air pollution prevalent learning products online e learning course <U+613C><U+3E30>air quality management series courses created development professionals government officials partners want learn fundamentals air quality management planning successful air quality management programs can reduce emissions lead air pollution simultaneously providing development benefits accrue locally well globally benefits can include improved public health energy savings economic development agricultural benefits reduced emissions greenhouse gases short lived climate pollution hope introductory course provides foundation establishing program community follow courses  provide skills information monitor air pollution increase public awareness develop emission inventories track progress assess benefits air quality improvement select control strategies effective finally courses  share information importance stakeholder engagement describe regulatory approaches effective elsewhere designing implementing effective air quality management aqm program relies complete understanding specific issues affecting given region requiring awareness raising data collection capacity building course provides basic introduction concepts air pollution management air pollution become major challenge global health latest estimates global burden disease project suggesting 2015 nearly six one half million people died prematurely either air pollution outdoor environment air pollution associated use solid biofuels cooking heating homes unfortunately deaths now occurring developing world world bank moving address major public health challenge environmental health pollution management business line launch <U+613C><U+3E30>pollution management environmental health<U+613C><U+3E30> pmeh <U+613C><U+3E30>multi donor trust fund pilot programs demonstrate improve air quality specific cities research improve understanding air pollution prevalent learning products online e learning course <U+613C><U+3E30>air quality management series courses created development professionals government officials partners want learn fundamentals air quality management planning successful air quality management programs can reduce emissions lead air pollution simultaneously providing development benefits accrue locally well globally benefits can include improved public health energy savings economic development agricultural benefits reduced emissions greenhouse gases short lived climate pollution hope introductory course provides foundation establishing program community follow courses  provide skills information monitor air pollution increase public awareness develop emission inventories track progress assess benefits air quality improvement select control strategies effective finally courses  share information importance stakeholder engagement describe regulatory approaches effective elsewhere designing implementing effective air quality management aqm program relies complete understanding specific issues affecting given region requiring awareness raising data collection capacity building course provides basic introduction concepts air pollution management target audience course provides useful information government environmental officials world bank staff across world stakeholders interested establishing improving air quality management practices low middle income country contexts course provides useful information government environmental officials world bank staff across world stakeholders interested establishing improving air quality management practices low middle income country contexts learning objectives introductory course intended provide survey various concepts elements aqm planning process conclusion course participants able identify conditions emission sources lead air pollution impacts multiple benefits emission reductions understand reasons key elements aqm programs name common control strategies various sectors contribute air pollution explain importance stakeholder engagement role cost effectiveness analysis name different regulatory approaches implementing emission control strategies e g performance standards cap trade incentive voluntary programs etc introductory course intended provide survey various concepts elements aqm planning process conclusion course participants able,4,un
6,anti-corruption in the context of the 2030 agenda,democratic institutions,"2030 agenda   major breakthrough   anti corruption movement   emphasizes  importance  promoting transparency accountability  anti corruption  sustainable development  makes  explicit link  corruption peace  just  inclusive societies 
undp administrator achim steiner said u 0093  2030 agenda  established anti corruption   global imperative   hinges  achievement   sustainable development goals goal 16  rooted  human rights  highlights  importance  strengthening institutions  governance   pledge  leave  one behind  also   opportunity  advance  anti corruption agenda   implementation   un convention  corruption   now reached near universal ratification providing  comprehensive global framework  fight corruption  alignment   2030 agenda corruption   complex challenge  continues  persist  many countries across  world    direct impact   three dimensions  sustainable development social economic  environmental  affects    five pillars   2030 agenda people planet prosperity peace  partnerships u 0094 
despite progress made corruption  still  pressing challenge resources lost  corruption exceed  estimated 10 trillion dollars required  eradicate poverty  2030 money lost  corruption  essentially development denied     risk   left behind 
									  2030 agenda   major breakthrough   anti corruption movement   emphasizes  importance  promoting transparency accountability  anti corruption  sustainable development  makes  explicit link  corruption peace  just  inclusive societies undp administrator achim steiner said u 0093  2030 agenda  established anti corruption   global imperative   hinges  achievement   sustainable development goals goal 16  rooted  human rights  highlights  importance  strengthening institutions  governance   pledge  leave  one behind  also   opportunity  advance  anti corruption agenda   implementation   un convention  corruption   now reached near universal ratification providing  comprehensive global framework  fight corruption  alignment   2030 agenda corruption   complex challenge  continues  persist  many countries across  world    direct impact   three dimensions  sustainable development social economic  environmental  affects    five pillars   2030 agenda people planet prosperity peace  partnerships u 0094 despite progress made corruption  still  pressing challenge resources lost  corruption exceed  estimated 10 trillion dollars required  eradicate poverty  2030 money lost  corruption  essentially development denied     risk   left behind 
					target audience
					upon successful completion   course  
demonstrate  sound understanding   2030 agenda  articulate  key role  anti corruption plays   implementation   2030 agenda 
demonstrate  clear understanding   dual role anti corruption plays   2030 agenda    focus area    sdg 16    prerequisite  achieving   sdgs 
identify different methods tools  best practices  mainstream anti corruption initiatives  sustainable development plans  programmes 
identify practical tools  best practices  harmonize  monitoring  sustainable development  anti corruption initiatives 
 able  articulate  need  aligning sustainable development  anti corruption efforts 
 upon successful completion   course  
					learning objectives
					un staff  headquarters un country teams  regional offices government representatives development practitioners  well  members  civil society academia  foundations 
				 un staff  headquarters un country teams  regional offices government representatives development practitioners  well  members  civil society academia  foundations",3,un
7,becoming a business leader on the global goals,policy coherence,understand take action global goals interactive 30 minute e learning course designed professionals interested learning can integrate global goals business strategy operations <U+613C><U+3E30> <U+613C><U+3E30> course builds insights ongoing work un global compact companies around world well existing tools resources including sdg compass un global compact gri world business council sustainable development blueprint business leadership sdgs un global compact integrating sdgs corporate reporting practical guide un global compact gri understand take action global goals interactive 30 minute e learning course designed professionals interested learning can integrate global goals business strategy operations <U+613C><U+3E30> <U+613C><U+3E30> course builds insights ongoing work un global compact companies around world well existing tools resources including sdg compass un global compact gri world business council sustainable development blueprint business leadership sdgs un global compact integrating sdgs corporate reporting practical guide un global compact gri target audience corporate corporate learning objectives completing course  learn understand 17 global goals ten principles global compact take four practical steps make meaningful long lasting contribution global goals using principles based approach completing course  learn,2,un
12,changing mindsets in public institutions to implement the 2030 agenda for sustainable development,democratic institutions,"u 00a0 changing mindsets  public institutions  implement  2030 agenda  sustainable development related sdgs sdg 16keywords mindsets attitudes competencieslanguage english learning objectives  training toolkit u 00a0 aims  provide  set  methodologies  tools  can u 00a0 contribute   change   environment culture  mindset u 00a0  public u 00a0 servants  implementing  sustainable development goals sdgs   context   2030 agenda  training toolkit u 00a0 approaches transforming mindsets   public sector   result  u 00a0 three interlinked factors transforming mindsets 1   institutional level u 00a0  new human resources laws regulations policies  regulations 2  u 00a0  u 00a0 organizational level   new u 00a0 organizational u 00a0 culture inspired   u 00a0 principles   2030 agenda  3   individual level  beliefs values competencies  skills u 00a0 u 200b upon completion   training learners   u 200b u 00a0 content  structure syllabus
			 u 00a0 toolkit  comprised   following modules u 00a0  can  used  conduct  five day regional  national u 00a0 training capacity development workshop selected modules can also  used  shorter trainings  combined  modules    curriculum s training  trainers u 00a0 toolkits u 200b welcome course introduction setting  scene   changing mindsets critical   implementation   sdgs 
			module 1 1 setting  scene
			module 1 2 changing role  public administration exploring mindsets collaborative mindset
			module 2 1 u 00a0 exploring mindsets collaborative mindsetexploring mindsets learning mindset
			module 3 1 exploring mindsets learning mindset exploring mindsets leadership mindset
			module 4 1 exploring mindsets leadership mindset
			module u 00a0 4 2 changing u 00a0 mindsets changing mindsets strategy  tactics
			module 5 1 strategy  tactics
			module 5 2 action plan    mean   role u 200b agenda   glance   5 day training workshop trainer s manual targeted audience
			schools  public administration national experts government officials academics un country teams  others additional informationterms  conditions  use   curriculum  governance   u 00a0 sdgsreport  u 00a0 changing mindsets  realize  2030 agenda  sustainable developmentfeedback surveythe mindset challenge approach
			 training toolkit  free  charge     questions   toolkit please send us  email  unpan un orgdownload  toolkit package u 00a0",3,un
14,cities and marine plastic pollution: building a circular economy,reflexivity and adaptation,free elearning course developed support city level capacity building topic plastic waste management purpose course share latest knowledge approaches measuring managing plastic pollution land based sources particular cities achievement local national regional goals related sustainable development abstract plastic pollution entering oceans alarming rate damaging marine environments endangering local livelihoods asia pacific important centre innovation plastic waste management hotspot pollution across region cities city governments frontier global efforts stop plastic waste entering environment course developed closing loop project un escap partnership government japan closing loop aims reduce environmental impact cities asean addressing plastic waste pollution marine environment support asean framework action marine debris g20 osaka blue ocean vision project  bring circular approach plastic waste management reduce amount waste entering marine environment course developed facilitate local government capacity building topic marine plastic waste course development led un escap collaboration ocean conservancy un environment programme unep institute global environmental strategies iges women informal employment globalizing organizing wiego coordinating body seas east asia cobsea japan international cooperation agency jica international solid waste association iswa plymouth marine lab wageningen university research keio university university leeds stay date closing loop project view resources publications please visit website https www unescap org projects closing loop information please download elearning course brochure <U+613C><U+3E30> english <U+613C><U+3E30> japanese free elearning course developed support city level capacity building topic plastic waste management purpose course share latest knowledge approaches measuring managing plastic pollution land based sources particular cities achievement local national regional goals related sustainable development plastic pollution entering oceans alarming rate damaging marine environments endangering local livelihoods asia pacific important centre innovation plastic waste management hotspot pollution across region cities city governments frontier global efforts stop plastic waste entering environment course developed closing loop project un escap partnership government japan closing loop aims reduce environmental impact cities asean addressing plastic waste pollution marine environment support asean framework action marine debris g20 osaka blue ocean vision project  bring circular approach plastic waste management reduce amount waste entering marine environment course developed facilitate local government capacity building topic marine plastic waste course development led un escap collaboration ocean conservancy un environment programme unep institute global environmental strategies iges women informal employment globalizing organizing wiego coordinating body seas east asia cobsea japan international cooperation agency jica international solid waste association iswa plymouth marine lab wageningen university research keio university university leeds stay date closing loop project view resources publications please visit website https www unescap org projects closing loop information please download elearning course brochure <U+613C><U+3E30> english <U+613C><U+3E30> japanese target audience city governments local national level policymakers interested individuals stakeholders learning objectives course participants  learn land based plastic waste pollution issues asia pacific region share contemporary scientific practitioner knowledge assessment methodologies better understand plastics pollution challenge explore state art technologies techniques used measure monitor plastic waste municipal marine environments inspire action tackle practical challenges municipal solid waste management systems terrestrial marine environments equip decision makers practitioners practical tools policies approaches tackling plastic waste course participants,4,un
16,civil registration and vital statistics systems,democratic institutions,"civil registration cr   recording  vital events   person s life e g birth death    fundamental function   national government birth registration establishes  individual s legal identity  birth   legal identity name nationality proof  age   related  important human rights  enables individuals  exercise  rights e g  vote  enjoy various government social  private services vital statistics vs  statistics   vital events    persons concerned  availability  reliable    date vs depends   level  development  cr   effective crvs system  critical  planning  monitoring programs across several sectors yet  110 low  middle income countries  deficient crvs systems  course provides practical tools  approaches  achieving 21st century state   art crvs systems   linked  identity management systems  tailored  local contexts  self paced format  offered  busy professionals   able  take  course    pace  finish   time learners  receive  basic level certificate  successfully completing core modules 1 3  can subsequently u 00a0 enroll   facilitated format  receive  advanced level certificate 
									 civil registration cr   recording  vital events   person s life e g birth death    fundamental function   national government birth registration establishes  individual s legal identity  birth   legal identity name nationality proof  age   related  important human rights  enables individuals  exercise  rights e g  vote  enjoy various government social  private services vital statistics vs  statistics   vital events    persons concerned  availability  reliable    date vs depends   level  development  cr   effective crvs system  critical  planning  monitoring programs across several sectors yet  110 low  middle income countries  deficient crvs systems  course provides practical tools  approaches  achieving 21st century state   art crvs systems   linked  identity management systems  tailored  local contexts  self paced format  offered  busy professionals   able  take  course    pace  finish   time learners  receive  basic level certificate  successfully completing core modules 1 3  can subsequently u 00a0 enroll   facilitated format  receive  advanced level certificate 
					target audience
					policy makers  personnel working  civil registration  national statistics
university students interested  pursuing  career  crvs
others   epidemiologists statisticians demographers public administrators  researchers
personnel working  nongovernmental organizations  multilateral  bilateral development organizations
 
					learning objectives
					learners  complete  13 modules   able  
state  characteristics  primary functions  crvs systems   process  notification registration  certification  vital events births deaths marriage divorce  adoption bottlenecks  crvs systems  low  middle income countries  lessons learned   experience  running crvs systems  various country contexts
describe  legal  institutional framework  crvs systems    countries crvs systems   integrated   systems   national identity management idm systems  population registers
describe   generate vital statistics  civil registration data  monitor  improve national  subnational plans    present  disseminate vital statistics including   write  vital statistics report
explain  governance  management  enterprise   digitization  crvs    use  crvs digitisation guidebook  maximize  effect  information  communications technology ict investments  ensure  crvs systems  effective scalable  financially sustainable
describe  process  crvs system assessment  development   strategic plan  improving crvs systems
describe  importance  identity management idm systems   intrinsic link  civil registers
describe civil registration  refugees internally displaced persons idps  stateless persons   unique vulnerabilities 
 learners  complete  13 modules   able",3,un
23,climate mitigation initiatives,reflexivity and adaptation,"concept  measuring  monitoring reporting  verification mrv  gained significance   design  implementation  climate change policy   recent years      paris agreement greenhouse gas reporting programs provide  platform  gather emissions data  entities  help mainstream emissions measurement  reporting 
									  concept  measuring  monitoring reporting  verification mrv  gained significance   design  implementation  climate change policy   recent years      paris agreement greenhouse gas reporting programs provide  platform  gather emissions data  entities  help mainstream emissions measurement  reporting 
					target audience
					government officials policymakers development planners climate change practitioners carbon market agents 
				 government officials policymakers development planners climate change practitioners carbon market agents 
					learning objectives
					 course aims  support policymakers  practitioners  developing economy wide  sector specific ghg reporting programs  address national  sub national priorities  objectives   divided  three modules  enables users  
enhance  knowledge   concept  significance  mrv
understand  constitutes  ghg reporting program   range  objectives  reporting programs can serve
identify  legal framework needed  anchor  mandatory reporting program
determine  capacities necessary  establish  implement reporting programs
engage stakeholders  various phases  development  implementation   reporting program
understand various design elements  form  core  ghg reporting programs  key factors  influence design related decisions
delve deeper  three   existing ghg reporting programs   comprehend  concepts discussed   course
  course aims  support policymakers  practitioners  developing economy wide  sector specific ghg reporting programs  address national  sub national priorities  objectives   divided  three modules  enables users",4,un
26,compilation and application of environmentally extended supply-use tables,democratic institutions,"content   course 
session 1 course overview  introduction   system  environmental economic accounting seea 
session 2  theory  practice  environmentally extended supply use tables ee suts 
session 3 water accounts 
session 4 energy accounts
session 5 emission accounts
session 6 land accounts 
session 7 forest accounts 
session 8 waste accounts 
session 9 application  ee suts  public policy 
session 10 application  ee suts  sustainable development   sdgs
 course  organized  march may 2018 however   presentations webex discussions  exchanges questions  answers  quiz  available   training website 
									 content   course  course  organized  march may 2018 however   presentations webex discussions  exchanges questions  answers  quiz  available   training website 
					target audience
					national accountants
				 national accountants 
					learning objectives
					   acquire  good understanding   related concepts definitions classifications accounting framework techniques  data sources   important   compilation  application  ee suts b  reach   benefit  maximum number  countries    continent  c  create  permanent platform  knowledge base   enable information sharing  learning   beyond  e trainings 
				   acquire  good understanding   related concepts definitions classifications accounting framework techniques  data sources   important   compilation  application  ee suts b  reach   benefit  maximum number  countries    continent  c  create  permanent platform  knowledge base   enable information sharing  learning   beyond  e trainings",3,un
31,digit4sd: digital government implementation,democratic institutions,"u 00a0 digit4sd digital government implementation related sdgs sdg 16 17keywords digital government sustainable development e government e participationlanguage english learning objectives  toolkit aims  help targeted countries develop digital government initiatives  support selected sdgs  targets  offers best practices  digital government initiatives globally  well  case studies  also incorporates  findings  recommendations proposed  past editions   un e government survey  toolkit  comprised  6 modules module 1 provides  general background      implementation toolkit  developed importance  digital governance    can help achieve sdgs module 2 offers  general overview   sustainable development agenda   digital governance  linked   sdgs apart  general digital government concepts  e government survey  also explained furthermore  module includes information   relevance  data    can strive towards e participation  digital inclusion module 3 focuses  methods  identify target  priority areas    can  aligned   sustainable development agenda  also covers data policy  implementation gaps     necessary  identify  module 4  concerned   implementation phase  icts  includes  explanation  best practices   use   implementation canvas  canvas serves among others   snapshot   current state  play  provides  proper overview   aspects still need  attention module 5 includes measures  monitoring  reviewing    planning  well   implementation phase  covers tracking methods  measuring  implementation   policies  activities  evaluation  audit methods  sdg implementation module 6 includes various case studies  best practices  countries   ldcs  well   developed countries   used icts  enhance  sdg targets content  structure syllabus
			 u 00a0 toolkit  comprised   following modules  sessions  can  used  conduct  regional  national training module 1 getting startedmodule 1 1  digit4sdmodule 1 2 user manualmodule 2 fundamentalsmodule 2 1 sustainable development goals sdgs module 2 2 e government fundamentalsmodule 2 3 e government surveymodule 2 4 datamodule 2 5 e participationmodule 3 planningmodule 3 1 identification  target areasmodule 3 2 stakeholders partnershipsmodule 3 3 performance indicatorsmodule 4 implementationmodule 4 1 implementation frameworksmodule 4 2 integration  interoperabilitymodule 4 3 implementation  local levelmodule 5 monitoring  evaluationmodule 5 1 m e frameworksmodule 5 2 m e reporting dashboards  trackersmodule 6 resourcesmodule 6 1 case studies u 00a0 u 00a0 targeted audience
			 toolkit   designed  help countries especially  least developed countries ldcs small island developing countries sids  land locked developing countries lldcs develop  implement digital government initiatives  supporting implementation   sdgs  targets  addition  toolkit  useful  governments  developed countries academic institutions  well  civil society organizations additional information
			 training toolkit  free  charge     questions   toolkit please send us  email  unpan un orgdownload  toolkit package u 00a0",3,un
35,effective national to local public governance for sdg implementation,democratic institutions,"u 00a0 u 00a0  learning outcomes   training toolkit  designed around  often expressed challenges  strengthening national  local government coordination  institutional effectiveness   sdgs therefore u 00a0  toolkit aims  break  barriers   effective achievement   sdgs  highlights  role  local government 
upon completion   training learners u 00a0   trainer s manual download  toolkit package",3,un
36,e-government for women s empowerment,democratic institutions,"
 jump  navigation
 
  2030 agenda  sustainable development adopted  un member states  2015 affirms  u 0093  spread  information  communication technology  global interconnectedness  great potential  accelerate human progress  bridge  digital divide   develop knowledge societies u 0094 women s empowerment  e government can indeed accelerate  achievement  goals  targets across  2030 agenda  new egovforwomen online toolkit directly contributes  sustainable development goals 5 9 10  16 

 online platform   innovative public resource related   design  implementation  gender responsive e government institutional ecosystems   asia pacific region  toolkit represents  first region wide toolbox  support  gender mainstreaming  e government u 00a0   set  5 comprehensive modules  provides key pointers  policymakers  gender responsive design  e service delivery e participation  connectivity initiatives  introduces  capabilities based approach  outcome evaluation  e government  women s empowerment 

gender governance  e government
	gender responsive e service delivery
	gender responsive e participation
	gender responsive connectivity architecture
	assessing gender responsiveness  e government ecosystems
 module  oriented towards  clearly identified target group   geared towards  attainment  specific learning outcomes therefore  modules  clearly delineated sub units  enable step  step learning  exercises assignments  test knowledge attainments including  case study food  thought group assignments  quizzes content   modules  drawn   regional research  e government  women s empowerment  asia   pacific conducted  unescap    change  2015 16  well   scan  open source documentation  good practices  gender  e government   region    contexts 

  implementation   project escap  partnered    change india www itforchange net   change     profit organisation  seeks  build  socially just  gender equitable information society   global south towards    engaged  policy research advocacy  field practice   domains  gender digital technologies  development icts  education e government internet governance digital rights  data  development    change  project  led  anita gurumurthy executive director  support  nandini chami senior research associate 

 project   made possible   generous funding   government   republic  korea   korea escap cooperation fund kecf 

 us

 economic  social commission  asia   pacific escap serves   united nations regional hub promoting cooperation among countries  achieve inclusive  sustainable development  largest regional intergovernmental platform  53 member states  9 associate members escap  emerged   strong regional think tank offering countries sound analytical products  shed insight   evolving economic social  environmental dynamics   region  commission s strategic focus   deliver   2030 agenda  sustainable development     reinforcing  deepening regional cooperation  integration  advance connectivity financial cooperation  market integration escap s research  analysis coupled   policy advisory services capacity building  technical assistance  governments aims  support countries sustainable  inclusive development ambitions 

 united nations department  economic  social affairs un desa u 00a0 promotes  supports international cooperation   pursuit  sustainable development    addresses  range  cross cutting issues  affect peoples lives  livelihoods especially   vulnerable  providing  broad range  analytical products policy advice  technical assistance un desa effectively translates global commitments   economic social  environmental spheres  national policies  actions  plays  key role  monitoring progress towards  17 sustainable development goals 



 u 00a0 


 home
	module 1 


 u 00a0 
  2030 agenda  sustainable development adopted  un member states  2015 affirms  u 0093  spread  information  communication technology  global interconnectedness  great potential  accelerate human progress  bridge  digital divide   develop knowledge societies u 0094 women s empowerment  e government can indeed accelerate  achievement  goals  targets across  2030 agenda  new egovforwomen online toolkit directly contributes  sustainable development goals 5 9 10  16 u 00a0 u 00a0 copyright u 00a0 u 00a9 2018 escap social development division",3,un
