titles,category,website
Standards for the SDGs,reflexivity and adaptation,https://www.unsdglearn.org/courses/building-capacity-on-risk-management-conformity-assessment-and-market-surveillance-for-sustainable-development/
Cities and Marine Plastic Pollution: Building a Circular Economy ,reflexivity and adaptation,https://www.unsdglearn.org/courses/cities-and-marine-plastic-pollution-building-a-circular-economy/
EQuIP: Enhancing quality of industrial policies,reflexivity and adaptation,https://www.unsdglearn.org/courses/enhancing-quality-of-industrial-policies/
Integrated Recovery Planning and Policy Coherence Towards the SDGs,policy coherence,https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/ 
UNIDO IAP,reflexivity and adaptation,https://www.unsdglearn.org/courses/unido-industrial-analytics-platform-iap/
Financing in Health,reflexivity and adaptation,https://www.unsdglearn.org/courses/results-based-financing-in-health/
Integrating Climate Risk Information into NAPs,policy coherence,https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/
Social Protection for Sustainable Development,participation,https://www.unsdglearn.org/courses/social-protection-for-sustainable-development/
Programming for child feeding,reflexivity and adaptation,https://www.unsdglearn.org/courses/programming-for-infant-and-young-child-feeding/
Speechwriting and Public Speaking Skills for Multilateral Diplomacy,participation,https://www.unsdglearn.org/courses/speechwriting-and-public-speaking-skills-for-multilateral-diplomacy-cases-insights-from-the-united-nations/
M.A. Development Studies and Diplomacy,democratic institutions,https://www.unsdglearn.org/courses/master-of-arts-in-development-studies-and-diplomacy-2/
MA International Law and Diplomacy,democratic institutions,https://www.unsdglearn.org/courses/master-of-arts-in-international-law-and-diplomacy/
The Women ICT Frontier Initiative (WIFI),reflexivity and adaptation,https://www.unsdglearn.org/courses/the-women-ict-frontier-initiative-wifi/
Adaptation Funding,reflexivity and adaptation,https://www.unsdglearn.org/courses/direct-access-unlocking-adaptation-funding/
ILO Labour Market Statistics and Analysis Academy,reflexivity and adaptation,https://www.unsdglearn.org/courses/labour-market-statistics-and-analysis-academy/
Unleashing the Power of the Private Sector for the 2030 Agenda - 2021,participation,https://www.unsdglearn.org/courses/unleashing-the-power-of-the-private-sector-for-the-2030-agenda-2021/
Integrated policies and policy coherence for SDGs,policy coherence,https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/
SDG Lab Toolkit,participation,https://www.unsdglearn.org/courses/sdg-lab-toolkit/
Online Diploma in Multilateral Diplomacy,democratic institutions,https://www.unsdglearn.org/courses/online-diploma-in-multilateral-diplomacy/
Executive Summer Programme on Innovations in Science Diplomacy,democratic institutions,https://www.unsdglearn.org/courses/unitar-executive-summer-programme-on-innovations-in-science-diplomacy/
