id,titles,category,website,description,major_categ
1,Standards for the SDGs,reflexivity and adaptation,https://www.unsdglearn.org/courses/building-capacity-on-risk-management-conformity-assessment-and-market-surveillance-for-sustainable-development/,three modules respectively   risk management business regulation towards better management risk course introduces participants various risk management tools necessary induce help implement change structure regulatory systems frameworks showcases tools models developed response problems faced various entities implementing risk management tools within regulatory systems conformity assessment course introduces participants set procedures demonstrate specified requirements relating product process system person body fulfilled outlines role conformity assessment quality infrastructure importance accelerating trade capacity economic development course examines differences conformity assessment procedures create major barriers trade operational requirements efficient conformation assessment infrastructure market surveillance course introduces participants activities carried measures taken designated authorities ensure products comply mandatory requirements showcases market surveillance tools objectives order participants may better understand ms authorities contribute smooth functioning single market course examines need cooperation information sharing identifies enforcement actions taken market surveillance authorities prevent commercial operators attaining competitive advantage non compliance course consists 30 hours online training course 3 weeks followed one week presence training download syllabus three modules respectively   risk management business regulation towards better management risk course introduces participants various risk management tools necessary induce help implement change structure regulatory systems frameworks showcases tools models developed response problems faced various entities implementing risk management tools within regulatory systems conformity assessment course introduces participants set procedures demonstrate specified requirements relating product process system person body fulfilled outlines role conformity assessment quality infrastructure importance accelerating trade capacity economic development course examines differences conformity assessment procedures create major barriers trade operational requirements efficient conformation assessment infrastructure market surveillance course introduces participants activities carried measures taken designated authorities ensure products comply mandatory requirements showcases market surveillance tools objectives order participants may better understand ms authorities contribute smooth functioning single market course examines need cooperation information sharing identifies enforcement actions taken market surveillance authorities prevent commercial operators attaining competitive advantage non compliance course consists 30 hours online training course 3 weeks followed one week presence training target audience regulatory authorities policy makers trade support institutions chambers commerce professional associations stakeholders civil society organizations companies consumers regulatory authorities policy makers trade support institutions chambers commerce professional associations stakeholders civil society organizations companies consumers learning objectives risk management business regulation towards better management risk completing course participants will able   recognize value building risk building regulatory systems evaluate risk manage regulatory systems take steps better manage risk conformity assessment completing course participants will able   understand rationale benefits conformity assessment recognize ways conformity assessment scheme can designed operated identify critical issues markets shape conformity assessment operation market surveillance completing course participants will able   discuss application standards market surveillance purposes recognize importance market surveillance important tool ensuring objectives market respect free movement goods understand regulatory issues challenges affecting market surveillance enforcement risk management business regulation towards better management risk completing course participants will able   conformity assessment completing course participants will able   market surveillance completing course participants will able  ,4
2,Cities and Marine Plastic Pollution: Building a Circular Economy ,reflexivity and adaptation,https://www.unsdglearn.org/courses/cities-and-marine-plastic-pollution-building-a-circular-economy/,free elearning course developed support city level capacity building topic plastic waste management purpose course share latest knowledge approaches measuring managing plastic pollution land based sources particular cities achievement local national regional goals related sustainable development abstract plastic pollution entering oceans alarming rate damaging marine environments endangering local livelihoods asia pacific important centre innovation plastic waste management hotspot pollution across region cities city governments frontier global efforts stop plastic waste entering environment course developed closing loop project un escap partnership government japan closing loop aims reduce environmental impact cities asean addressing plastic waste pollution marine environment support asean framework action marine debris g20 osaka blue ocean vision project will bring circular approach plastic waste management reduce amount waste entering marine environment course developed facilitate local government capacity building topic marine plastic waste course development led un escap collaboration ocean conservancy un environment programme unep institute global environmental strategies iges women informal employment globalizing organizing wiego coordinating body seas east asia cobsea japan international cooperation agency jica international solid waste association iswa plymouth marine lab wageningen university research keio university university leeds stay date closing loop project view resources publications please visit website https www unescap org projects closing loop information please download elearning course brochure   english   japanese free elearning course developed support city level capacity building topic plastic waste management purpose course share latest knowledge approaches measuring managing plastic pollution land based sources particular cities achievement local national regional goals related sustainable development plastic pollution entering oceans alarming rate damaging marine environments endangering local livelihoods asia pacific important centre innovation plastic waste management hotspot pollution across region cities city governments frontier global efforts stop plastic waste entering environment course developed closing loop project un escap partnership government japan closing loop aims reduce environmental impact cities asean addressing plastic waste pollution marine environment support asean framework action marine debris g20 osaka blue ocean vision project will bring circular approach plastic waste management reduce amount waste entering marine environment course developed facilitate local government capacity building topic marine plastic waste course development led un escap collaboration ocean conservancy un environment programme unep institute global environmental strategies iges women informal employment globalizing organizing wiego coordinating body seas east asia cobsea japan international cooperation agency jica international solid waste association iswa plymouth marine lab wageningen university research keio university university leeds stay date closing loop project view resources publications please visit website https www unescap org projects closing loop information please download elearning course brochure   english   japanese target audience city governments local national level policymakers interested individuals stakeholders learning objectives course participants will learn land based plastic waste pollution issues asia pacific region share contemporary scientific practitioner knowledge assessment methodologies better understand plastics pollution challenge explore state art technologies techniques used measure monitor plastic waste municipal marine environments inspire action tackle practical challenges municipal solid waste management systems terrestrial marine environments equip decision makers practitioners practical tools policies approaches tackling plastic waste course participants will,4
3,EQuIP: Enhancing quality of industrial policies,reflexivity and adaptation,https://www.unsdglearn.org/courses/enhancing-quality-of-industrial-policies/,failures free market approach development led increased demand advice support crafting industrial policies promote movement sophisticated manufacturing activities greater value addition shortage adequately trained national analysts leads extensive dependency international advisers alarming cases unrealistic strategic objectives deployment inappropriate policy tools every country equipped simple analytical tools can help answer imperative questions industrial sector performing relative competitors potential expansion upgrading employment generation enhanced energy efficiency industrial sector diversified embedded industry answers questions vital successful strategy setting industrial policy formulation global experience indicates industrial policy process effective evidence based participatory focused realistic objectives international best practice examples suggest successful industrial policy cycle must start thorough industrial diagnosis maps local global industrial landscape provides depth understanding country characteristics constraints opportunities well global trends however key challenge many developing country governments shortage adequately trained national analysts thus lack appropriate capacities follow industrial strategy formulation process sufficiently evidence based unido giz developed integrated methodological toolbox capacity building package industrial diagnosis equip enhancing quality industrial policies aims support policymakers developing countries formulate design evidence based strategies inclusive sustainable industrial development equip aims strengthen ability lower income countries manage future enable larger say strategy setting policy formulation engagement development partners download syllabus failures free market approach development led increased demand advice support crafting industrial policies promote movement sophisticated manufacturing activities greater value addition shortage adequately trained national analysts leads extensive dependency international advisers alarming cases unrealistic strategic objectives deployment inappropriate policy tools every country equipped simple analytical tools can help answer imperative questions industrial sector performing relative competitors potential expansion upgrading employment generation enhanced energy efficiency industrial sector diversified embedded industry answers questions vital successful strategy setting industrial policy formulation global experience indicates industrial policy process effective evidence based participatory focused realistic objectives international best practice examples suggest successful industrial policy cycle must start thorough industrial diagnosis maps local global industrial landscape provides depth understanding country characteristics constraints opportunities well global trends however key challenge many developing country governments shortage adequately trained national analysts thus lack appropriate capacities follow industrial strategy formulation process sufficiently evidence based unido giz developed integrated methodological toolbox capacity building package industrial diagnosis equip enhancing quality industrial policies aims support policymakers developing countries formulate design evidence based strategies inclusive sustainable industrial development equip aims strengthen ability lower income countries manage future enable larger say strategy setting policy formulation engagement development partners target audience staff members government ministries staff members government ministries learning objectives aim equip provide participants indicators techniques interpreting data knowledge reinforce capacity policy makers think industrial strategies policies aim equip provide participants indicators techniques interpreting data knowledge reinforce capacity policy makers think industrial strategies policies,4
4,Integrated Recovery Planning and Policy Coherence Towards the SDGs,policy coherence,https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/ ,21st session unfccc conference parties cop 21 emphasized importance accelerated adaptation planning implementation august 2017 152 parties convention 197 submitted first nationally determined contributions ndcs unfccc 102 including adaptation component majority developing countries unfccc report released october 2016 progress process formulating implementing national adaptation plans naps indicates many countries including 80 least developed countries ldcs embarked developing nap development implementation naps involve decisions related climate risk management require reliable relevant usable timely climate information climate information used within nap process encompasses wide range information past present future climate products help improve understanding climate impacts natural human systems support decisions improve climate related outcomes climate services involve production translation transfer use climate knowledge information purpose climate services therefore play crucial role planning financing implementation adaptation climate change context drawing wmo led global framework climate services gfcs wmo unitar developed capacity building e learning materials support wider training package integration climate risk information national adaptation planning aim e learning component contribute capacity building will bridge information communication gaps currently affecting demand climate information services supply course designed respond learning needs climate services providers national hydro meteorological services research academic international organizations users e g decision makers private investors non governmental organizations etc well working science policy interface outreach communication purposes training modular  provides liberty   choose combine different thematic modules two main themes learning tracks available illustrated figure learning track 1 green colored producing climate information naps learning track 2 yellow colored  using climate information naps learning tracks common intro wrap modules choose learning track best suits profile learning needs complete intro module recommended undertake test based answers five questions test will advised follow either learning track 1 2 learning track culminates quiz will assess knowledge will acquire pass quiz minimum mark 70 certificate completion will issued choose follow learning tracks can receive two certificates passing quizzes download syllabus 21st session unfccc conference parties cop 21 emphasized importance accelerated adaptation planning implementation august 2017 152 parties convention 197 submitted first nationally determined contributions ndcs unfccc 102 including adaptation component majority developing countries unfccc report released october 2016 progress process formulating implementing national adaptation plans naps indicates many countries including 80 least developed countries ldcs embarked developing nap development implementation naps involve decisions related climate risk management require reliable relevant usable timely climate information climate information used within nap process encompasses wide range information past present future climate products help improve understanding climate impacts natural human systems support decisions improve climate related outcomes climate services involve production translation transfer use climate knowledge information purpose climate services therefore play crucial role planning financing implementation adaptation climate change context drawing wmo led global framework climate services gfcs wmo unitar developed capacity building e learning materials support wider training package integration climate risk information national adaptation planning aim e learning component contribute capacity building will bridge information communication gaps currently affecting demand climate information services supply course designed respond learning needs climate services providers national hydro meteorological services research academic international organizations users e g decision makers private investors non governmental organizations etc well working science policy interface outreach communication purposes training modular  provides liberty   choose combine different thematic modules two main themes learning tracks available illustrated figure learning tracks common intro wrap modules choose learning track best suits profile learning needs complete intro module recommended undertake test based answers five questions test will advised follow either learning track 1 2 learning track culminates quiz will assess knowledge will acquire pass quiz minimum mark 70 certificate completion will issued choose follow learning tracks can receive two certificates passing quizzes target audience target audience e learning course broadly categorized two groups climate services users e g decision makers private investors etc climate services providers national meteorological hydrological services nmhss research international organizations etc decision makers politicians responsible establish policy frameworks regulations define generation collection analysis provision climate information services technical experts government officials need climate services support decisions necessary integrating climate risks sectors health energy water agriculture drr etc private sector representatives interested getting involved climate resilient investment opportunities ngos grass root organizations stakeholders groups looking information guidance help vulnerable communities cope climate change risks impacts academic wider public stakeholders interested accessing country based information best practices climate information services target audience e learning course broadly categorized two groups climate services users e g decision makers private investors etc climate services providers national meteorological hydrological services nmhss research international organizations etc learning objectives completing course learners will able describe importance climate information adaptation planning decisionmaking identify technical resources assessing climate risks explore role national hydro meteorological services nap process discuss priority climate actions can enhanced climate scientific information identify climate products services support naps discuss promote effective partnerships climate information producers users completing course learners will able,2
5,UNIDO IAP,reflexivity and adaptation,https://www.unsdglearn.org/courses/unido-industrial-analytics-platform-iap/,industrialization core driver transformational change towards 2030 agenda sdgs hence tracking understanding progress sdg 9 critical unido s mission accelerate inclusive sustainable industrial development isid around world needs reliable statistics data analysis training tailored support capacity building industrial policy use data iap addition sdg 9 industry tracker innovative data tool monitors performance progress towards sdg9 targets nearly 130 economies iap helps build capacity towards evidence based decision making tracking manufacturing value added employment emissions technological progress economies around world iap online data platform however freely accessible https iap unido org industrialization core driver transformational change towards 2030 agenda sdgs hence tracking understanding progress sdg 9 critical unido s mission accelerate inclusive sustainable industrial development isid around world needs reliable statistics data analysis training tailored support capacity building industrial policy use data iap addition sdg 9 industry tracker innovative data tool monitors performance progress towards sdg9 targets nearly 130 economies iap helps build capacity towards evidence based decision making tracking manufacturing value added employment emissions technological progress economies around world iap online data platform however freely accessible https iap unido org target audience governments regulators policymakers academics wider research community industrial development practitioners learning objectives iap serves easily accessible tool can used wide range stakeholders better understand various dimensions industrial development around globe iap aims facilitate enhance conduct class capacity building activities unido partners iap serves easily accessible tool can used wide range stakeholders better understand various dimensions industrial development around globe iap aims facilitate enhance conduct class capacity building activities unido partners,4
6,Financing in Health,reflexivity and adaptation,https://www.unsdglearn.org/courses/results-based-financing-in-health/,results based financing rbf health interactive course includes narrated presentations discussion forums group work quiz module assess knowledge course based materials developed course several years delivery face face rbf learning events generated rich repository knowledge knowledge translated e learning modules reach critical mass health practitioners globally course aims equip participants specific knowledge help determine whether rbf appropriate tool context type rbf approach may appropriate adopt e learning course supported funding health results innovation trust fund hritf since 2007 hritf pioneering rbf programs particular focus improving maternal child health outcomes accelerate progress towards millennium development goals mdgs 1c 4 5 learn  www rbfhealth org  www facebook com rbfhealth  www twitter com rbfhealth please take moment listen course introduction petra vergeer one main coordinators e learning course helped develop taught material course face face version course context traditionally government donor funds improve health service delivery concentrated increasing critical inputs infrastructure equipment supplies drugs vaccines since adoption millennium declaration 2000 development assistance health doubled yet increase investments translated expected health outcomes low middle income countries challenge countries face unequal access utilization essential health services often due low quality services inefficient delivery services limited management capacity addition poor households many countries face impoverishment due limited financial protection health system consequently many countries especially africa risk achieving mdgs maternal child health 2015 result many governments development agencies motivated try new innovations approaches can boost health system functioning rbf one approach gaining momentum country governments development partners rbf links financing pre determined results actual use health services well quality opposed financing inputs medical equipment supplies experience far shows promising results especially terms increased utilization key maternal child health services addition rbf seen way strengthen core health systems making accountable efficient delivering greater value money vital aspect successful rbf approach ensuring appropriateness strategy particular context core e learning course world bank group partners undertaken many capacity building engagements rbf including consultations key stakeholders study tours countries considering starting rbf already implementing knowledge lessons sharing events technical training workshops policy makers stakeholders peer peer exchange forums programs geared informed decision making appropriateness rbf building implementation capacity mitigate risk failure implementing rbf mechanisms e learning platform designed complement initiatives equip participants tools decide whether rbf may appropriate policy option consider addressing health system challenges able apply rbf design implementation concepts principles objectives course provide background knowledge rbf different approaches introduce core principles rbf health provide country examples rbf health practice results based financing rbf health interactive course includes narrated presentations discussion forums group work quiz module assess knowledge course based materials developed course several years delivery face face rbf learning events generated rich repository knowledge knowledge translated e learning modules reach critical mass health practitioners globally course aims equip participants specific knowledge help determine whether rbf appropriate tool context type rbf approach may appropriate adopt e learning course supported funding health results innovation trust fund hritf since 2007 hritf pioneering rbf programs particular focus improving maternal child health outcomes accelerate progress towards millennium development goals mdgs 1c 4 5 learn  www rbfhealth org  www facebook com rbfhealth  www twitter com rbfhealth please take moment listen course introduction petra vergeer one main coordinators e learning course helped develop taught material course face face version course context traditionally government donor funds improve health service delivery concentrated increasing critical inputs infrastructure equipment supplies drugs vaccines since adoption millennium declaration 2000 development assistance health doubled yet increase investments translated expected health outcomes low middle income countries challenge countries face unequal access utilization essential health services often due low quality services inefficient delivery services limited management capacity addition poor households many countries face impoverishment due limited financial protection health system consequently many countries especially africa risk achieving mdgs maternal child health 2015 result many governments development agencies motivated try new innovations approaches can boost health system functioning rbf one approach gaining momentum country governments development partners rbf links financing pre determined results actual use health services well quality opposed financing inputs medical equipment supplies experience far shows promising results especially terms increased utilization key maternal child health services addition rbf seen way strengthen core health systems making accountable efficient delivering greater value money vital aspect successful rbf approach ensuring appropriateness strategy particular context core e learning course world bank group partners undertaken many capacity building engagements rbf including programs geared informed decision making appropriateness rbf building implementation capacity mitigate risk failure implementing rbf mechanisms e learning platform designed complement initiatives equip participants tools decide whether rbf may appropriate policy option consider addressing health system challenges able apply rbf design implementation concepts principles objectives course target audience course designed interested learning rbf including health financial practitioners professionals national district levels non governmental organizations ngos development partners academicians policymakers course designed interested learning rbf including learning objectives end course participants will able list main approaches rbf potential impact improving strengthening utilization health services explain design implementation features rbf programmatic intervention improve capacity health systems achieve specified outputs outcomes make informed decisions appropriateness rbf general suitability different rbf approaches particular context using lessons learned case study examples end course participants will able,4
7,Integrating Climate Risk Information into NAPs,policy coherence,https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/,21st session unfccc conference parties cop 21 emphasized importance accelerated adaptation planning implementation august 2017 152 parties convention 197 submitted first nationally determined contributions ndcs unfccc 102 including adaptation component majority developing countries unfccc report released october 2016 progress process formulating implementing national adaptation plans naps indicates many countries including 80 least developed countries ldcs embarked developing nap development implementation naps involve decisions related climate risk management require reliable relevant usable timely climate information climate information used within nap process encompasses wide range information past present future climate products help improve understanding climate impacts natural human systems support decisions improve climate related outcomes climate services involve production translation transfer use climate knowledge information purpose climate services therefore play crucial role planning financing implementation adaptation climate change context drawing wmo led global framework climate services gfcs wmo unitar developed capacity building e learning materials support wider training package integration climate risk information national adaptation planning aim e learning component contribute capacity building will bridge information communication gaps currently affecting demand climate information services supply course designed respond learning needs climate services providers national hydro meteorological services research academic international organizations users e g decision makers private investors non governmental organizations etc well working science policy interface outreach communication purposes training modular  provides liberty   choose combine different thematic modules two main themes learning tracks available illustrated figure learning track 1 green colored producing climate information naps learning track 2 yellow colored  using climate information naps learning tracks common intro wrap modules choose learning track best suits profile learning needs complete intro module recommended undertake test based answers five questions test will advised follow either learning track 1 2 learning track culminates quiz will assess knowledge will acquire pass quiz minimum mark 70 certificate completion will issued choose follow learning tracks can receive two certificates passing quizzes download syllabus 21st session unfccc conference parties cop 21 emphasized importance accelerated adaptation planning implementation august 2017 152 parties convention 197 submitted first nationally determined contributions ndcs unfccc 102 including adaptation component majority developing countries unfccc report released october 2016 progress process formulating implementing national adaptation plans naps indicates many countries including 80 least developed countries ldcs embarked developing nap development implementation naps involve decisions related climate risk management require reliable relevant usable timely climate information climate information used within nap process encompasses wide range information past present future climate products help improve understanding climate impacts natural human systems support decisions improve climate related outcomes climate services involve production translation transfer use climate knowledge information purpose climate services therefore play crucial role planning financing implementation adaptation climate change context drawing wmo led global framework climate services gfcs wmo unitar developed capacity building e learning materials support wider training package integration climate risk information national adaptation planning aim e learning component contribute capacity building will bridge information communication gaps currently affecting demand climate information services supply course designed respond learning needs climate services providers national hydro meteorological services research academic international organizations users e g decision makers private investors non governmental organizations etc well working science policy interface outreach communication purposes training modular  provides liberty   choose combine different thematic modules two main themes learning tracks available illustrated figure learning tracks common intro wrap modules choose learning track best suits profile learning needs complete intro module recommended undertake test based answers five questions test will advised follow either learning track 1 2 learning track culminates quiz will assess knowledge will acquire pass quiz minimum mark 70 certificate completion will issued choose follow learning tracks can receive two certificates passing quizzes target audience target audience e learning course broadly categorized two groups climate services users e g decision makers private investors etc climate services providers national meteorological hydrological services nmhss research international organizations etc decision makers politicians responsible establish policy frameworks regulations define generation collection analysis provision climate information services technical experts government officials need climate services support decisions necessary integrating climate risks sectors health energy water agriculture drr etc private sector representatives interested getting involved climate resilient investment opportunities ngos grass root organizations stakeholders groups looking information guidance help vulnerable communities cope climate change risks impacts academic wider public stakeholders interested accessing country based information best practices climate information services target audience e learning course broadly categorized two groups climate services users e g decision makers private investors etc climate services providers national meteorological hydrological services nmhss research international organizations etc learning objectives completing course learners will able describe importance climate information adaptation planning decisionmaking identify technical resources assessing climate risks explore role national hydro meteorological services nap process discuss priority climate actions can enhanced climate scientific information identify climate products services support naps discuss promote effective partnerships climate information producers users completing course learners will able,2
8,Social Protection for Sustainable Development,democratic institutions,https://www.unsdglearn.org/courses/social-protection-for-sustainable-development/,introduction course explores social protection applies sustainable development 2030 agenda sustainable development goals sdgs social protection key element national strategies promote human development political stability inclusive growth currently estimated 53 per cent world s population lives without form social protection social protection relevant ever address social economic impact unfolding health emergency   pandemic illuminated gaps advantages access national health care systems implementation policies support income security ambitious objectives set 2030 agenda unprecedented social protection requirements related covid 19 will involve concerted efforts across spectrum un national actors linking interventions leveraging new tools build universal social protection programmes achieve 2030 agenda promise life dignity prosperity healthy planet course will prepare participants just focusing social protection principles order prepare work among social protection experts advocates beneficiaries course methodology unssc online courses designed deliver maximum learning outcomes optimal time investments carefully chosen high quality learning materials specifically tailored needs professionals interested developing skills advance career deepening knowledge particular subject facilitated online courses combine self paced study modules applied learning components case studies interactive exercises collaborative group work participants also benefit live moderated webinars feature valuable inputs renowned subject matter experts allow real time dialogue high level speakers webinar recordings also made available ensure participants flexible seamless learning experience expert facilitator guides assists participants throughout course provides real time feedback activities exercises user friendly social online learning platform provides participants opportunity connect peers diverse organizational backgrounds fostering peer peer learning interactive participatory unssc online courses give learners opportunity complete activities best fits schedule participants largely free determine weekly study plan lasting five weeks demanding five hours work week unssc online courses incorporate high academic rigor unssc face face programme course contents week 1 past present future history social protection 2030 agenda definitions social protection history characteristics structure 2030 agenda social protection sdgs social protection 5ps lifecycle risks history welfare system early social protection human right social security rights based approach social protection introduction idea weekly cross cutting issues weekly activity webinar   week 2 components instruments social protection international labour standards social protection regulations types social protection coverage among specific groups children elderly people disabilities etc coverage vulnerable groups areas social protection floors myths vs realities best practices cross cutting issue data weekly activity webinar   week 3 designing financing implementing social protection systems designing reforming social protection systems needs assessments financing fiscal space national social protection strategies understanding institutional capacity national level universal social protection relates financing operational cycles social protection schemes information management cross cutting issue adaptive social protection weekly activity webinar   week 4 advocating universal comprehensive social protection systems monitoring evaluation tools implementation social protection schemes partnerships stakeholders advocacy communication inter linkages systems thinking social protection creating participatory approach building social protection systems tools capacity building cross cutting issue culture social protection weekly activity webinar   week 5 looking ahead practical perspectives global trends debates social protection identifying global trends like migration environmental degradation climate change digitization disasters etc social protection times crisis universal basic income weekly activity webinar   course explores social protection applies sustainable development 2030 agenda sustainable development goals sdgs social protection key element national strategies promote human development political stability inclusive growth currently estimated 53 per cent world s population lives without form social protection social protection relevant ever address social economic impact unfolding health emergency   pandemic illuminated gaps advantages access national health care systems implementation policies support income security ambitious objectives set 2030 agenda unprecedented social protection requirements related covid 19 will involve concerted efforts across spectrum un national actors linking interventions leveraging new tools build universal social protection programmes achieve 2030 agenda promise life dignity prosperity healthy planet course will prepare participants just focusing social protection principles order prepare work among social protection experts advocates beneficiaries unssc online courses designed deliver maximum learning outcomes optimal time investments carefully chosen high quality learning materials specifically tailored needs professionals interested developing skills advance career deepening knowledge particular subject facilitated online courses combine self paced study modules applied learning components case studies interactive exercises collaborative group work participants also benefit live moderated webinars feature valuable inputs renowned subject matter experts allow real time dialogue high level speakers webinar recordings also made available ensure participants flexible seamless learning experience expert facilitator guides assists participants throughout course provides real time feedback activities exercises user friendly social online learning platform provides participants opportunity connect peers diverse organizational backgrounds fostering peer peer learning interactive participatory unssc online courses give learners opportunity complete activities best fits schedule participants largely free determine weekly study plan lasting five weeks demanding five hours work week unssc online courses incorporate high academic rigor unssc face face programme week 1 past present future history social protection 2030 agenda   week 2 components instruments social protection   week 3 designing financing implementing social protection systems   week 4 advocating universal comprehensive social protection systems   week 5 looking ahead practical perspectives global trends debates social protection   target audience participants will possess varied backgrounds different levels experience working social protection work will span civil society academia private sector mass media political parties governments ngos international organizations donors social workers educators volunteers influencers looking people necessarily prior knowledge social protection motivated learn selection criteria selection criteria include quality motivation professional experience knowledge commitment diversity gender geographic region sector etc willingness contribute course selection process register course clicking sign button please provide clear motivation statement short explanation benefit can derive course well possible contribution enriching course registrations open 13 september 3 october 2021 deadline registration will receive link survey confirm conditions course completion technical requirements time availability well answer course specific questions online course offered free charge participants will possess varied backgrounds different levels experience working social protection work will span civil society academia private sector mass media political parties governments ngos international organizations donors social workers educators volunteers influencers looking people necessarily prior knowledge social protection motivated learn selection criteria selection criteria include quality motivation professional experience knowledge commitment diversity gender geographic region sector etc willingness contribute course selection process online course offered free charge learning objectives end course participant will able establish need universal social protection systems individuals societies advance sustainable development recognize value social protection investment lever achieve sustainable development identify global trends practical tools good practices extending social protection especially related building national socio economic environmental resilience actively advocate establishing universal comprehensive rights based sustainable social protection systems context promote culture social protection among wider group learners beneficiaries identify concrete policy steps necessary design finance implement national appropriate social protection systems utilize tools instruments approaches practically contribute building nationally appropriate social protection systems end course participant will able,3
9,Programming for child feeding,reflexivity and adaptation,https://www.unsdglearn.org/courses/programming-for-infant-and-young-child-feeding/,training course aims enhance competencies build capacity unicef staff counterparts involved infant young child feeding iycf programmes developing countries includes programme development programme implementation programme evaluation related activities improving nutrition health outcomes infants young children women training course consists series 14 modules 11 lectures 3 case studies lectures fall main topics areas essentials iycf programming special topics acknowledgments training course jointly developed infant young child feeding unit nutrition section unicef headquarters cornell nutritionworks division nutritional sciences cornell university also appreciate contributions speakers training course aims enhance competencies build capacity unicef staff counterparts involved infant young child feeding iycf programmes developing countries includes programme development programme implementation programme evaluation related activities improving nutrition health outcomes infants young children women training course consists series 14 modules 11 lectures 3 case studies lectures fall main topics areas essentials iycf programming special topics acknowledgments training course jointly developed infant young child feeding unit nutrition section unicef headquarters cornell nutritionworks division nutritional sciences cornell university also appreciate contributions speakers target audience unicef staff counterparts unicef staff counterparts learning objectives completing training awareness date knowledge iycf nutrition women ability interpret data describe population based problems related iycf ability recommend appropriate iycf research programmes policies supervisors partners national governments awareness best practices coordinate facilitate manage monitor action recommended iycf research programmes policies awareness best practices incorporate iycf initiatives emerging issues completing training,4
