"","id","category"
"1","1","Motto in English"
"2","1","Making Minds Matter[1]"
"3","1","Type"
"4","1","Public, General"
"5","1","Established"
"6","1","1913"
"7","1","Endowment"
"8","1","€588 million[2]"
"9","1","Rector"
"10","1","Annelien Bredenoord [3]"
"11","1","Academic staff"
"12","1","3.398[4]"
"13","1","Students"
"14","1","29,499[4]"
"15","1","Location"
"16","1","Rotterdam, Netherlands"
"17","1","Colours"
"18","1","Erasmus Green & Bright Green[5][6].mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}   "
"19","1","Affiliations"
"20","1","AMBA EQUIS AACSB"
"21","1","Website"
"22","1","www.eur.nl"
"23","1","ARWU World[23]"
"24","1","101-150 (2021)"
"25","1","CWUR World[10]"
"26","1","96 (2021-22)"
"27","1","CWTS World[9]"
"28","1","82 (2021)"
"29","1","QS World[24]"
"30","1","179 (2022)"
"31","1","THE World[7]"
"32","1","72 (2022)"
"33","1","USNWR Global[8]"
"34","1","=62 (2022)"
"35","1","Business Insider MBA[25]"
"36","1","29 (2020)"
"37","1","Financial Times MBA[26]"
"38","1","66 (2020)"
"39","1","QS Business[27]"
"40","1","16 (2021)"
"41","1","QS Economics[28]"
"42","1","43 (2021)"
"43","1","QS MBA[29]"
"44","1","30 (2022)"
"45","1","THE Business and Economics[30]"
"46","1","26 (2022)"
"47","1","ARWU Clinical medicine and pharmacy[31]"
"48","1","34 (2021)"
"49","1","ARWU Life sciences[32]"
"50","1","51-75 (2021)"
"51","1","QS Life Sciences & Medicine[33]"
"52","1","49 (2021)"
"53","1","THE Clinical and Health[34]"
"54","1","48 (2022)"
"55","2","Motto in English"
"56","2","Making Minds Matter[1]"
"57","2","Type"
"58","2","Public, General"
"59","2","Established"
"60","2","1913"
"61","2","Endowment"
"62","2","€588 million[2]"
"63","2","Rector"
"64","2","Annelien Bredenoord [3]"
"65","2","Academic staff"
"66","2","3.398[4]"
"67","2","Students"
"68","2","29,499[4]"
"69","2","Location"
"70","2","Rotterdam, Netherlands"
"71","2","Colours"
