"","id","category","weblink_au_t"
"1","1","Abbreviation","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"2","1","ECE","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"3","1","Formation","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"4","1","28 March 1947; 75 years ago (1947-03-28)","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"5","1","Type","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"6","1","Primary organ - regional branch","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"7","1","Legal status","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"8","1","Active","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"9","1","Headquarters","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"10","1","Geneva, Switzerland","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"11","1","Head","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"12","1","Executive Secretary of the United Nations Economic Commission for Europe  Olga Algayerova","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"13","1","Parent organization","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"14","1","United Nations Economic and Social Council","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"15","1","Website","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"16","1","unece.org ","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"17","1","Language","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"18","1","English","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"19","1","History","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"20","1","1982-2007","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"21","1","Publisher","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"22","1","IOS Press (Netherlands)","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"23","1","ISO 4","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"24","1","Stat. J. U. N. Econ. Comm. Eur.","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"25","1","CODEN","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"26","1","SJUED4","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"27","1","ISSN","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"28","1","0167-8000","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"29","1","LCCN","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"30","1","84642632","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"31","1","OCLC no.","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"32","1","900948641","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"33","2","Abbreviation","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"34","2","ECE","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"35","2","Formation","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"36","2","28 March 1947; 75 years ago (1947-03-28)","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"37","2","Type","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"38","2","Primary organ - regional branch","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"39","2","Legal status","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"40","2","Active","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"41","2","Headquarters","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"42","2","Geneva, Switzerland","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"43","2","Head","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"44","2","Executive Secretary of the United Nations Economic Commission for Europe  Olga Algayerova","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"45","2","Parent organization","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"46","2","United Nations Economic and Social Council","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"47","2","Website","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"48","2","unece.org ","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"49","2","Language","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"50","2","English","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"51","2","History","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"52","2","1982-2007","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"53","2","Publisher","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"54","2","IOS Press (Netherlands)","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"55","2","ISO 4","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"56","2","Stat. J. U. N. Econ. Comm. Eur.","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"57","2","CODEN","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"58","2","SJUED4","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"59","2","ISSN","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"60","2","0167-8000","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"61","2","LCCN","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"62","2","84642632","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"63","2","OCLC no.","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"64","2","900948641","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"65","3","Abbreviation","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"66","3","UNITAR","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"67","3","Formation","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"68","3","11 December 1963; 58 years ago (1963-12-11)","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"69","3","Type","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"70","3","Research and training institute","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"71","3","Legal status","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"72","3","Active","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"73","3","Headquarters","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"74","3","Geneva, Switzerland","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"75","3","Head","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"76","3","Executive Director   Nikhil Seth","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"77","3","Parent organization","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"78","3","United Nations General Assembly United Nations Economic and Social Council","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"79","3","Website","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"80","3","www.unitar.org","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"81","4","Abbreviation","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"82","4","UNITAR","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"83","4","Formation","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"84","4","11 December 1963; 58 years ago (1963-12-11)","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"85","4","Type","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"86","4","Research and training institute","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"87","4","Legal status","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"88","4","Active","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"89","4","Headquarters","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"90","4","Geneva, Switzerland","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"91","4","Head","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"92","4","Executive Director   Nikhil Seth","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"93","4","Parent organization","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"94","4","United Nations General Assembly United Nations Economic and Social Council","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"95","4","Website","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"96","4","www.unitar.org","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"97","5","Abbreviation","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"98","5","UNITAR","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"99","5","Formation","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"100","5","11 December 1963; 58 years ago (1963-12-11)","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"101","5","Type","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"102","5","Research and training institute","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"103","5","Legal status","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"104","5","Active","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"105","5","Headquarters","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"106","5","Geneva, Switzerland","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"107","5","Head","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"108","5","Executive Director   Nikhil Seth","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"109","5","Parent organization","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"110","5","United Nations General Assembly United Nations Economic and Social Council","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
