"","titles","max.col"
"1","adaptation funding","participation_keystems"
"2","air quality management","reflex_adpt_keystems"
"3","anti-corruption in the context of the 2030 agenda","democratic_keystems"
"4","becoming a business leader on the global goals",NA
"5","changing mindsets in public institutions to implement the 2030 agenda for sustainable development",NA
"6","cities and marine plastic pollution: building a circular economy","democratic_keystems"
"7","civil registration and vital statistics systems","democratic_keystems"
"8","climate mitigation initiatives","reflex_adpt_keystems"
"9","compilation and application of environmentally extended supply-use tables","democratic_keystems"
"10","digit4sd: digital government implementation","democratic_keystems"
"11","e-government for women s empowerment",NA
"12","e-learning on gender statistics","reflex_adpt_keystems"
"13","e-learning series on public-private partnerships","participation_keystems"
"14","e-training on gdp re-basing","democratic_keystems"
"15","e-training on gender statistics","reflex_adpt_keystems"
"16","e-training on the compilation and application of supply-use tables (suts) in afr","democratic_keystems"
"17","e-training on the framework for development of environmental statistics (fdes)","reflex_adpt_keystems"
"18","effective national to local public governance for sdg implementation","democratic_keystems"
"19","ensuring women s legal rights to land ownership and/or control","reflex_adpt_keystems"
"20","environmental sdg indicators","reflex_adpt_keystems"
"21","equip","democratic_keystems"
"22","financing in health","participation_keystems"
"23","fisheries and aquaculture statistics","reflex_adpt_keystems"
"24","follow-up and review (fur) and the voluntary national review (vnr)","participation_keystems"
"25","foresight for development, the 2030 agenda and the sdgs","participation_keystems"
"26","formation introductive sur la jeunesse, la paix et la s<e9>curit<e9>","participation_keystems"
"27","government innovation for social inclusion of vulnerable groups","participation_keystems"
"28","how to align your business strategy with the global goals",NA
"29","ilo labour market statistics and analysis academy","reflex_adpt_keystems"
"30","industrial policy in the 21st century: the challenge for africa","democratic_keystems"
"31","infrastructure asset management for sustainable development","democratic_keystems"
"32","infrastructure, public-private partnerships, and fiscal management","reflex_adpt_keystems"
"33","innovation and digital government for public service delivery <u+200b>","democratic_keystems"
"34","integrated policies and policy coherence for sdgs","policy_coh_keystems"
"35","integrated policies and policy coherence for the sdgs","policy_coh_keystems"
"36","integrated recovery planning and policy coherence towards the sdgs","policy_coh_keystems"
"37","integrating climate risk information into naps","participation_keystems"
"38","integration of the sdgs into national planning","policy_coh_keystems"
"39","international business alliance","democratic_keystems"
"40","international law and the united nations system",NA
"41","introduction to data governance for monitoring the sdgs","reflex_adpt_keystems"
"42","introduction to index insurance","participation_keystems"
"43","introduction to standards and sustainability","participation_keystems"
"44","introduction to sustainable development goal indicators under fao custodianship","reflex_adpt_keystems"
"45","introduction to the seea central framework","reflex_adpt_keystems"
"46","introductory training on youth, peace and security","participation_keystems"
"47","labour productivity and income of small-scale food producers","reflex_adpt_keystems"
"48","law of international organizations extended edition",NA
"49","law of treaties extended edition",NA
"50","leip","policy_coh_keystems"
"51","m.a. development studies and diplomacy","democratic_keystems"
"52","m.a. in international law and diplomacy","democratic_keystems"
"53","ma development studies and diplomacy","democratic_keystems"
