"","titles","authors","au_category","piece","weblink","id.id","id.titles","id.authors","id.au_category","id.piece","id.weblink"
"1","Planning for Climate Change in African Cities","United Cities and Local Governments of Africa","United Cities and Local Governments of Africa","United_Cities_and_Local_Governments_of_Africa","https://wikipedia.org/wiki/United_Cities_and_Local_Governments_of_Africa",  1,Planning for Climate Change in African Cities,United Cities and Local Governments of Africa,United Cities and Local Governments of Africa,United_Cities_and_Local_Governments_of_Africa,https://wikipedia.org/wiki/United_Cities_and_Local_Governments_of_Africa
"2","Planning for Climate Change in African Cities","African Local Government Academy","African Local Government Academy","African_Local_Government_Academy","https://wikipedia.org/wiki/African_Local_Government_Academy",  2,Planning for Climate Change in African Cities,African Local Government Academy,African Local Government Academy,African_Local_Government_Academy,https://wikipedia.org/wiki/African_Local_Government_Academy
"3","Planning for Climate Change in African Cities","Erasmus University Rotterdam","Erasmus University Rotterdam","Erasmus_University_Rotterdam","https://wikipedia.org/wiki/Erasmus_University_Rotterdam",  3,Planning for Climate Change in African Cities,Erasmus University Rotterdam,Erasmus University Rotterdam,Erasmus_University_Rotterdam,https://wikipedia.org/wiki/Erasmus_University_Rotterdam
"4","Planning for Climate Change in African Cities","Institute for Housing and Urban Development","Institute for Housing and Urban Development","Institute_for_Housing_and_Urban_Development","https://wikipedia.org/wiki/Institute_for_Housing_and_Urban_Development",  4,Planning for Climate Change in African Cities,Institute for Housing and Urban Development,Institute for Housing and Urban Development,Institute_for_Housing_and_Urban_Development,https://wikipedia.org/wiki/Institute_for_Housing_and_Urban_Development
"5","Principles of Sustainable Finance","Erasmus University Rotterdam","Erasmus University Rotterdam","Erasmus_University_Rotterdam","https://wikipedia.org/wiki/Erasmus_University_Rotterdam",  5,Principles of Sustainable Finance,Erasmus University Rotterdam,Erasmus University Rotterdam,Erasmus_University_Rotterdam,https://wikipedia.org/wiki/Erasmus_University_Rotterdam
"6","Greening the Economy: Lessons from Scandinavia","Lund University","Lund University","Lund_University","https://wikipedia.org/wiki/Lund_University",  6,Greening the Economy: Lessons from Scandinavia,Lund University,Lund University,Lund_University,https://wikipedia.org/wiki/Lund_University
"7","Introduction to Environmental Law and Policy","The University of North Carolina at Chapel Hill","The University of North Carolina at Chapel Hill","The_University_of_North_Carolina_at_Chapel_Hill","https://wikipedia.org/wiki/The_University_of_North_Carolina_at_Chapel_Hill",  7,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,The University of North Carolina at Chapel Hill,The_University_of_North_Carolina_at_Chapel_Hill,https://wikipedia.org/wiki/The_University_of_North_Carolina_at_Chapel_Hill
"8","Climate Change Mitigation in Developing Countries","University of Cape Town","University of Cape Town","University_of_Cape_Town","https://wikipedia.org/wiki/University_of_Cape_Town",  8,Climate Change Mitigation in Developing Countries,University of Cape Town,University of Cape Town,University_of_Cape_Town,https://wikipedia.org/wiki/University_of_Cape_Town
"9","Climate Change and Water in Mountains: A Global Concern","University of Geneva","University of Geneva","University_of_Geneva","https://wikipedia.org/wiki/University_of_Geneva",  9,Climate Change and Water in Mountains: A Global Concern,University of Geneva,University of Geneva,University_of_Geneva,https://wikipedia.org/wiki/University_of_Geneva
"10","Our Earth: Its Climate, History, and Processes","University of Manchester","University of Manchester","University_of_Manchester","https://wikipedia.org/wiki/University_of_Manchester", 10,Our Earth: Its Climate, History, and Processes,University of Manchester,University of Manchester,University_of_Manchester,https://wikipedia.org/wiki/University_of_Manchester
