"","titles","description"
"1","Planning for Climate Change in African Cities","Climate change poses a threat to economic growth and long-term prosperity of many countries around the world. Africa is not an exception, considering the actual and potential impacts of climate change and climate variability that will threaten its vulnerable sectors and human populations. African countries are projected to experience changing rainfall patterns, rising sea levels, and higher temperatures that will affect food security, agricultural production, water availability, and public health, among others. These climate change impacts and climate variability can further produce social and political problems, such as rural-urban migration and water resource disputes.   , Furthermore, the low levels of development in many African countries, as well as limited institutional, infrastructural, and technical capacities to respond successfully to climate change impacts and climate variability, can exacerbate the situation. In terms of contribution to greenhouse gas (GHG) emissions, although African countries are the lightest polluters, it has also become apparent that alternative energy sources can offset the increasing energy demand and dependence on biomass. Addressing climate change offers possibilities for low-carbon development. Moreover, there are promising mechanisms that can address both climate change actions and development goals simultaneously. 

At the city level, strengthening resilience, or the ability to respond to and absorb the effects of a hazardous event in a timely and efficient manner and to sustain this ability in the future, and adaptation; the process of adjusting to actual or expected climate change stimuli or their effects, should be at the forefront of planning.  Local governments have an important role to play through the provision of adequate infrastructure, regulation of land use, and other public services that are crucial for urban resilience. Mobilizing local governments, in collaboration with national governments, non-governmental organizations, and international organizations, among others, is also critical for an integrated multi-sectoral approach to climate change. 

The Course on Planning for Climate Change in African Cities provides the foundation for understanding cities<U+0092> exposure and sensitivity to climate change, and how cities can manage these impacts in the face of growing uncertainty. It does so by introducing the basic concepts of urban resilience and adaptation, by using illustrative case studies in different African cities. Furthermore, this module provides lectures on the different approaches for climate change planning, whether ad hoc, strategic or mainstreaming; introduces the different steps in the planning cycle <U+0096> from initial assessment to monitoring and evaluation; and presents the different decision support and assessment tools for prioritizing climate change actions. This course broadens the discussion on planning for climate change by engaging learners to apply their knowledge and practice their decision-making skills in a simulated exercise.

In line with development that minimizes the harm caused by climate change impacts, while maximizing the many human development opportunities presented by a more resilient future, we ask: what are the connections between urban risk and vulnerability? How is climate change and urban resilience conceptualized and applied in practice? Which policies and measures should be introduced to address climate change? Finally, how to choose among different measures that address climate change adaptation, urban resilience, and other development objectives? 

Course Objectives:
At the end of this course, learners should be able to:

<U+0095>	Recognize the effects, impacts, and drivers of climate change in cities
<U+0095>	Understand the drivers of urban risk and vulnerability in the context of climate change 
<U+0095>	Distinguish the typologies, approaches, and tensions of climate change adaptation 
<U+0095>	Explain the different approaches and steps in climate change planning 
<U+0095>	Examine the decision support and assessment tools for climate change
<U+0095>	Develop a climate change plan based on participants<U+0092> city contexts"
"2","Principles of Sustainable Finance","Finance is widely seen as an obstacle to a better world. Principles of Sustainable Finance explains how the financial sector can be mobilized to counter this. Using finance as a means to achieve social goals we can divert the planet and its economy from its current path to a world that is sustainable for all.  , Throughout this course, you will learn about the UN Sustainable Development Goals, how social and environmental factors should not be regarded as externalities, you will learn more about sustainable banking and asset management, about effective engagement, sustainable scenario analysis and long-term value creation. 

At the end of this course you will understand how sustainable finance can be used as a tool to steer the sustainability transition."
"3","Greening the Economy: Lessons from Scandinavia","How can we live a good life on one planet with over seven billion people? , This course will explore greening the economy on four levels <U+0096> individual, business, city, and nation. We will look at the relationships between these levels and give many practical examples of the complexities and solutions across the levels. Scandinavia, a pioneering place advancing sustainability and combating climate change, is a unique starting point for learning about greening the economy. We will learn from many initiatives attempted in Scandinavia since the 1970s, which are all potentially helpful and useful for other countries and contexts.

The International Institute for Industrial Environmental Economics (IIIEE) at Lund University is an international centre of excellence on strategies for sustainable solutions. The IIIEE is ideally suited to understand and explain the interdisciplinary issues in green economies utilising the diverse disciplinary backgrounds of its international staff. The IIIEE has been researching and teaching on sustainability and greener economies since the 1990s and it has extensive international networks connecting with a variety of organizations."
"4","Introduction to Environmental Law and Policy","Environmental law may be the one institution standing between us and planetary exhaustion. It is also an institution that needs to be reconciled with human liberty and economic aspirations. This course considers these issues and provides a tour though existing legal regimes governing pollution, water law, endangered species, toxic substances, environmental impact analyses, and environmental risk., Note: The<U+00A0>Environmental Law & Policy Course will close for new learner enrollment on February 22, 2019. Learners who have already enrolled will continue to see it on their Coursera Dashboard as long as they remain enrolled in the course. If you are currently enrolled in this course, please see the announcement sent on February 19, 2019, for additional details."
"5","Climate Change Mitigation in Developing Countries","This course challenges you to consider how one might lift societies out of poverty while also mitigating greenhouse gas emissions. We explore the inherent complexity of developing country governments wanting to grow their economies in a climate friendly way. You will be introduced to an approach with which to address this challenge. The approach consists of a facilitated process whereby academic researchers and high-level influential actors within society co-produce knowledge. You will track this process in four Latin American countries - Brazil, Chile, Colombia, Peru, and South Africa. You will hear from various professionals about their contexts and the different challenges and opportunities the process includes., This course will cover topics such as facilitation process techniques, energy modeling, scenario building, innovation and policy making. You will have the opportunity to respond to these topics with ideas and reflection from your own context. Whether you are a climate change practitioner, work in development or are simply curious about how climate mitigation is understood, this course will give you insights into the complexity of how countries from the South pursue development goals while addressing climate mitigation.

The course is free to enroll and take. You will be offered the option of purchasing a certificate of completion, which you become eligible for if you successfully complete the course requirements.  This can be an excellent way of staying motivated!  Financial Aid is also available."
"6","Climate Change and Water in Mountains: A Global Concern","What is climate change ? How are mountain regions affected by the evolution of water resources and their uses ? What kind of risks need to be considered ? , Mountains are recognized as particularly sensitive physical environments where intense and rapid changes have in the past, and may increasingly in the future, place pressure on their resource base. 

In this context, a team of roughly 100 experts worked from 2008 to 2013 for the European ACQWA project (www.acqwa.ch) which was coordinated by the University of Geneva. The primary objectives of the project were to assess the impacts of a changing climate on the quantity and quality of water originating in mountain regions, particularly where snow- and ice melt represent a large, sometimes the largest, streamflow component. A further objective of the project was to determine the potential disruptions to water-dependent economic activities related to the climate impacts on hydrological systems, and to propose a portfolio of possible adaptation strategies.

This particular MOOC is inspired by the ACQWA Project and offers a better understanding of climate change, its impacts on the quality and quantity of water in mountain regions and the risks related to changing water resources. From an interdisciplinary perspective, the participation of twenty-five instructors from five different countries (Switzerland, England, South Korea, India and Nepal) and fourteen institutions (UNIGE, RTS, UNIFR, UZH, ETHZ, Meteodat GmbH, WGMS, Imperial College London, Agroscope, R<e9>publique et Canton de Gen<e8>ve, Yonsei University, IHCAP, ICIMOD, SDC, FOEN) highlights the diversity of both theoretical and practical viewpoints related to these issues.

By the end of this course, you will be able :

- to define the general concept of climate change in mountain regions
- to understand the concepts associated with climate change such as adaptation and water governance strategies
- to consider the impacts of climate change on water resources in mountain regions
- to identify the impacts of climate change on hydropower, agriculture, aquatic ecosystems and health 
- to enumerate risks that can occur in mountain areas and lead to disruptions in water availability and use.

Your acquired knowledge will be evaluated through multiple-choice quizzes at the end of each unit of the course.

This MOOC on <U+0093>Climate Change and Water in Mountain Regions : A Global Concern<U+0094> was initiated and financed by the University of Geneva, through its Institute for Environmental Sciences. 

We look forward to you joining us !"
"7","Our Earth: Its Climate, History, and Processes","Develop a greater appreciation for how the air, water, land, and life formed and have interacted over the last 4.5 billion years."
"8","Ecology: Ecosystem Dynamics and Conservation","This course is an introduction to ecology and ecosystem dynamics using a systems thinking lens. Through a case study on Mozambique's Gorongosa National Park, learners will explore how scientists study ecosystems, and investigate the complex array of factors that inform management efforts. At the end of the course, learners will be able to grapple with real-world conservation questions, such as whether an ecosystem can recover from anthropogenic disruption and what role humans can, and should, play in that recovery."
"9","Introduction to the Arctic: Climate","The University of Alberta, the University of Tromso and the University of the Arctic invite you to explore this four week course that examines the environment and climate of the circumpolar North. This course is the result of an international collaboration and provides you with an insight into our planet's North. Following an overview of regional geography, we will focus on the cryosphere (ice), as well as the atmosphere and ocean of the region. We will learn why the Arctic is cold and ice covered, and how that impacts its climate and ecosystems. We will also consider how the Arctic is connected to the rest of the world. Finally, we will examine present day climate change, the processes driving it, and evidence for it in the Arctic, before looking at the implications in the rapidly evolving North. Watch a preview of the course here: https://uofa.ualberta.ca/courses/arctic-climate"
"10","Frozen in the Ice: Exploring the Arctic","Why would hundreds of scientists from around the world intentionally freeze a ship in Arctic sea ice for an entire year, braving subzero temperatures and months of polar darkness? This may sound like a fictional adventure movie plot, but from September 2019 through October 2020, the MOSAiC (Multidisciplinary drifting Observatory for the Study of Arctic Climate) Arctic research expedition did just this. , In this course, you<U+0092>ll hear directly from MOSAiC scientists and Arctic experts as they describe why this expedition is so key for increasing our understanding of the Arctic and global climate systems and what kinds of data they will be collecting during MOSAiC on the ice, under the sea, and in the air. The course kicks off with content around Arctic geography, climate, and exploration history, and then walks learners through the basics of the components of the Arctic system: atmosphere, ocean, sea ice and ecosystems. You will also learn how the data collected during MOSAiC will be used to improve climate model projections. Finally, we will wrap up the course by exploring challenges the new Arctic faces, including how indigenous peoples in the Arctic are being impacted in different ways by a changing Arctic environment."
