"","...1","id","titles","category","description","major_categ","key_category","stem"
"1",1,1,"Planning for Climate Change in African Cities","democratic institutions","climate change poses threat economic growth long term prosperity many countries around world africa exception considering actual potential impacts climate change climate variability threaten vulnerable sectors human populations african countries projected experience changing rainfall patterns rising sea levels higher temperatures affect food security agricultural production water availability public health among others climate change impacts climate variability can produce social political problems rural urban migration water resource disputes furthermore low levels development many african countries well limited institutional infrastructural technical capacities respond successfully climate change impacts climate variability can exacerbate situation terms contribution greenhouse gas ghg emissions although african countries lightest polluters also become apparent alternative energy sources can offset increasing energy demand dependence biomass addressing climate change offers possibilities low carbon development moreover promising mechanisms can address climate change actions development goals simultaneously city level strengthening resilience ability respond absorb effects hazardous event timely efficient manner sustain ability future adaptation process adjusting actual expected climate change stimuli effects forefront planning local governments important role play provision adequate infrastructure regulation land use public services crucial urban resilience mobilizing local governments collaboration national governments non governmental organizations international organizations among others also critical integrated multi sectoral approach climate change course planning climate change african cities provides foundation understanding cities exposure sensitivity climate change cities can manage impacts face growing uncertainty introducing basic concepts urban resilience adaptation using illustrative case studies different african cities furthermore module provides lectures different approaches climate change planning whether ad hoc strategic mainstreaming introduces different steps planning cycle initial assessment monitoring evaluation presents different decision support assessment tools prioritizing climate change actions course broadens discussion planning climate change engaging learners apply knowledge practice decision making skills simulated exercise line development minimizes harm caused climate change impacts maximizing many human development opportunities presented resilient future ask connections urban risk vulnerability climate change urban resilience conceptualized applied practice policies measures introduced address climate change finally choose among different measures address climate change adaptation urban resilience development objectives course objectives end course learners able recognize effects impacts drivers climate change cities understand drivers urban risk vulnerability context climate change distinguish typologies approaches tensions climate change adaptation explain different approaches steps climate change planning examine decision support assessment tools climate change develop climate change plan based participants city contexts",3,"climate change poses threat economic growth long term prosperity many countries around world africa exception considering actual potential impacts climate change climate variability will threaten vulnerable sectors human populations african countries projected experience changing rainfall patterns rising sea levels higher temperatures will affect food security agricultural production water availability public health among others climate change impacts climate variability can produce social political problems rural urban migration water resource disputes furthermore low levels development many african countries well limited institutional infrastructural technical capacities respond successfully climate change impacts climate variability can exacerbate situation terms contribution greenhouse gas ghg emissions although african countries lightest polluters also become apparent alternative energy sources can offset increasing energy demand dependence biomass addressing climate change offers possibilities low carbon development moreover promising mechanisms can address climate change actions development goals simultaneously city level strengthening resilience ability respond absorb effects hazardous event timely efficient manner sustain ability future adaptation process adjusting actual expected climate change stimuli effects forefront planning local governments important role play provision adequate infrastructure regulation land use public services crucial urban resilience mobilizing local governments collaboration national governments non governmental organizations international organizations among others also critical integrated multi sectoral approach climate change course planning climate change african cities provides foundation understanding cities exposure sensitivity climate change cities can manage impacts face growing uncertainty introducing basic concepts urban resilience adaptation using illustrative case studies different african cities furthermore module provides lectures different approaches climate change planning whether ad hoc strategic mainstreaming introduces different steps planning cycle  initial assessment monitoring evaluation presents different decision support assessment tools prioritizing climate change actions course broadens discussion planning climate change engaging learners apply knowledge practice decision making skills simulated exercise line development minimizes harm caused climate change impacts maximizing many human development opportunities presented resilient future ask connections urban risk vulnerability climate change urban resilience conceptualized applied practice policies measures introduced address climate change finally choose among different measures address climate change adaptation urban resilience development objectives course objectives end course learners able <U+3E35> recognize effects impacts drivers climate change cities <U+3E35> understand drivers urban risk vulnerability context climate change <U+3E35> distinguish typologies approaches tensions climate change adaptation <U+3E35> explain different approaches steps climate change planning <U+3E35> examine decision support assessment tools climate change <U+3E35> develop climate change plan based participants city contexts","climat chang pose threat econom growth long term prosper mani countri around world africa except consid actual potenti impact climat chang climat variabl will threaten vulner sector human popul african countri project experi chang rainfal pattern rise sea level higher temperatur will affect food secur agricultur product water avail public health among other climat chang impact climat variabl can produc social polit problem rural urban migrat water resourc disput furthermor low level develop mani african countri well limit institut infrastructur technic capac respond success climat chang impact climat variabl can exacerb situat term contribut greenhous gas ghg emiss although african countri lightest pollut also becom appar altern energi sourc can offset increas energi demand depend biomass address climat chang offer possibl low carbon develop moreov promis mechan can address climat chang action develop goal simultan citi level strengthen resili abil respond absorb effect hazard event time effici manner sustain abil futur adapt process adjust actual expect climat chang stimuli effect forefront plan local govern import role play provis adequ infrastructur regul land use public servic crucial urban resili mobil local govern collabor nation govern non government organ intern organ among other also critic integr multi sector approach climat chang cours plan climat chang african citi provid foundat understand cities exposur sensit climat chang citi can manag impact face grow uncertainti introduc basic concept urban resili adapt use illustr case studi differ african citi furthermor modul provid lectur differ approach climat chang plan whether ad hoc strateg mainstream introduc differ step plan cycl  initi assess monitor evalu present differ decis support assess tool priorit climat chang action cours broaden discuss plan climat chang engag learner appli knowledg practic decis make skill simul exercis line develop minim harm caus climat chang impact maxim mani human develop opportun present resili futur ask connect urban risk vulner climat chang urban resili conceptu appli practic polici measur introduc address climat chang final choos among differ measur address climat chang adapt urban resili develop object cours object end cours learner abl <U+3E35> recogn effect impact driver climat chang citi <U+3E35> understand driver urban risk vulner context climat chang <U+3E35> distinguish typolog approach tension climat chang adapt <U+3E35> explain differ approach step climat chang plan <U+3E35> examin decis support assess tool climat chang <U+3E35> develop climat chang plan base participants citi context"
"2",2,2,"Principles of Sustainable Finance","participation","finance widely seen obstacle better world principles sustainable finance explains financial sector can mobilized counter using finance means achieve social goals can divert planet economy current path world sustainable throughout course learn un sustainable development goals social environmental factors regarded externalities learn sustainable banking asset management effective engagement sustainable scenario analysis long term value creation end course understand sustainable finance can used tool steer sustainability transition",1,"finance widely seen obstacle better world principles sustainable finance explains financial sector can mobilized counter using finance means achieve social goals can divert planet economy current path world sustainable throughout course will learn un sustainable development goals social environmental factors regarded externalities will learn sustainable banking asset management effective engagement sustainable scenario analysis long term value creation end course will understand sustainable finance can used tool steer sustainability transition","financ wide seen obstacl better world principl sustain financ explain financi sector can mobil counter use financ mean achiev social goal can divert planet economi current path world sustain throughout cours will learn un sustain develop goal social environment factor regard extern will learn sustain bank asset manag effect engag sustain scenario analysi long term valu creation end cours will understand sustain financ can use tool steer sustain transit"
"3",3,3,"Greening the Economy: Lessons from Scandinavia","policy coherence","can live good life one planet seven billion people course explore greening economy four levels individual business city nation look relationships levels give many practical examples complexities solutions across levels scandinavia pioneering place advancing sustainability combating climate change unique starting point learning greening economy learn many initiatives attempted scandinavia since 1970s potentially helpful useful countries contexts international institute industrial environmental economics iiiee lund university international centre excellence strategies sustainable solutions iiiee ideally suited understand explain interdisciplinary issues green economies utilising diverse disciplinary backgrounds international staff iiiee researching teaching sustainability greener economies since 1990s extensive international networks connecting variety organizations",2,"can live good life one planet seven billion people course will explore greening economy four levels  individual business city nation will look relationships levels give many practical examples complexities solutions across levels scandinavia pioneering place advancing sustainability combating climate change unique starting point learning greening economy will learn many initiatives attempted scandinavia since 1970s potentially helpful useful countries contexts international institute industrial environmental economics iiiee lund university international centre excellence strategies sustainable solutions iiiee ideally suited understand explain interdisciplinary issues green economies utilising diverse disciplinary backgrounds international staff iiiee researching teaching sustainability greener economies since 1990s extensive international networks connecting variety organizations","can live good life one planet seven billion peopl cours will explor green economi four level  individu busi citi nation will look relationship level give mani practic exampl complex solut across level scandinavia pioneer place advanc sustain combat climat chang uniqu start point learn green economi will learn mani initi attempt scandinavia sinc 1970s potenti help use countri context intern institut industri environment econom iiiee lund univers intern centr excel strategi sustain solut iiiee ideal suit understand explain interdisciplinari issu green economi utilis divers disciplinari background intern staff iiiee research teach sustain greener economi sinc 1990s extens intern network connect varieti organ"
"4",4,4,"Introduction to Environmental Law and Policy","democratic institutions","environmental law may one institution standing us planetary exhaustion also institution needs reconciled human liberty economic aspirations course considers issues provides tour though existing legal regimes governing pollution water law endangered species toxic substances environmental impact analyses environmental risk note u 00a0 environmental law policy course close new learner enrollment february 22 2019 learners already enrolled continue see coursera dashboard long remain enrolled course currently enrolled course please see announcement sent february 19 2019 additional details",3,"environmental law may one institution standing us planetary exhaustion also institution needs reconciled human liberty economic aspirations course considers issues provides tour though existing legal regimes governing pollution water law endangered species toxic substances environmental impact analyses environmental risk note theenvironmental law policy course will close new learner enrollment february 22 2019 learners already enrolled will continue see coursera dashboard long remain enrolled course currently enrolled course please see announcement sent february 19 2019 additional details","environment law may one institut stand us planetari exhaust also institut need reconcil human liberti econom aspir cours consid issu provid tour though exist legal regim govern pollut water law endang speci toxic substanc environment impact analys environment risk note theenvironment law polici cours will close new learner enrol februari 22 2019 learner alreadi enrol will continu see coursera dashboard long remain enrol cours current enrol cours pleas see announc sent februari 19 2019 addit detail"
"5",5,5,"Climate Change Mitigation in Developing Countries","democratic institutions","course challenges consider one might lift societies poverty also mitigating greenhouse gas emissions explore inherent complexity developing country governments wanting grow economies climate friendly way introduced approach address challenge approach consists facilitated process whereby academic researchers high level influential actors within society co produce knowledge track process four latin american countries brazil chile colombia peru south africa hear various professionals contexts different challenges opportunities process includes course cover topics facilitation process techniques energy modeling scenario building innovation policy making opportunity respond topics ideas reflection context whether climate change practitioner work development simply curious climate mitigation understood course give insights complexity countries south pursue development goals addressing climate mitigation course free enroll take offered option purchasing certificate completion become eligible successfully complete course requirements can excellent way staying motivated financial aid also available",3,"course challenges consider one might lift societies poverty also mitigating greenhouse gas emissions explore inherent complexity developing country governments wanting grow economies climate friendly way will introduced approach address challenge approach consists facilitated process whereby academic researchers high level influential actors within society co produce knowledge will track process four latin american countries brazil chile colombia peru south africa will hear various professionals contexts different challenges opportunities process includes course will cover topics facilitation process techniques energy modeling scenario building innovation policy making will opportunity respond topics ideas reflection context whether climate change practitioner work development simply curious climate mitigation understood course will give insights complexity countries south pursue development goals addressing climate mitigation course free enroll take will offered option purchasing certificate completion become eligible successfully complete course requirements can excellent way staying motivated financial aid also available","cours challeng consid one might lift societi poverti also mitig greenhous gas emiss explor inher complex develop countri govern want grow economi climat friend way will introduc approach address challeng approach consist facilit process wherebi academ research high level influenti actor within societi co produc knowledg will track process four latin american countri brazil chile colombia peru south africa will hear various profession context differ challeng opportun process includ cours will cover topic facilit process techniqu energi model scenario build innov polici make will opportun respond topic idea reflect context whether climat chang practition work develop simpli curious climat mitig understood cours will give insight complex countri south pursu develop goal address climat mitig cours free enrol take will offer option purchas certif complet becom elig success complet cours requir can excel way stay motiv financi aid also avail"
"6",6,6,"Climate Change and Water in Mountains: A Global Concern","policy coherence","climate change mountain regions affected evolution water resources uses kind risks need considered mountains recognized particularly sensitive physical environments intense rapid changes past may increasingly future place pressure resource base context team roughly 100 experts worked 2008 2013 european acqwa project www acqwa ch coordinated university geneva primary objectives project assess impacts changing climate quantity quality water originating mountain regions particularly snow ice melt represent large sometimes largest streamflow component objective project determine potential disruptions water dependent economic activities related climate impacts hydrological systems propose portfolio possible adaptation strategies particular mooc inspired acqwa project offers better understanding climate change impacts quality quantity water mountain regions risks related changing water resources interdisciplinary perspective participation twenty five instructors five different countries switzerland england south korea india nepal fourteen institutions unige rts unifr uzh ethz meteodat gmbh wgms imperial college london agroscope r e9 publique et canton de gen e8 ve yonsei university ihcap icimod sdc foen highlights diversity theoretical practical viewpoints related issues end course able define general concept climate change mountain regions understand concepts associated climate change adaptation water governance strategies consider impacts climate change water resources mountain regions identify impacts climate change hydropower agriculture aquatic ecosystems health enumerate risks can occur mountain areas lead disruptions water availability use acquired knowledge evaluated multiple choice quizzes end unit course mooc u 0093 climate change water mountain regions global concern u 0094 initiated financed university geneva institute environmental sciences look forward joining us",2,"climate change mountain regions affected evolution water resources uses kind risks need considered mountains recognized particularly sensitive physical environments intense rapid changes past may increasingly future place pressure resource base context team roughly 100 experts worked 2008 2013 european acqwa project www acqwa ch coordinated university geneva primary objectives project assess impacts changing climate quantity quality water originating mountain regions particularly snow ice melt represent large sometimes largest streamflow component objective project determine potential disruptions water dependent economic activities related climate impacts hydrological systems propose portfolio possible adaptation strategies particular mooc inspired acqwa project offers better understanding climate change impacts quality quantity water mountain regions risks related changing water resources interdisciplinary perspective participation twenty five instructors five different countries switzerland england south korea india nepal fourteen institutions unige rts unifr uzh ethz meteodat gmbh wgms imperial college london agroscope r<U+653C>publique et canton de gen<U+653C><U+3E38>ve yonsei university ihcap icimod sdc foen highlights diversity theoretical practical viewpoints related issues end course will able define general concept climate change mountain regions understand concepts associated climate change adaptation water governance strategies consider impacts climate change water resources mountain regions identify impacts climate change hydropower agriculture aquatic ecosystems health enumerate risks can occur mountain areas lead disruptions water availability use acquired knowledge will evaluated multiple choice quizzes end unit course mooc climate change water mountain regions global concern initiated financed university geneva institute environmental sciences look forward joining us","climat chang mountain region affect evolut water resourc use kind risk need consid mountain recogn particular sensit physic environ intens rapid chang past may increas futur place pressur resourc base context team rough 100 expert work 2008 2013 european acqwa project www acqwa ch coordin univers geneva primari object project assess impact chang climat quantiti qualiti water origin mountain region particular snow ice melt repres larg sometim largest streamflow compon object project determin potenti disrupt water depend econom activ relat climat impact hydrolog system propos portfolio possibl adapt strategi particular mooc inspir acqwa project offer better understand climat chang impact qualiti quantiti water mountain region risk relat chang water resourc interdisciplinari perspect particip twenti five instructor five differ countri switzerland england south korea india nepal fourteen institut unig rts unifr uzh ethz meteodat gmbh wgms imperi colleg london agroscop r<U+653C>publiqu et canton de gen<U+653C><U+3E38>v yonsei univers ihcap icimod sdc foen highlight divers theoret practic viewpoint relat issu end cours will abl defin general concept climat chang mountain region understand concept associ climat chang adapt water govern strategi consid impact climat chang water resourc mountain region identifi impact climat chang hydropow agricultur aquat ecosystem health enumer risk can occur mountain area lead disrupt water avail use acquir knowledg will evalu multipl choic quizz end unit cours mooc climat chang water mountain region global concern initi financ univers geneva institut environment scienc look forward join us"
"7",7,7,"Our Earth: Its Climate, History, and Processes","participation","develop greater appreciation air water land life formed interacted last 4 5 billion years",1,"develop greater appreciation air water land life formed interacted last 4 5 billion years","develop greater appreci air water land life form interact last 4 5 billion year"
"8",8,8,"Ecology: Ecosystem Dynamics and Conservation","democratic institutions","course introduction ecology ecosystem dynamics using systems thinking lens case study mozambique s gorongosa national park learners explore scientists study ecosystems investigate complex array factors inform management efforts end course learners able grapple real world conservation questions whether ecosystem can recover anthropogenic disruption role humans can play recovery",3,"course introduction ecology ecosystem dynamics using systems thinking lens case study mozambique s gorongosa national park learners will explore scientists study ecosystems investigate complex array factors inform management efforts end course learners will able grapple real world conservation questions whether ecosystem can recover anthropogenic disruption role humans can play recovery","cours introduct ecolog ecosystem dynam use system think len case studi mozambiqu s gorongosa nation park learner will explor scientist studi ecosystem investig complex array factor inform manag effort end cours learner will abl grappl real world conserv question whether ecosystem can recov anthropogen disrupt role human can play recoveri"
"9",9,9,"Introduction to the Arctic: Climate","reflexivity and adaptation","university alberta university tromso university arctic invite explore four week course examines environment climate circumpolar north course result international collaboration provides insight planet s north following overview regional geography focus cryosphere ice well atmosphere ocean region learn arctic cold ice covered impacts climate ecosystems also consider arctic connected rest world finally examine present day climate change processes driving evidence arctic looking implications rapidly evolving north watch preview course https uofa ualberta ca courses arctic climate",4,"university alberta university tromso university arctic invite explore four week course examines environment climate circumpolar north course result international collaboration provides insight planet s north following overview regional geography will focus cryosphere ice well atmosphere ocean region will learn arctic cold ice covered impacts climate ecosystems will also consider arctic connected rest world finally will examine present day climate change processes driving evidence arctic looking implications rapidly evolving north watch preview course https uofa ualberta ca courses arctic climate","univers alberta univers tromso univers arctic invit explor four week cours examin environ climat circumpolar north cours result intern collabor provid insight planet s north follow overview region geographi will focus cryospher ice well atmospher ocean region will learn arctic cold ice cover impact climat ecosystem will also consid arctic connect rest world final will examin present day climat chang process drive evid arctic look implic rapid evolv north watch preview cours https uofa ualberta ca cours arctic climat"
"10",10,10,"Frozen in the Ice: Exploring the Arctic","democratic institutions","hundreds scientists around world intentionally freeze ship arctic sea ice entire year braving subzero temperatures months polar darkness may sound like fictional adventure movie plot september 2019 october 2020 mosaic multidisciplinary drifting observatory study arctic climate arctic research expedition just course youll hear directly mosaic scientists arctic experts describe expedition key increasing understanding arctic global climate systems kinds data collecting mosaic ice sea air course kicks content around arctic geography climate exploration history walks learners basics components arctic system atmosphere ocean sea ice ecosystems also learn data collected mosaic used improve climate model projections finally wrap course exploring challenges new arctic faces including indigenous peoples arctic impacted different ways changing arctic environment",3,"hundreds scientists around world intentionally freeze ship arctic sea ice entire year braving subzero temperatures months polar darkness may sound like fictional adventure movie plot september 2019 october 2020 mosaic multidisciplinary drifting observatory study arctic climate arctic research expedition just course youll hear directly mosaic scientists arctic experts describe expedition key increasing understanding arctic global climate systems kinds data will collecting mosaic ice sea air course kicks content around arctic geography climate exploration history walks learners basics components arctic system atmosphere ocean sea ice ecosystems will also learn data collected mosaic will used improve climate model projections finally will wrap course exploring challenges new arctic faces including indigenous peoples arctic impacted different ways changing arctic environment","hundr scientist around world intent freez ship arctic sea ice entir year brave subzero temperatur month polar dark may sound like fiction adventur movi plot septemb 2019 octob 2020 mosaic multidisciplinari drift observatori studi arctic climat arctic research expedit just cours youll hear direct mosaic scientist arctic expert describ expedit key increas understand arctic global climat system kind data will collect mosaic ice sea air cours kick content around arctic geographi climat explor histori walk learner basic compon arctic system atmospher ocean sea ice ecosystem will also learn data collect mosaic will use improv climat model project final will wrap cours explor challeng new arctic face includ indigen peopl arctic impact differ way chang arctic environ"
