"","exists","weblink_au"
"1",FALSE,"https://wikipedia.org/wiki/United_Cities_and_Local_Governments_of_Africa"
"2",FALSE,"https://wikipedia.org/wiki/African_Local_Government_Academy"
"4",FALSE,"https://wikipedia.org/wiki/Institute_for_Housing_and_Urban_Development"
"32",FALSE,"https://wikipedia.org/wiki/<U+633C><U+3E39>cole_normale_sup<U+653C><U+3E39>rieure"
"90",FALSE,"https://wikipedia.org/wiki/SDSN"
"91",FALSE,"https://wikipedia.org/wiki/UNDCO"
"105",FALSE,"https://wikipedia.org/wiki/SDSN"
"106",FALSE,"https://wikipedia.org/wiki/UNDCO"
"226",FALSE,"https://wikipedia.org/wiki/SDG_Academy"
"258",FALSE,"https://wikipedia.org/wiki/SDG_Lab"
"271",FALSE,"https://wikipedia.org/wiki/SDG_Lab"
"456",FALSE,"https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific"
"474",FALSE,"https://wikipedia.org/wiki/UN_CC:Learn"
"479",FALSE,"https://wikipedia.org/wiki/WBG_-_OLC"
"484",FALSE,"https://wikipedia.org/wiki/United_Nations_Children<U+393C><U+3E32>s_Fund"
"485",FALSE,"https://wikipedia.org/wiki/The_Demographic_and_Health_Surveys_Program"
"489",FALSE,"https://wikipedia.org/wiki/SDG_Lab"
"493",FALSE,"https://wikipedia.org/wiki/UN-APCICT"
"496",FALSE,"https://wikipedia.org/wiki/WBG_-_OLC"
"499",FALSE,"https://wikipedia.org/wiki/UN_ECA"
"504",FALSE,"https://wikipedia.org/wiki/SDSN"
"505",FALSE,"https://wikipedia.org/wiki/UNDCO"
"510",FALSE,"https://wikipedia.org/wiki/WBG_-_OLC"
"514",FALSE,"https://wikipedia.org/wiki/Instituto_Nacional_de_Estad<U+653C><U+3E64>stica_y_Geograf<U+653C><U+3E64>a_(INEGI)"
"515",FALSE,"https://wikipedia.org/wiki/Instituto_Nacional_de_Estad<U+653C><U+3E64>stica_y_Geograf<U+653C><U+3E64>a_(INEGI)"
"516",FALSE,"https://wikipedia.org/wiki/Instituto_Nacional_de_Estad<U+653C><U+3E64>stica_y_Geograf<U+653C><U+3E64>a_(INEGI)"
"524",FALSE,"https://wikipedia.org/wiki/IUSTICOM"
"528",FALSE,"https://wikipedia.org/wiki/National_Institute_of_Archaeology_and_Heritage_Sciences_of_Morocco"
"530",FALSE,"https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators"
"532",FALSE,"https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators"
"533",FALSE,"https://wikipedia.org/wiki/University_of_AntwerpVrije_Universiteit_Brussel"
"534",FALSE,"https://wikipedia.org/wiki/Erigaie_Foundation"
"536",FALSE,"https://wikipedia.org/wiki/Belize_National_Institute_of_Culture_and_History"
"537",FALSE,"https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators"
"541",FALSE,"https://wikipedia.org/wiki/GWP_TEC"
"546",FALSE,"https://wikipedia.org/wiki/Water_Matters_SA"
