weblink_au,category
https://wikipedia.org/wiki/United_Cities_and_Local_Governments_of_Africa,government
https://wikipedia.org/wiki/African_Local_Government_Academy,government
https://wikipedia.org/wiki/Institute_for_Housing_and_Urban_Development,public university
https://wikipedia.org/wiki/<U+633C><U+3E39>cole_normale_sup<U+653C><U+3E39>rieure,public university
https://wikipedia.org/wiki/SDSN,un ngo
https://wikipedia.org/wiki/UNDCO,un
https://wikipedia.org/wiki/OECD_PCSD,government
https://wikipedia.org/wiki/LKYSPP,private university
https://wikipedia.org/wiki/SDG_Lab,un
https://wikipedia.org/wiki/OECD_PCSD,government
https://wikipedia.org/wiki/LKYSPP,private university
https://wikipedia.org/wiki/SDG_Academy,un ngo
https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific,un
https://wikipedia.org/wiki/SDSN,un ngo
https://wikipedia.org/wiki/UNDCO,un
https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy,un
https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy,un
https://wikipedia.org/wiki/UNGCA,un
https://wikipedia.org/wiki/SDG_Lab,un
https://wikipedia.org/wiki/SDG_Academy,un ngo
https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific,un
https://wikipedia.org/wiki/OECD_PCSD,government
https://wikipedia.org/wiki/LKYSPP,private university
https://wikipedia.org/wiki/National_Institute_of_Archaeology_and_Heritage_Sciences_of_Morocco,public university
https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators,un
https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators,un
https://wikipedia.org/wiki/University_of_AntwerpVrije_Universiteit_Brussel,public university
https://wikipedia.org/wiki/Erigaie_Foundation,ngo
https://wikipedia.org/wiki/Belize_National_Institute_of_Culture_and_History,cultural institution
https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators,un
https://wikipedia.org/wiki/GWP_TEC,research & policy institutes
https://wikipedia.org/wiki/Water_Matters_SA,business
https://wikipedia.org/wiki/High_Level_Panel_on_Water_and_Peace,research & policy institutes
https://wikipedia.org/wiki/SDG_Academy,un ngo
https://wikipedia.org/wiki/Former_UN_Secretary-General,un
https://wikipedia.org/wiki/Former_Prime_Minister_of_Norway,government
https://wikipedia.org/wiki/Former_President_of_Colombia,government
https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo,finance
https://wikipedia.org/wiki/Kailash_Satyarthi_Children's_Foundation,ngo
https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo,finance
https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo,finance
https://wikipedia.org/wiki/Natural_Resource_Governance_Institute_(NRGI),ngo
https://wikipedia.org/wiki/the_Columbia_Center_on_Sustainable_Investment_(CCSI),private university
https://wikipedia.org/wiki/the_CONNEX_Support_Unit,research & policy institutes
https://wikipedia.org/wiki/Columbia_Center_on_Sustainable_Investment,private university
https://wikipedia.org/wiki/Foundation_for_the_Global_Compact,ngo
https://wikipedia.org/wiki/Crystol_Energy,research & policy institutes
