"","id","titles_acad","author","weblink_acad","SDGs","audience","description"
"1",1,"Living Heritage and Sustainable Development","National Autonomous University of Mexico,  National Institute of Archaeology and Heritage Sciences of Morocco,  The University of Hong Kong,  UNESCO Global Network of Facilitators,  University of South Africa,  UNESCO Global Network of Facilitators,  University of AntwerpVrije Universiteit Brussel,  Erigaie Foundation,  Ahmedabad University,  Belize National Institute of Culture and History,  UNESCO Global Network of Facilitators,  Hankuk University of Foreign Studies,  University of Music Franz Liszt Weimar","https://sdgacademy.org/course/living-heritage-and-sustainable-development/","Agenda 2030, SDG16, SDG17, SDG5","This course is forAnyone new to the concept of intangible cultural heritage<U+00A0>who wants to understand what intangible cultural heritage is, why it is important to people<U+0092>s wellbeing and what role it plays in the lives of people, including young people;Graduate students and advanced undergraduate students<U+00A0>interested in the key concepts and practices of sustainability and global issues;Key actors engaged in the field of sustainable development at a local, regional or international level<U+00A0>, including those who work in corporate sustainability and responsibility and who want to understand the relationship between intangible cultural heritage and sustainable development;Practitioners and professionals engaged in living heritage safeguarding<U+00A0>, who want to refresh their knowledge on the key concepts of safeguarding of intangible cultural heritage and want to learn more about the relationship between living heritage and sustainable development., Anyone new to the concept of intangible cultural heritage, Graduate students and advanced undergraduate students, Key actors engaged in the field of sustainable development at a local, regional or international level, Practitioners and professionals engaged in living heritage safeguarding","How is intangible cultural heritage – or ‘living heritage’ – related to sustainable development? Why is it important to keep heritage alive?, How is intangible cultural heritage – or ‘living heritage’ – related to sustainable development? Why is it important to keep heritage alive?, for the, SAFEGUARDING OF THE INTANGIBLE CULTURAL HERITAGE, of the, SAFEGUARDING OF LIVING HERITAGE, to, FUTURE GENERATIONS, is closely linked to, SUSTAINABLE DEVELOPMENT, How is intangible cultural heritage – or ‘living heritage’ – related to sustainable development? How is it relevant for addressing today’s development challenges in areas such as health, education, gender, natural disasters and conflict? Why is it important to keep this heritage alive? Communities around the world are transmitting their living heritage, which gives meaning to their lives, strengthens resilience, and contributes to their well-being. In this way intangible cultural heritage and sustainable development are closely linked. The international community made a commitment to safeguarding living heritage when it adopted the Convention for the Safeguarding of the Intangible Cultural Heritage in 2003 and it set itself ambitious goals by adopting the 2030 Agenda for Sustainable Development. This course helps to understand the connections between the two., By taking this course students and other interested learners and professionals will gain a better understanding of intangible cultural heritage and its relationships with sustainable development, exploring examples and experiences of communities from around the world., This MOOC was developed by UNESCO in collaboration with the International Information and Networking Centre in Asia and the Pacific under the auspices of UNESCO (ICHCAP) and the SDG Academy. It brings together a diverse group of lead experts in the field of intangible cultural heritage and development who collaborated closely with the UNESCO Chair for Research on Intangible Cultural Heritage and Cultural Diversity of the National Autonomous University of Mexico as lead faculty to develop the content of this course. The course draws on their longstanding expertise, the experiences of communities engaged in transmitting their living heritage and ten years of implementing UNESCO’s global capacity building programme for safeguarding intangible cultural heritage., By joining the course learners are invited to rethink development from a culture perspective!,  Module 1: What is intangible cultural heritage?,  Module 2: Communities and their intangible cultural heritage,  Module 3: Safeguarding intangible cultural heritage,  Module 4: Intangible cultural heritage and gender,  Module 5: Intangible cultural heritage for sustainable livelihoods and inclusive social development,  Module 6: Intangible cultural heritage for resilience, environmental sustainability and peacebuilding"
"2",2,"Governance for Transboundary Freshwater Security","Global Water Partnership,  GWP TEC,  Northumbria University,  UNU-CRIS,  IHE Delft,  Stockholm International Water Institute,  Water Matters SA,  Oregon State University,  Global Water Partnership,  Stockholm International Water Institute,  United Nations Economic Commission for Europe,  Global Environment Facility,  High Level Panel on Water and Peace,  University of Oxford","https://sdgacademy.org/course/governance-for-transboundary-freshwater-security/","SDG6, SDG14","This course is forPolicymakers and professionals who manage, and make decisions about, transboundary waters in ministries and river basin organizations, government officials, river basin authority, professional organizations, civil society organizations, and networks.Advanced undergraduate and graduate students<U+00A0>interested in transboundary freshwater governance in theory and practice.Sustainable development practitioners who want to understand how solution-oriented approaches can be developed within the framework of transboundary waters., Policymakers and professionals, Advanced undergraduate and graduate students<U+00A0>, Sustainable development practitioners","Freshwater scarcity, stress, and crisis are increasing worldwide. How can transboundary water cooperation play a role in leading to peace?, Freshwater scarcity, stress, and crisis are increasing worldwide. How can transboundary water cooperation play a role in leading to peace?, is pivotal for , FRESHWATER SECURITY, as a, TOP PRIORITY, in , TRANSBOUNDARY WATER MANAGEMENT, to address , WATER SECURITY CHALLENGES, Freshwater scarcity, stress, and crisis are increasing worldwide. More than a billion people live in water-scarce regions, and 3.5 billion could experience water scarcity by 2025. These pressures disproportionally affect vulnerable and marginalized people, including those living in poverty and displacement. Rising pollution levels accelerate the crisis by reducing water availability for human use and impacting aquatic life in rivers, lakes, aquifers, and the oceans., Transboundary basins account for roughly 60% of freshwater resources, serving 2.8 billion people, or 42% of the world’s population. Complex shared transboundary freshwater and ecosystems cut across myriad sectoral needs, themes, and political boundaries. Setting effective policy goals, coupled with investments, means working at multiple scales with a range of public and private stakeholders throughout the watershed, from source to sea and beyond., This course presents multiple facets of governance for transboundary freshwater security – from financing mechanisms to negotiation skills – while emphasizing the urgency of sustainable development and cooperation at many levels. It extends from basic building blocks and concepts to advanced thinking about transboundary governance, and applies theory to practice through examples and case studies. Topics covered in six modules range from the fundamentals of transboundary water security to international water law, water diplomacy, negotiations, institutions, management tools, and sustainable finance., The course is designed for professionals who manage and make decisions about transboundary waters within line ministries and river basin organizations; managers of transboundary water projects and the Global Environment Facility (GEF) International Waters Portfolio; the GEF IW:LEARN Network; NGOs, academics, and private sector actors working on basin management; development practitioners; young professionals and future leaders in transboundary waters, including undergraduate and graduate students; and anyone else who is keen to learn about the topic., This MOOC was produced by the Global Water Partnership in collaboration with GEF IW:LEARN and its partners. Over 80 water professionals from around the world brought their experiences to lectures and case studies. Modules are coordinated by United Nations University, Northumbria University, Stockholm International Water Institute, IHE-Delft, United Nations Economic Commission for Europe, and the Global Water Partnership.,  Module 1: Introduction to the MOOC and Freshwater Security,  Module 2: Water Diplomacy and Negotiation Skills,  Module 3: International Water Law,  Module 4: Institutions,  Module 5: Management Tools and Mechanisms,  Module 6: Finance for Transboundary Water Security"
"3",3,"Nature-based Solutions for Disaster and Climate Resilience","United Nations Environment Programme,  United Nations Environment Programme,  United Nations Environment Programme","https://sdgacademy.org/course/nature-based-solutions-for-disaster-and-climate-resilience/","SDG13, SDG14, SDG15","By the end of this course, you will learn:, This course is forPolicymakers and professionals including risk reduction & climate change experts, environmental managers, NGOs, and local government as well as decision makers at international, national, and local levels.Engineers & Urban Planners<U+00A0>including architects, geographers and urban designers.Businesses including banking, insurance, and Corporate Social Responsibility managers.Parents, teachers & students interested in nature-based Solutions for increasing disaster and climate resilience., Policymakers and professionals, Engineers & Urban Planners<U+00A0>, Businesses , Parents, teachers & students","What are ‘Nature-based solutions’, or NbS? How can they help build resilience to disasters and climate change impacts? Why is NbS relevant? How can I apply NbS in my work and everyday life?, What are ‘Nature-based solutions’, or NbS? How can they help build resilience to disasters and climate change impacts? Why is NbS relevant? How can I apply NbS in my work and everyday life?, , ENVIRONMENTAL EXPERTS & ACTIVISTS, , HUMAN ACTIVITIES AND ECOLOGICAL SYSTEMS, , NATURE AS A SOLUTION TO CLIMATE IMPACTS, , COMBATTING THE CLIMATE CRISIS, Nature offers many solutions for reducing the impacts from disasters and climate impacts. This may include protecting forests on steep slopes, maintaining sand dunes along coastlines, wetlands to buffer excess rainwater. These so-called ‘Nature- based solutions’ (NbS) are an important piece in the puzzle to building the resilience of households and communities to an ever-increasing number of disaster events around the world., For years, experience and evidence on NbS from around the world has been growing. But many people – from policy makers, through to engineers and businesses – don't yet know how NbS can help them solve the challenges they’re facing from events like floods, heatwaves, or droughts. These events affect the lives of millions of people every year., So, what are ‘Nature-based solutions’, or NbS? How can they help build resilience to disasters and climate change impacts? Why is NbS relevant? How can I apply NbS in my work and everyday life?
In this online course, UNEP and environmental experts from around the world will provide you with answers to those questions, reaching out to you and me, to planners, policy makers, engineers, businesses, and youth. This is an opportunity for you to join a community of learners and environmental advocates., First touching upon the “why”, the course provides an introduction to nature-based solutions for disaster and climate resilience, the benefits and potential opportunities. Then, specific modules aimed at different target audiences will focus on the practical application of nature-based solutions, the “how”., Who is the course aimed at? Nature-based solutions are relevant to everyone, and we all benefit from seeing them applied. With this in mind, the course is designed to be accessible to everyone, no matter your background., By the end of this course, you will learn:, This course was developed by the Partnership for Environment and Disaster Risk Reduction (PEDRR) and the United Nations Environment Programme (UNEP), with support from the European Commission. It is hosted by the SDG Academy.,     ,  Unit 1: Why is this topic relevant for me?,  Unit 2: What are Nature-based Solutions?,  Unit 3: Nature-based Solutions applied to pressing challenges: urbanization, coastal development and drylands expansion.,  Unit 4: Including communities, youth and indigenous people in Nature-based Solutions.,  Unit 5: From policy to practice.,  Unit 6: The business case for Nature-based Solutions.,  Unit 7: Over to you: time for action"
"4",4,"Understanding Poverty and Inequality","Brookings Institution,  SDG Academy,  University of Oxford,  Brookings Institution,  Brookings Institution,  Brookings Institution,  World Bank,  London School of Economics and Political Science,  University of Cape Town,  Brookings Institution,  Brookings Institution,  United Nations Development Programme,  Brookings Institution,  Brookings Institution,  Tulane University,  GiveDirectly,  Sunway University,  Brookings Institution","https://sdgacademy.org/course/understanding-poverty-and-inequality/","SDG1, SDG10, SDG5, SDG16, SDG8, Agenda 2030","This course is forPolicy professionals who want to understand the scale and scope of poverty and inequality in order to design effective interventionsDevelopment practitioners<U+00A0>seeking knowledge on poverty alleviationAdvanced undergraduates and graduate students interested in economics, development, and other key concepts related to the poverty and inequality, Policy professionals, Development practitioners, Advanced undergraduates and graduate students","What do we mean by “poverty” & “inequality”? And what will it take to achieve SDG 1: No Poverty and SDG 10: Reduced Inequalities by 2030?, What do we mean by “poverty” & “inequality”? And what will it take to achieve SDG 1: No Poverty and SDG 10: Reduced Inequalities by 2030?, causes of, POVERTY AND INEQUALITY, of the, REMAINING CHALLENGES, on poverty reduction, AROUND THE WORLD, to help, ENSURE NO ONE IS LEFT BEHIND, In September 2015, 193 member states of the United Nations adopted the 2030 Agenda for Sustainable Development and committed themselves to the 17 Sustainable Development Goals (SDGs). The SDGs are interconnected, recognizing that poverty cannot be eradicated without improved health and education, sustainable economic growth cannot occur on a planet under threat of climate change, and so forth., Goal 1, “End poverty in all its forms everywhere,” calls on stakeholders at every level to drastically reduce the number of people living in poverty, provide services and assistance to those in need, and ensure the resilience of the poor and vulnerable in times of crisis. SDG 1 builds on earlier calls to cut poverty in lower-income countries by, first, calling for the elimination of extreme poverty worldwide by 2030, and for every country to cut all dimensions of nationally-defined poverty by half by the same date. Goal 1 further draws linkages between poverty and climate disasters, and sets targets for social protection, resource mobilization and policy development. Likewise, Goal 10, “Reduce inequality within and among countries,” calls on stakeholders at all levels to empower the economic, political, and social inclusion of all people; and for governments to work together to provide pathways of opportunity across the world., This course will present an overview of the definitions, scale, and scope of different forms of poverty and inequality across the world. It will examine links between poverty, inequality, and well-being; opportunities for socioeconomic mobility; the particular challenges facing women, minorities, Indigenous people, and vulnerable populations; and how poverty and inequality link to issues like climate change, migration, and conflict. Finally, the course will conclude with a look at policy approaches and tools for addressing poverty and inequality in a variety of contexts.,   Understanding Poverty and Inequality was created by the SDG Academy in partnership with the Center for Sustainable Development at the Brookings Institution.,  Module 1: An Introduction to Poverty and Inequality,  Module 2: Multidimensional Measures of Poverty,  Module 3: Explaining Global Inequality,  Module 4:Poverty and Subjective Well-being,  Module 5: Identity and Exclusion,  Module 6: Poverty and Inequality, Today and Tomorrow"
"5",5,"Measuring Sustainable Development","Sustainable Development Solutions Network,  Sustainable Development Solutions Network,  Sustainable Development Solutions Network","https://sdgacademy.org/course/measuring-sustainable-development/","Agenda 2030","This course is forStatisticians who want to learn how data analysis can create a road map for sustainable developmentAdvanced undergraduate and graduate students<U+00A0>interested in statistics and data sciencePolicymakers and professionals<U+00A0>who seek to encourage sustainable developmentDevelopment practitioners<U+00A0>who want to understand how data can influence decisions on development, Statisticians, Advanced undergraduate and graduate students<U+00A0>, Policymakers and professionals<U+00A0>, Development practitioners<U+00A0>","How do we know if we are on track to achieve the SDGs? Which Goals should different stakeholders prioritize? And what kind of data do we need to ensure that no one is left behind?, How do we know if we are on track to achieve the SDGs? Which Goals should different stakeholders prioritize? And what kind of data do we need to ensure that no one is left behind?, to, CREATE A BETTER FUTURE, for , COUNTRIES TO FOLLOW, at the, TOP OF THE AGENDA, , TOGETHER, Sustainable development is the most important global movement of our time. In 2015, the 193 member states of the United Nations unanimously adopted the 2030 Agenda for Sustainable Development and its 17 Sustainable Development Goals. These interconnected Goals aim to end poverty and promote economic prosperity, ensure social equity, and protect the environment. Above all, the 2030 Agenda commits to “leaving no one behind.” How do we know if we are on track to achieve the SDGs? Which Goals should different countries prioritize? And what kind of data do we need to ensure that everyone is counted?, Launched in 2015 by the Sustainable Development Solutions Network (SDSN) and the Bertelsmann Stiftung, the Sustainable Development Report is the first worldwide study to assess where the world stands with regard to achieving sustainable development. The Report contains the SDG Index and Dashboards, which use a combination of official and unofficial data and indicators to understand each country’s progress on the 17 SDGs., In this short course, you will hear from some of the experts responsible for creating the Sustainable Development Report about the value of measuring progress on the SDGs, and how a tool like the SDG Index and Dashboards helps policymakers and other stakeholders make important decisions about their development priorities. You will examine the different types of data that can be used to measure development progress, and learn the technical steps needed to construct an index for the SDGs. Finally, you will explore regional and city-level indices, and discuss new approaches to SDG measurement and data-based decision-making.,  Module 1: An Introduction to SDG Measurement,  Module 2: Constructing an Index, Part I: Methodology and Data,  Module 3: Constructing an Index, Part II: Technical Training,  Module 4: Regional and City Indices,  Module 5: Conclusions and Goals Ahead"
"6",6,"Book Club with Jeffrey Sachs","Columbia University, , , , , , , , , , ,  Boston College","https://sdgacademy.org/course/book-club-with-jeffrey-sachs/","Agenda 2030","This course is forPolicy professionals, practitioners, advanced undergraduates and graduate students, and all readers interested in engaging in these thoughtful and inspiring conversations.","Join Jeffrey Sachs for monthly live conversations with renowned authors on the most relevant topics for humanity! , Join Jeffrey Sachs for monthly live conversations with renowned authors on the most relevant topics for humanity! , for live conversations, with renowned AUTHORS., to engage with , MEMBERS from around the world., , SUSTAINABLE DEVELOPMENT, SOCIAL JUSTICE, AND MORE!, and start , LEARNING with us!, The Book Club with Jeffrey Sachs is a free global forum to discuss outstanding, recently-published work that examines the most important topics for humanity., Hosted by Columbia University Professor Jeffrey Sachs, the eminent thought-leader in economics and sustainable development, the Book Club features monthly conversations with renowned authors about their groundbreaking work in sustainability, economics, history, social justice, and more., Members are encouraged to  join the Book Club's interactive platform for book excerpts, supplementary resources, and a discussion forum where they can connect with other members from around the world. Live conversations will be held via Zoom webinar and can also be viewed on the SDG Academy YouTube Channel. Conversations are also available through the Book Club with Jeffrey Sachs podcast, available on all major podcast platforms.,  January,  February,  March,  April,  May,  June,  July,  August,  September,  October,  November,  December,  More to come!"
"7",7,"The Turn: From Reactionary Populism to a Progressive Alternative","Columbia University,  Harvard University","https://sdgacademy.org/course/the-turn/","Agenda 2030, SDG8, SDG10","This course is forAdvanced undergraduate and graduate students<U+00A0>interested in economics and political philosophyPolicymakers and professionals<U+00A0>who seek to encourage transformational change for sustainable developmentDevelopment practitioners<U+00A0>who want to understand the broader context of social and economic transformation, Advanced undergraduate and graduate students<U+00A0>, Policymakers and professionals<U+00A0>, Development practitioners<U+00A0>","What is a ""progressive alternative"" for our world and what steps should we take to bring about these changes?, What is a ""progressive alternative"" for our world and what steps should we take to bring about these changes?, for a, three-part series, political philosopher , Roberto Mangabeira Unger, of a , Progressive Alternative, in the, UNITED STATES AND BRAZIL, In early 2021, Columbia University Professor Jeffrey Sachs and political philosopher Roberto Mangabeira Unger delivered a three-part webinar series to discuss the systemic and structural changes necessary to create a progressive future, with a focus on Brazil and the US. Both countries suffer from political polarization, populism, social conflict, and economic inequality among the highest in the world. Professors Sachs and Unger analyzed and debated how the two countries reached their current state of crisis, and how each nation--and the world--can forge a progressive alternative to overcome the current impasse.,  1Stagnant and divided: What happened to socially inclusive economic growth and progressive politics?,  2Losing and finding the way: The United States and Brazil,  3From now to an alternative: The missing project"
"8",8,"Conversations with Global Leaders: Leading on Sustainable Development","Former UN Secretary-General,  Former Prime Minister of Norway,  Columbia University,  Former President of Colombia,  Unilever","https://sdgacademy.org/course/conversations-with-global-leaders-leading-on-sustainable-development/","Agenda 2030","Club de Madrid, This course is forPolicy professionals who want to understand frameworks for SDG planningDevelopment practitioners seeking information on goals-based developmentAdvanced undergraduates and graduate students interested in economics, development, public policy and other key concepts related to the SDGsPrivate-sector actors, who want a concise overview of the latest developments in the field of sustainable developmentAnyone interested in the broader concept of sustainable development and its relevance to their life and work","Join Prof. Jeffrey Sachs as he interviews inspiring world leaders about how they make tough policy decisions that impact humanity and the planet, in a complex world. , Join Prof. Jeffrey Sachs as he interviews inspiring world leaders about how they make tough policy decisions that impact humanity and the planet, in a complex world. , as he interviews, the PIONEERS, the decisions and choices, that make a LEADER, on how leaders , BUILD MOMENTUM, on the successes and failures that led to, PRACTICAL EXECUTION, Effective and inclusive leadership is the need of the hour for achieving the 2030 Agenda for Sustainable Development. But are good leaders born or are they made? And what are the essential skills and strategies required when they must make tough decisions that impact global policies, people and our planet?, The SDG Academy in collaboration with Club de Madrid, has come together to offer a course on Global Leadership for the SDGs. Through a series of live sessions for 6 weeks, the course will focus on how change happens and is sustained at the highest level within governments and organizations. It will deep dive into the questions of designing and implementing an ambitious agenda under different domestic and external policy constraints. It will look at the goal-setting process, particularly, why and how did countries come together to adopt global development goals, such as the MDGs and the SDGs. Finally, it will address the inter-temporal trade offs involved in short term goals vs. long term objectives., The course will be led by former heads of state and global leaders in business and civil society. These individuals bring unique perspectives on the leadership necessary to create national and global movements towards sustainable development, including combating climate change, promoting and preserving human rights, and ensuring prosperity for all. Learners will have the opportunity to hear from a faculty of diverse leaders who bring critical reflections on how change can be made possible., Join Prof. Jeffrey Sachs as he as interviews inspiring world leaders about how they make tough decisions in a complex world., By the end of the course, learners will gain first-hand insights on:"
"9",9,"Climate Change: The Science and Global Impact","Penn State University","https://sdgacademy.org/course/climate-change-the-science-and-global-impact/","SDG13","This course is forPolicy professionals who want to understand the science behind anthropogenic climate changeAdvanced undergraduates and graduate students interested in climate modelingPrivate-sector and the general public, interested in learning more about the science behind climate change and developing a language to talk about it","Learn about the science behind global warming to avoid the most damaging and irreversible climate change impacts on people and planet., Learn about the science behind global warming to avoid the most damaging and irreversible climate change impacts on people and planet., , The Science, , The Human Impact, Climate change is arguably the greatest challenge of our time. Human activity has already warmed the planet by 1° Celsius relative to pre-industrial times, and we are feeling the effects through record heat waves, droughts, wildfires and flooding. If we continue to burn fossil fuels at the current rate, the planet will reach two degrees of warming by 2050 — the threshold that many scientists have identified as a dangerous tipping point. What is the science behind these projections?, Join climate science expert Michael Mann to learn about the basic scientific principles behind climate change and global warming. We need to understand the science in order to solve the broader environmental, societal and economic changes that climate change is bringing., By the end of this course, you will:, The course covers the basic principles of atmospheric science and methods of climate data collection and interpretation. It introduces basic climate modeling and explores the impact of various greenhouse gas emissions scenarios. Finally, it outlines the impacts of climate change on social, economic, cultural, urban and human systems."
"10",10,"Sector Extractivo: sostenibilidad y desarrollo en Am<e9>rica Latina y el Caribe","Banco Interamericano de Desarrollo,  Columbia University,  University of Oxford,  Natural Resource Governance Institute","https://sdgacademy.org/course/sector-extractivo/","SDG9, SDG12, SDG8, SDG16","This course is for<U+00BF>Qui<e9>nes deber<ed>an tomar este curso?:Profesionales dedicados al desarrollo sostenible, funcionarios p<fa>blicos, la sociedad civil y el sector privado, que necesitan comprender el contexto hist<f3>rico de la industria extractiva y su evoluci<f3>n.Profesionales del sector extractivo, tales como aquellos que trabajan en las industrias del petr<f3>leo, gas y miner<ed>a, que est<e1>n interesados en lograr que la industria sea m<e1>s sostenible.Estudiantes de posgrado y estudiantes avanzados de pregrado especializados en las industrias<U+00A0> extractivas o en ciencias ambientales, derecho ambiental, desarrollo sostenible, negocios sostenibles y sectores relacionados.Activistas ambientales o profesionales que buscan lograr un balance entre una gesti<f3>n sustentable de los recursos naturales y el negocio extractivo.","Este curso explora las oportunidades y los desafíos en el uso del petróleo, el gas y los recursos minerales para impulsar el desarrollo sostenible en América Latina y el Caribe., Este curso explora las oportunidades y los desafíos en el uso del petróleo, el gas y los recursos minerales para impulsar el desarrollo sostenible en América Latina y el Caribe., ¿Cómo traducen los países la riqueza de los recursos naturales en, ¿RESULTADOS DE DESARROLLO SOSTENIBLE?, ¿Qué políticas son necesarias para la gestión sostenible de, LA RIQUEZA DE RECURSOS NATURALES?,  Sobre este curso , Los recursos naturales representan una oportunidad potencialmente transformadora para apoyar el desarrollo, pero en última instancia son limitados. ¿Cómo podemos aprovecharlos al máximo sin destruir el planeta? En este curso de 6 semanas podrás conocer acerca de algunos de los esfuerzos generales que se han implementado para administrar de manera sostenible las inversiones de la industria extractiva. Además, te familiarizarás con los complejos aspectos e interrelacionados de la gobernanza de los recursos naturales y formarás parte de un movimiento mundial de ciudadanos y profesionales comprometidos con aprovechar los impactos transformadores de los recursos naturales no renovables., Este curso fue producido por el Banco Interamericano de Desarrollo y la SDG Academy con el apoyo del Columbia Center on Sustainable Investment y el Natural Resource Governance Institute.,  Módulo 1: Recursos naturales: desafíos, oportunidades y cuestiones políticas,  Módulo 2: Los fundamentos de las industrias extractivas: marco legal y economía de recursos,  Módulo 3: Anticipando y gestionando los temas ambientales,  Módulo 4: Industrias extractivas a nivel local: derechos de comunidades y minería artesanal,  Módulo 5: Gestión de ingresos públicos,  Módulo 6: Inversión en desarrollo sostenible: mirando al futuro"
