"","titles","category","website","id.x","weblink","id.y","authors"
"1","Standards for the SDGs","reflexivity and adaptation","https://www.unsdglearn.org/courses/building-capacity-on-risk-management-conformity-assessment-and-market-surveillance-for-sustainable-development/",1,"https://www.unsdglearn.org/courses/building-capacity-on-risk-management-conformity-assessment-and-market-surveillance-for-sustainable-development/","1","United Nations Economic Commission for Europe, United Nations Economic Commission for Europe"
"2","Cities and Marine Plastic Pollution: Building a Circular Economy","reflexivity and adaptation","https://www.unsdglearn.org/courses/cities-and-marine-plastic-pollution-building-a-circular-economy/",2,"https://www.unsdglearn.org/courses/cities-and-marine-plastic-pollution-building-a-circular-economy/","10","United Nations Institute for Training and Research, Conflux Center for Intercultural Dialogue and Communication, United Nations Institute for Training and Research, Conflux Center for Intercultural Dialogue and Communication"
"3","EQuIP: Enhancing quality of industrial policies","reflexivity and adaptation","https://www.unsdglearn.org/courses/enhancing-quality-of-industrial-policies/",3,"https://www.unsdglearn.org/courses/enhancing-quality-of-industrial-policies/","11","United Nations Institute for Training and Research, University for Peace, United Nations Institute for Training and Research, University for Peace"
"4","Integrated Recovery Planning and Policy Coherence Towards the SDGs","policy coherence","https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/",4,"https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/","12","United Nations Institute for Training and Research, University for Peace, United Nations Institute for Training and Research, University for Peace"
"5","Integrated Recovery Planning and Policy Coherence Towards the SDGs","policy coherence","https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/",4,"https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/","15","International Labour Organization, International Labour Organization"
"6","UNIDO IAP","reflexivity and adaptation","https://www.unsdglearn.org/courses/unido-industrial-analytics-platform-iap/",5,"https://www.unsdglearn.org/courses/unido-industrial-analytics-platform-iap/","13","United Nations Economic and Social Commission for Asia and the Pacific, United Nations Asian and Pacific Training Centre for Information and Communication Technology"
"7","Financing in Health","reflexivity and adaptation","https://www.unsdglearn.org/courses/results-based-financing-in-health/",6,"https://www.unsdglearn.org/courses/results-based-financing-in-health/","14","World Bank Group, World Bank Group – Open Learning Campus, World Bank Group, World Bank Group – Open Learning Campus"
"8","Integrating Climate Risk Information into NAPs","policy coherence","https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/",7,"https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/","12","United Nations Institute for Training and Research, University for Peace, United Nations Institute for Training and Research, University for Peace"
"9","Integrating Climate Risk Information into NAPs","policy coherence","https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/",7,"https://www.unsdglearn.org/courses/integrating-climate-risk-information-into-naps/","15","International Labour Organization, International Labour Organization"
"10","Social Protection for Sustainable Development","participation","https://www.unsdglearn.org/courses/social-protection-for-sustainable-development/",8,"https://www.unsdglearn.org/courses/social-protection-for-sustainable-development/","16","United Nations System Staff College, United Nations System Staff College"
"11","Programming for child feeding","reflexivity and adaptation","https://www.unsdglearn.org/courses/programming-for-infant-and-young-child-feeding/",9,"https://www.unsdglearn.org/courses/programming-for-infant-and-young-child-feeding/","17","United Nations Institute for Training and Research, United Nations Department of Economic and Social Affairs, United Nations Economic Commission for Latin America  and the Caribbean, United Nations Institute for Training and Research, United Nations Department of Economic and Social Affairs, United Nations Economic Commission for Latin America  and the Caribbean"
"12","Speechwriting and Public Speaking Skills for Multilateral Diplomacy","participation","https://www.unsdglearn.org/courses/speechwriting-and-public-speaking-skills-for-multilateral-diplomacy-cases-insights-from-the-united-nations/",10,"https://www.unsdglearn.org/courses/speechwriting-and-public-speaking-skills-for-multilateral-diplomacy-cases-insights-from-the-united-nations/","18","SDG Lab, UN Office at Geneva, SDG Lab, UN Office at Geneva"
"13","M.A. Development Studies and Diplomacy","democratic institutions","https://www.unsdglearn.org/courses/master-of-arts-in-development-studies-and-diplomacy-2/",11,"https://www.unsdglearn.org/courses/master-of-arts-in-development-studies-and-diplomacy-2/","19","United Nations Institute for Training and Research, United Nations Institute for Training and Research"
"14","MA International Law and Diplomacy","democratic institutions","https://www.unsdglearn.org/courses/master-of-arts-in-international-law-and-diplomacy/",12,"https://www.unsdglearn.org/courses/master-of-arts-in-international-law-and-diplomacy/","2","United Nations Economic and Social Commission for Asia and the Pacific, United Nations Economic and Social Commission for Asia and the Pacific"
"15","The Women ICT Frontier Initiative (WIFI)","reflexivity and adaptation","https://www.unsdglearn.org/courses/the-women-ict-frontier-initiative-wifi/",13,"https://www.unsdglearn.org/courses/the-women-ict-frontier-initiative-wifi/","20","United Nations Institute for Training and Research, Program on Negotiation at Harvard Law School, Massachusetts Institute of Technology, Frederick S. Pardee School of Global Studies at Boston University, John W. McCormack Graduate School of Policy and Global Studies at the University of Massachusetts Boston, Science Diplomacy Center, swissnex Boston, United Nations Institute for Training and Research, Program on Negotiation at Harvard Law School, Massachusetts Institute of Technology, Frederick S. Pardee School of Global Studies at Boston University, John W. McCormack Graduate School of Policy and Global Studies at the University of Massachusetts Boston, Science Diplomacy Center, swissnex Boston"
"16","Adaptation Funding","reflexivity and adaptation","https://www.unsdglearn.org/courses/direct-access-unlocking-adaptation-funding/",14,"https://www.unsdglearn.org/courses/direct-access-unlocking-adaptation-funding/","21","United Nations Global Compact Academy, United Nations Global Compact Academy"
"17","ILO Labour Market Statistics and Analysis Academy","reflexivity and adaptation","https://www.unsdglearn.org/courses/labour-market-statistics-and-analysis-academy/",15,"https://www.unsdglearn.org/courses/labour-market-statistics-and-analysis-academy/","22","International Trade Center, International Trade Center"
"18","Unleashing the Power of the Private Sector for the 2030 Agenda - 2021","participation","https://www.unsdglearn.org/courses/unleashing-the-power-of-the-private-sector-for-the-2030-agenda-2021/",16,"https://www.unsdglearn.org/courses/unleashing-the-power-of-the-private-sector-for-the-2030-agenda-2021/","23","United Nations Economic Commission for Africa, United Nations System Staff College, United Nations Economic Commission for Africa, United Nations System Staff College"
"19","Integrated policies and policy coherence for SDGs","policy coherence","https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/",17,"https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/","24","United Nations System Staff College, United Nations Institute for Training and Research, United Nations Sustainable Development Solutions Network, United Nations Development Coordination Office, United Nations System Staff College, United Nations Institute for Training and Research, United Nations Sustainable Development Solutions Network, United Nations Development Coordination Office"
"20","Integrated policies and policy coherence for SDGs","policy coherence","https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/",17,"https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/","52","United Nations Economic Commission for Latin America  and the Caribbean, United Nations Economic Commission for Latin America  and the Caribbean"
"21","SDG Lab Toolkit","participation","https://www.unsdglearn.org/courses/sdg-lab-toolkit/",18,"https://www.unsdglearn.org/courses/sdg-lab-toolkit/","25","U.S. Bureau of Labor Statistics, U.S. Bureau of Labor Statistics"
"22","Online Diploma in Multilateral Diplomacy","democratic institutions","https://www.unsdglearn.org/courses/online-diploma-in-multilateral-diplomacy/",19,"https://www.unsdglearn.org/courses/online-diploma-in-multilateral-diplomacy/","26","World Bank Group, World Bank Group – Open Learning Campus, World Bank Group, World Bank Group – Open Learning Campus"
"23","Executive Summer Programme on Innovations in Science Diplomacy","democratic institutions","https://www.unsdglearn.org/courses/unitar-executive-summer-programme-on-innovations-in-science-diplomacy/",20,"https://www.unsdglearn.org/courses/unitar-executive-summer-programme-on-innovations-in-science-diplomacy/","27","United Nations Institute for Training and Research, United Nations Institute for Training and Research"
"24","Becoming a Business Leader on the Global Goals","policy coherence","https://www.unsdglearn.org/courses/becoming-a-business-leader-on-the-global-goals/",21,"https://www.unsdglearn.org/courses/becoming-a-business-leader-on-the-global-goals/","28","United Nations Institute for Training and Research, United Nations Institute for Training and Research"
"25","Taking the Entrepreneurship Route","reflexivity and adaptation","https://www.unsdglearn.org/courses/taking-the-entrepreneurship-route/",22,"https://www.unsdglearn.org/courses/taking-the-entrepreneurship-route/","29","World Bank Group, Mannheim Business School, World Bank Group, Mannheim Business School"
"26","The Gender Statistics Toolkit","reflexivity and adaptation","https://www.unsdglearn.org/courses/the-gender-statistics-online-training-toolkit/",23,"https://www.unsdglearn.org/courses/the-gender-statistics-online-training-toolkit/","3","United Nations Industrial Development Organization, Deutsche Gesellschaft für Internationale Zusammenarbeit"
"27","SDG Primer","policy coherence","https://www.unsdglearn.org/courses/sdg-primer-e-course/",24,"https://www.unsdglearn.org/courses/sdg-primer-e-course/","30","United Nations Institute for Training and Research, United Nations Institute for Training and Research"
"28","Measuring Productivity","reflexivity and adaptation","https://www.unsdglearn.org/courses/measuring-productivity/",25,"https://www.unsdglearn.org/courses/measuring-productivity/","31","United Nations Institute for Training and Research, United Nations Institute for Training and Research"
