"","exists","weblink_au"
"4",FALSE,"https://wikipedia.org/wiki/Conflux_Center_for_Intercultural_Dialogue_and_Communication"
"6",FALSE,"https://wikipedia.org/wiki/Conflux_Center_for_Intercultural_Dialogue_and_Communication"
"18",FALSE,"https://wikipedia.org/wiki/United_Nations_Asian_and_Pacific_Training_Centre_for_Information_and_Communication_Technology"
"20",FALSE,"https://wikipedia.org/wiki/World_Bank_Group_–_Open_Learning_Campus"
"22",FALSE,"https://wikipedia.org/wiki/World_Bank_Group_–_Open_Learning_Campus"
"37",FALSE,"https://wikipedia.org/wiki/SDG_Lab"
"39",FALSE,"https://wikipedia.org/wiki/SDG_Lab"
"46",FALSE,"https://wikipedia.org/wiki/Program_on_Negotiation_at_Harvard_Law_School"
"48",FALSE,"https://wikipedia.org/wiki/Frederick_S._Pardee_School_of_Global_Studies_at_Boston_University"
"49",FALSE,"https://wikipedia.org/wiki/John_W._McCormack_Graduate_School_of_Policy_and_Global_Studies_at_the_University_of_Massachusetts_Boston"
"50",FALSE,"https://wikipedia.org/wiki/Science_Diplomacy_Center"
"51",FALSE,"https://wikipedia.org/wiki/swissnex_Boston"
"53",FALSE,"https://wikipedia.org/wiki/Program_on_Negotiation_at_Harvard_Law_School"
"55",FALSE,"https://wikipedia.org/wiki/Frederick_S._Pardee_School_of_Global_Studies_at_Boston_University"
"56",FALSE,"https://wikipedia.org/wiki/John_W._McCormack_Graduate_School_of_Policy_and_Global_Studies_at_the_University_of_Massachusetts_Boston"
"57",FALSE,"https://wikipedia.org/wiki/Science_Diplomacy_Center"
"58",FALSE,"https://wikipedia.org/wiki/swissnex_Boston"
"59",FALSE,"https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy"
"60",FALSE,"https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy"
"69",FALSE,"https://wikipedia.org/wiki/United_Nations_Sustainable_Development_Solutions_Network"
"70",FALSE,"https://wikipedia.org/wiki/United_Nations_Development_Coordination_Office"
"73",FALSE,"https://wikipedia.org/wiki/United_Nations_Sustainable_Development_Solutions_Network"
"74",FALSE,"https://wikipedia.org/wiki/United_Nations_Development_Coordination_Office"
"80",FALSE,"https://wikipedia.org/wiki/World_Bank_Group_–_Open_Learning_Campus"
"82",FALSE,"https://wikipedia.org/wiki/World_Bank_Group_–_Open_Learning_Campus"
"100",FALSE,"https://wikipedia.org/wiki/IUSTICOM"
"102",FALSE,"https://wikipedia.org/wiki/IUSTICOM"
"111",FALSE,"https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy"
"112",FALSE,"https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy"
"115",FALSE,"https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy"
"117",FALSE,"https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy"
"119",FALSE,"https://wikipedia.org/wiki/UN_CC:Learn"
"122",FALSE,"https://wikipedia.org/wiki/UN_CC:Learn"
"137",FALSE,"https://wikipedia.org/wiki/SDG_Academy"
"138",FALSE,"https://wikipedia.org/wiki/SDG_Academy"
"139",FALSE,"https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific"
"140",FALSE,"https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific"
"142",FALSE,"https://wikipedia.org/wiki/OECD_Policy_Coherence_for_Sustainable_Development_Unit"
"146",FALSE,"https://wikipedia.org/wiki/OECD_Policy_Coherence_for_Sustainable_Development_Unit"
"165",FALSE,"https://wikipedia.org/wiki/United_Nations_Sustainable_Development_Solutions_Network"
"166",FALSE,"https://wikipedia.org/wiki/United_Nations_Development_Coordination_Office"
"169",FALSE,"https://wikipedia.org/wiki/United_Nations_Sustainable_Development_Solutions_Network"
"170",FALSE,"https://wikipedia.org/wiki/United_Nations_Development_Coordination_Office"
"174",FALSE,"https://wikipedia.org/wiki/World_Bank_Group_–_Open_Learning_Campus"
"176",FALSE,"https://wikipedia.org/wiki/World_Bank_Group_–_Open_Learning_Campus"
"177",FALSE,"https://wikipedia.org/wiki/UN_CC:Learn"
"180",FALSE,"https://wikipedia.org/wiki/UN_CC:Learn"
