"","weblink_au_t","category"
"1","https://wikipedia.org/wiki/Deutsche_Gesellschaft_für_Internationale_Zusammenarbeit"," Federal Enterprise"
"2","https://wikipedia.org/wiki/Global_Reporting_Initiative"," Non-governmental organization"
"3","https://wikipedia.org/wiki/Hertie_School"," Private"
"4","https://wikipedia.org/wiki/International_Labour_Organization"," United Nations specialized agency"
"5","https://wikipedia.org/wiki/Lee_Kuan_Yew_School_of_Public_Policy"," Graduate school"
"6","https://wikipedia.org/wiki/Mannheim_Business_School"," Business School"
"7","https://wikipedia.org/wiki/Massachusetts_Institute_of_Technology"," Private land-grant research university"
"8","https://wikipedia.org/wiki/U.S._Bureau_of_Labor_Statistics",NA
"9","https://wikipedia.org/wiki/UN_Office_at_Geneva",NA
"10","https://wikipedia.org/wiki/United_Nations_Children’s_Fund"," Fund"
"11","https://wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs"," Department"
"12","https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific"," Primary Organ – Regional Branch"
"13","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa"," Primary Organ - Regional Branch"
"14","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"," Primary organ - regional branch"
"15","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"," Primary Organ - Regional Branch"
"16","https://wikipedia.org/wiki/United_Nations_Industrial_Development_Organization"," United Nations specialised agency"
"17","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"," Research and training institute"
"18","https://wikipedia.org/wiki/United_Nations_System_Staff_College"," Research and training institute"
"19","https://wikipedia.org/wiki/University_for_Peace"," Graduate School"
"20","https://wikipedia.org/wiki/World_Bank_Group"," Intergovernmental organization"
"21","https://wikipedia.org/wiki/World_Meteorological_Organization"," United Nations specialized agency"
