"","exists","weblink_au"
"1",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"2",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe"
"3",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"5",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"7",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"8",TRUE,"https://wikipedia.org/wiki/University_for_Peace"
"9",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"10",TRUE,"https://wikipedia.org/wiki/University_for_Peace"
"11",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"12",TRUE,"https://wikipedia.org/wiki/University_for_Peace"
"13",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"14",TRUE,"https://wikipedia.org/wiki/University_for_Peace"
"15",TRUE,"https://wikipedia.org/wiki/International_Labour_Organization"
"16",TRUE,"https://wikipedia.org/wiki/International_Labour_Organization"
"17",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific"
"19",TRUE,"https://wikipedia.org/wiki/World_Bank_Group"
"21",TRUE,"https://wikipedia.org/wiki/World_Bank_Group"
"23",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"24",TRUE,"https://wikipedia.org/wiki/University_for_Peace"
"25",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"26",TRUE,"https://wikipedia.org/wiki/University_for_Peace"
"27",TRUE,"https://wikipedia.org/wiki/International_Labour_Organization"
"28",TRUE,"https://wikipedia.org/wiki/International_Labour_Organization"
"29",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"30",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"31",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"32",TRUE,"https://wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs"
"33",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"
"34",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"35",TRUE,"https://wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs"
"36",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"
"38",TRUE,"https://wikipedia.org/wiki/UN_Office_at_Geneva"
"40",TRUE,"https://wikipedia.org/wiki/UN_Office_at_Geneva"
"41",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"42",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"43",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific"
"44",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific"
"45",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"47",TRUE,"https://wikipedia.org/wiki/Massachusetts_Institute_of_Technology"
"52",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"54",TRUE,"https://wikipedia.org/wiki/Massachusetts_Institute_of_Technology"
"61",TRUE,"https://wikipedia.org/wiki/International_Trade_Center"
"62",TRUE,"https://wikipedia.org/wiki/International_Trade_Center"
"63",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa"
"64",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"65",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa"
"66",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"67",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"68",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"71",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"72",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"75",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"
"76",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"
"77",TRUE,"https://wikipedia.org/wiki/U.S._Bureau_of_Labor_Statistics"
"78",TRUE,"https://wikipedia.org/wiki/U.S._Bureau_of_Labor_Statistics"
"79",TRUE,"https://wikipedia.org/wiki/World_Bank_Group"
"81",TRUE,"https://wikipedia.org/wiki/World_Bank_Group"
"83",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"84",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"85",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"86",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"87",TRUE,"https://wikipedia.org/wiki/World_Bank_Group"
"88",TRUE,"https://wikipedia.org/wiki/Mannheim_Business_School"
"89",TRUE,"https://wikipedia.org/wiki/World_Bank_Group"
"90",TRUE,"https://wikipedia.org/wiki/Mannheim_Business_School"
"91",TRUE,"https://wikipedia.org/wiki/United_Nations_Industrial_Development_Organization"
"92",TRUE,"https://wikipedia.org/wiki/Deutsche_Gesellschaft_für_Internationale_Zusammenarbeit"
"93",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"94",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"95",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"96",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"97",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"98",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"99",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"101",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"103",TRUE,"https://wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs"
