"","id","titles","authors","SDGs","weblink","keywords","description","audience"
"1",1,"Integrated Economic Statistics to support 2008 SNA implementation","Statistical Institute for Asia and the Pacific",",,,,,,Breaking the silos,,,,,,,,,,,,,,SDG8,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/intermediate-e-learning-course-on-integrated-economic-statistics-to-support-2008-sna-implementation/","national accounts, economic outlook, official statistics","This intermediate course on the integrated economic statistics focuses on the following topics:
Statistical Infrastructure for Economic Statistics
Administrative data sources
Economic Census, Surveys and statistical registers
Classification Frameworks

An overview of SNA – a brief recap
Domestic economy and the Rest of the World
Institutional units & sectors
SNA Aggregates and their coverage
SNA framework

Integrating economic censuses and business surveys into SUT/SNA estimation
Linkages of economic censuses to SNA measures
SNA measures in economic census questionnaires
Bench-marking SUT/GDP using economic census

Estimation Methods
Estimation of output and value added
Derivation of volume measures
Supply and Use Methods
Implications of 2008 SNA on GDP measures

, This intermediate course on the integrated economic statistics focuses on the following topics:, 
					Target audience
					Statisticians and economists working in the compilation of national accounts.
Researchers and others interested in the details of the national accounts.
 
				,  , 
					Learning objectives
					The course is designed with the following objectives:
Rationalize data sources for economic statistics and understand the inter-linkages between the various data collections and compilations;
Plan for effective economic census questionnaires and tabulation plans;
Plan for the use of economic census results for other economic data collections and in the compilation of national accounts.
At the end of the course, participants are expected to be able to:
Identify the data flows and additional data needs for implementing the recommendations of the 2008 SNA and core economic statistics as identified in the UNESCAP regional programme for economic statistics;
Build effective economic census instruments and analytical plan.
, The course is designed with the following objectives:, At the end of the course, participants are expected to be able to:","
					Target audience
					Statisticians and economists working in the compilation of national accounts.
Researchers and others interested in the details of the national accounts.
 
				"
"2",2,"SDG Indicator 5.a.1 - Equal tenure rights for women on agricultural land","Food and Agriculture Organization of the United Nations",",,,,,,Mulitple SDGs,,,,,,,,,,","https://www.unsdglearn.org/courses/sdg-indicator-5-a-1-equal-tenure-rights-for-women-on-agricultural-land-2/","2030 Agenda, land ownership, gender equality, gender statistics, tenure rights","This course is primarily intended for those who play a role in data collection, analysis and reporting for Indicator 5.a.1 – Equal tenure rights for women on agricultural land.
There are four lessons in this course, ranging from approximately 30 to 40 minutes duration each:
Lesson 1: Introduction to indicator on equal tenure rights for women on agricultural land
Lesson 2: Key definitions such as agricultural population, agricultural land, land ownership etc.
Lesson 3: Collecting the data; recommended data sources and survey modules
Lesson 4: Computing the 5.a.1 Indicator
Watch this video to find out more: https://youtu.be/ubNwoFFwrfw
											
							Download syllabus
							
									, This course is primarily intended for those who play a role in data collection, analysis and reporting for Indicator 5.a.1 – Equal tenure rights for women on agricultural land., There are four lessons in this course, ranging from approximately 30 to 40 minutes duration each:, Watch this video to find out more: https://youtu.be/ubNwoFFwrfw, 
					Target audience
					The target audience of this course includes:
Directors and senior staff of national statistical offices
Statisticians of national statistical offices
FAO regional statisticians
Policy makers or advisors
Representatives from legal and human rights institutions
, The target audience of this course includes:, 
					Learning objectives
					You will learn about:
Experience-based food security measurement, and its role in the SDGs
Explanation of the key phrases used within the 5.a.1 Indicator
Suitable data sources to use and selection processes and questions to capture the
reference population, including harmonization with other SDG indicators
Data manipulation and computing of Indicator 5.a.1
, You will learn about:","
					Target audience
					The target audience of this course includes:
Directors and senior staff of national statistical offices
Statisticians of national statistical offices
FAO regional statisticians
Policy makers or advisors
Representatives from legal and human rights institutions
"
"3",3,"Unleashing the Power of the Private Sector for the 2030 Agenda - 2021","United Nations System Staff College",",,,,,,Mulitple SDGs,,,,,,,,,,","https://www.unsdglearn.org/courses/unleashing-the-power-of-the-private-sector-for-the-2030-agenda-2021/","partnership framework, Public-Private Partnerships, partnership cycle, partnerships, 2030 Agenda","Registrations open from 10 February to 10 April
The 2030 Agenda for Sustainable Development is unprecedented in its scope and ambition. The UN and governments have neither the reach nor the resources to implement it alone. Engagement, especially with the private sector, is imperative for the 2030 Agenda to succeed.
The private sector with its unparalleled reach has the capacity to be a key driver to achieve the objectives of the 2030 Agenda and in some cases is already performing this role. The UN and its member states must seize the opportunity to form strategic partnerships with private sector entities and advocate for businesses to embrace sustainable development in order to achieve the 2030 Agenda.
Moreover, the 2030 Agenda offers the private sector numerous opportunities to access new markets and institutional investment, estimated at about $12 trillion by 2030 while adding 380 million new jobs. This in itself is a compelling argument for the private sector and governments to work together to make the 2030 Agenda a reality.
									, Registrations open from 10 February to 10 April, The 2030 Agenda for Sustainable Development is unprecedented in its scope and ambition. The UN and governments have neither the reach nor the resources to implement it alone. Engagement, especially with the private sector, is imperative for the 2030 Agenda to succeed., The private sector with its unparalleled reach has the capacity to be a key driver to achieve the objectives of the 2030 Agenda and in some cases is already performing this role. The UN and its member states must seize the opportunity to form strategic partnerships with private sector entities and advocate for businesses to embrace sustainable development in order to achieve the 2030 Agenda., Moreover, the 2030 Agenda offers the private sector numerous opportunities to access new markets and institutional investment, estimated at about $12 trillion by 2030 while adding 380 million new jobs. This in itself is a compelling argument for the private sector and governments to work together to make the 2030 Agenda a reality., 
					Target audience
					UN staff, especially partnership specialists and officers. Development practitioners from governments, civil society, academia and the private sector.
				, UN staff, especially partnership specialists and officers. Development practitioners from governments, civil society, academia and the private sector., 
					Learning objectives
					This five-week course introduces participants to the different types of private sector entities and demonstrates how strategically engaging with them can help implement the 2030 Agenda for Sustainable Development. It introduces participants to tools to identify common objectives to create shared value and emphasises the importance of mitigating risk. The course also reinforces the need for participants to advocate for placing sustainable development at the core of businesses and investing. The five weeks of the course will focus on:
Week 1: How partnerships are vital to the 2030 Agenda.
Week 2: The role of the private sector in implementing the 2030 Agenda.
Week 3: How to pursue partnerships with the private sector: frameworks for action.
Week 4: Due Diligence: protecting against reputational risk.
Week 5: Engaging with the private sector: way forward
At the end of the 5-weeks, participants will:
Benefit from an in-depth understanding of the imperative to engage with the private sector for the implementation of the 2030 Agenda and the concept of shared value;
Understand that the private sector is not a monolithic entity and how it can be engaged at every level, international, national and local.
Demonstrate an understanding of frameworks to design and tools to develop partnerships with the private sector;
Demonstrate an improved understanding of the importance of due diligence before pursuing engagements;
Be able to articulate the need for and advocate for more private sector engagement in achieving the 2030 Agenda.
, This five-week course introduces participants to the different types of private sector entities and demonstrates how strategically engaging with them can help implement the 2030 Agenda for Sustainable Development. It introduces participants to tools to identify common objectives to create shared value and emphasises the importance of mitigating risk. The course also reinforces the need for participants to advocate for placing sustainable development at the core of businesses and investing. The five weeks of the course will focus on:, At the end of the 5-weeks, participants will:","
					Target audience
					UN staff, especially partnership specialists and officers. Development practitioners from governments, civil society, academia and the private sector.
				"
"4",4,"Public Financial Management","WBG, WBG - OLC",",,,,,,Leave no one behind,,,,,,,,,,,,,,SDG9,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/engaging-citizens-in-the-audit-process-a-new-frontier-in-public-financial-management/","accountability","Supreme audit institutions (SAIs) play a critical role in the accountability system. They contribute to good governance and to improving the lives of citizens. Engaging citizens and fostering partnership with civil society can help them enhance the value of public oversight, strengthen the legitimacy of audit processes as well as SAIs’ independence. This course delves into the political economy of SAI-citizen engagement and offers tools to inform communication strategies and advance public participation at different stages of the audit cycle.
Over the past decade, SAIs around the world have started to deepen their engagement with citizens to increase the effectiveness and scope of their auditing practices. These efforts include pioneering various citizen engagement models to increase the effectiveness of the audit process and the effect of SAIs’ work to enhance value in the use of public resources.
The challenges as well as the opportunities for effective engagement between SAIs and citizens are many raising questions, such as, how can space be opened for SAIs and citizens to interact to enhance external oversight through greater participation, transparency, and accountability? Also, how can the tools and mechanisms be created for SAIs and citizens to interact and jointly work toward improving the audit process? Answering those questions is at the core of this e-learning course, which tries to address them in a practical, simple way while reinforcing the growing consensus regarding benefits that the collaboration brings.
In this course we will learn different tools to design participatory policies, measure short and long-term outcomes, and assess the overall performance and impact of citizen engagement interventions, through interactive multimedia presentations, practice exercises and quizzes.
									, Supreme audit institutions (SAIs) play a critical role in the accountability system. They contribute to good governance and to improving the lives of citizens. Engaging citizens and fostering partnership with civil society can help them enhance the value of public oversight, strengthen the legitimacy of audit processes as well as SAIs’ independence. This course delves into the political economy of SAI-citizen engagement and offers tools to inform communication strategies and advance public participation at different stages of the audit cycle., Over the past decade, SAIs around the world have started to deepen their engagement with citizens to increase the effectiveness and scope of their auditing practices. These efforts include pioneering various citizen engagement models to increase the effectiveness of the audit process and the effect of SAIs’ work to enhance value in the use of public resources., The challenges as well as the opportunities for effective engagement between SAIs and citizens are many raising questions, such as, how can space be opened for SAIs and citizens to interact to enhance external oversight through greater participation, transparency, and accountability? Also, how can the tools and mechanisms be created for SAIs and citizens to interact and jointly work toward improving the audit process? Answering those questions is at the core of this e-learning course, which tries to address them in a practical, simple way while reinforcing the growing consensus regarding benefits that the collaboration brings., In this course we will learn different tools to design participatory policies, measure short and long-term outcomes, and assess the overall performance and impact of citizen engagement interventions, through interactive multimedia presentations, practice exercises and quizzes., 
					Target audience
					This e-learning course targets Supreme Audit Institutions (SAIs) staff, representatives from Civil Society Organizations (CSOs) and citizens interested in understanding the challenges and opportunities for advancing public participation in the audit process. In particular, it targets SAIs’ staff responsible for the communication strategy, as well as auditors and other officials in charge of designing and implementing participatory mechanisms at different stages of the audit cycle.
Additionally, the e-learning course targets a broader audience including: CSOs working on transparency, accountability and social monitoring; citizens interested in advancing participation in public oversight; researchers from academic institutions and think tanks exploring the political economy of citizen engagement in public accountability; international cooperation agencies supporting PFM reform and accountability projects through advanced citizen engagement, among others.
				, This e-learning course targets Supreme Audit Institutions (SAIs) staff, representatives from Civil Society Organizations (CSOs) and citizens interested in understanding the challenges and opportunities for advancing public participation in the audit process. In particular, it targets SAIs’ staff responsible for the communication strategy, as well as auditors and other officials in charge of designing and implementing participatory mechanisms at different stages of the audit cycle., Additionally, the e-learning course targets a broader audience including: CSOs working on transparency, accountability and social monitoring; citizens interested in advancing participation in public oversight; researchers from academic institutions and think tanks exploring the political economy of citizen engagement in public accountability; international cooperation agencies supporting PFM reform and accountability projects through advanced citizen engagement, among others., 
					Learning objectives
					Build participants’ awareness about the challenges and opportunities for engaging citizens in the audit process.
Offer tools and strategies to inform participation and two-way communication practices so as to help maximize the effect of external oversight to ensure more efficient and effective use of public resources and to prevent mismanagement and corruption.
Share good practices implemented around the globe that are illustrative of SAI–Citizen Engagement at different stages of the audit cycle (planning, execution, dissemination of audit results and follow-up of audit findings and recommendations).
Assist participants in building an effective citizen engagement framework that is supported by international rules and regulations.
Explore strategies to adequately implement engagement mechanisms that take into consideration the specific country contexts.
Present methods and tools to effectively design appropriate indicators to measure progress and results of citizen engagement mechanisms.
","
					Target audience
					This e-learning course targets Supreme Audit Institutions (SAIs) staff, representatives from Civil Society Organizations (CSOs) and citizens interested in understanding the challenges and opportunities for advancing public participation in the audit process. In particular, it targets SAIs’ staff responsible for the communication strategy, as well as auditors and other officials in charge of designing and implementing participatory mechanisms at different stages of the audit cycle.
Additionally, the e-learning course targets a broader audience including: CSOs working on transparency, accountability and social monitoring; citizens interested in advancing participation in public oversight; researchers from academic institutions and think tanks exploring the political economy of citizen engagement in public accountability; international cooperation agencies supporting PFM reform and accountability projects through advanced citizen engagement, among others.
				"
"5",5,"TrainForTrade E-Learn Course On International Merchandise Trade Statistics","UNSD, UNCTAD, WTO",",,,,,,2030 Agenda,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Trade,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/e-learning-on-international-merchandise-trade-statistics/","foreign trade, international trade, trade, growth, development","This TrainForTrade e-learning course on IMTS was developed and produced jointly by UNSD, UNCTAD and WTO in close collaboration with the Inter-Agency Task Force on International Trade Statistics in 2018. The objective is to provide more globally accessible and rather complete training material for those involved in the collection, compilation, analysis and dissemination of International Merchandise Trade Statistics (IMTS). That is, the course is annually organized to meet the needs for technical assistance in the compilation of IMTS and contributes to address the aims of Goal 17 of the 2030 Agenda for Sustainable Development. This year, it will be conducted from 16 March to 24 April.
											
							Download syllabus
							
									, 
					Target audience
					This course was designed mainly for trade data compilers and statisticians working in National Statistical Offices (NSOs), Central Banks, Ministry of Trade and in Customs Administration Offices. However, users of trade data e.g.  professionals involved in trade negotiations and analysts (working for Ministries of Foreign affairs, Agriculture, Transport, Energy, Chamber of Commerce, Industry, etcetera) can also benefit from the course.
				, 
					Learning objectives
					Main goals of the course are to enhance statisticians’ ability to apply the most recent internationally agreed recommendations on IMTS, define best possible data sources, set up adequate (or enforce existing) collection systems, and enhance statistics compilation and production processes. The course focuses on the following topics: Conceptual Framework, Institutional Arrangement, Production and Compilation, Metadata and Quality, Dissemination and Analysis and New Areas of Work. Furthermore, the course emphasizes the importance of quality, metadata, timely dissemination, and links to economic analysis and national policy objectives. The course enhances trainees’ capacity to make better use of the internationally agreed guidance, especially the IMTS Concepts and Definitions 2010 and the related Compilers Manual.
				, Main goals of the course are to enhance statisticians’ ability to apply the most recent internationally agreed recommendations on IMTS, define best possible data sources, set up adequate (or enforce existing) collection systems, and enhance statistics compilation and production processes. The course focuses on the following topics: Conceptual Framework, Institutional Arrangement, Production and Compilation, Metadata and Quality, Dissemination and Analysis and New Areas of Work. Furthermore, the course emphasizes the importance of quality, metadata, timely dissemination, and links to economic analysis and national policy objectives. The course enhances trainees’ capacity to make better use of the internationally agreed guidance, especially the IMTS Concepts and Definitions 2010 and the related Compilers Manual.","
					Target audience
					This course was designed mainly for trade data compilers and statisticians working in National Statistical Offices (NSOs), Central Banks, Ministry of Trade and in Customs Administration Offices. However, users of trade data e.g.  professionals involved in trade negotiations and analysts (working for Ministries of Foreign affairs, Agriculture, Transport, Energy, Chamber of Commerce, Industry, etcetera) can also benefit from the course.
				"
"6",6,"Social indicators for public policies and programmes","Brazilian Institute of Geography and Statistics",",,,,,,SDG16,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/social-indicators-for-public-policies-and-programmes/","social indicators, social policy and income distribution, poverty, labor market","This course is offered by professor Paulo Jannuzzi of the National School of Statistical Sciences (ENCE). The content encompasses concepts, types and properties of indicators; information demand for the elaboration and evaluation of policies and programmes; indicators and international agenda (SDGs); main data sources, social reports and research; main indicators on labor market, income inequality and poverty; use of indicators for socioeconomic diagnoses and management capacity.
									, This course is offered by professor Paulo Jannuzzi of the National School of Statistical Sciences (ENCE). The content encompasses concepts, types and properties of indicators; information demand for the elaboration and evaluation of policies and programmes; indicators and international agenda (SDGs); main data sources, social reports and research; main indicators on labor market, income inequality and poverty; use of indicators for socioeconomic diagnoses and management capacity., 
					Target audience
					Civil servants, researchers and students.
				, Civil servants, researchers and students., 
					Learning objectives
					Analyse and apply information from governmental institutions and research centers to elaborate public policies and programmes.
				, Analyse and apply information from governmental institutions and research centers to elaborate public policies and programmes.","
					Target audience
					Civil servants, researchers and students.
				"
"7",7,"Introduction to Big Data for Sustainable Development","Data-Pop Alliance",",,,,,,2030 Agenda,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/introduction-to-big-data-for-sustainable-development/","2030 Agenda, big data, data, sustainable development, sustainable and resilient societies","Subject Matter
We offer a thematic focus, which allows the audience to centre on specific issues of sustainable development directly related to their work, such as Inequalities and Discriminations, Migration and Displacement, Violence and Crime, Sustainable Futures, Human AI and Society, and Sustainable Development as a general topic. A technical component can be included according to the necessities of your team.
Format
We provide on-site training of 12 to 18 teaching hours distributed between 2 and 3 days. These are delivered by a team of three training specialists and, depending on the organizational necessities, many other invited experts.
Syllabus

A. Introduction to the “3 Cs of Big Data” in the context of sustainable development



Crumbs: understand the different types of data passively emitted and/or collected by digital devices, and the unique insights they contain about individuals’ behaviors and beliefs;
Capacities: introduce the set of tools and methods, hardware and software, know-how and skills, also referred to as Big Data Analytics, necessary to process and analyze these new kinds of data—including visualization techniques, statistical machine-learning, and algorithms, etc;
Culture and Communities: understand the new “political economy” emerging with Big Data, including key stakeholders in the ecosystem (i.e. private sector), core issues related to data protection, privacy and ethics and challenges related to data access and governance.
Becoming familiar with concepts, tools, sources and the larger ecosystem around Big Data will equip participants with a new perspective on developmental challenges and then advocate for employing Big Data techniques to solve them.
B. Project Lab
To complement the introductory part of the workshop, we offer a Project Lab on Big Data for Sustainable Development. This activity, of a participatory and collaborative nature, has the objective of giving participants the opportunity to ‘mock’ structure a development project focused on data. From structuring the main project questions, the goals and the sources of information to be used, to discussing the methods and tools needed to carry out the research or development of said project, the Project Lab ends with an in-depth discussion on the challenges of data projects, including considerations of great relevance such as ethics, representativeness and data protection.


									, Subject Matter
We offer a thematic focus, which allows the audience to centre on specific issues of sustainable development directly related to their work, such as Inequalities and Discriminations, Migration and Displacement, Violence and Crime, Sustainable Futures, Human AI and Society, and Sustainable Development as a general topic. A technical component can be included according to the necessities of your team., Format
We provide on-site training of 12 to 18 teaching hours distributed between 2 and 3 days. These are delivered by a team of three training specialists and, depending on the organizational necessities, many other invited experts., Syllabus, Becoming familiar with concepts, tools, sources and the larger ecosystem around Big Data will equip participants with a new perspective on developmental challenges and then advocate for employing Big Data techniques to solve them., B. Project Lab, To complement the introductory part of the workshop, we offer a Project Lab on Big Data for Sustainable Development. This activity, of a participatory and collaborative nature, has the objective of giving participants the opportunity to ‘mock’ structure a development project focused on data. From structuring the main project questions, the goals and the sources of information to be used, to discussing the methods and tools needed to carry out the research or development of said project, the Project Lab ends with an in-depth discussion on the challenges of data projects, including considerations of great relevance such as ethics, representativeness and data protection., 
					Target audience
					Designed for professionals who work in varied topics related to sustainable development, this introductory workshop is targeted towards participants who have very little, or no experience with Big Data in their work.
				, Designed for professionals who work in varied topics related to sustainable development, this introductory workshop is targeted towards participants who have very little, or no experience with Big Data in their work., 
					Learning objectives
					At the end of the course, you will be able to:
Context & Concepts
1. Decode key terms and buzzwords in the Big Data and development landscape2. Discuss Big Data within the broader political context of the post-2015 sustainable development framework and data for social good3. Translate development problems into specific data objectives
Methods & Tools
4. Understand existing methods and tools used to leverage Big Data5. Assess data representativeness, biases, and insights within Big Data-driven approaches and methods6. Identify applicable tools by assessing the value add of Big Data for specific development problems
Design & Strategy
7. Identify individual and organizational objectives towards a Big Data strategy8. Understand how to operationalize Big Data as projects, partnerships, and policies9. Recognize individual and organizational next steps towards Big Data applications
Ethics & Engagement
10. Identify models for prioritizing inclusivity, transparency and accountability in data public-private-people partnerships11. Articulate and assess ethical, privacy, and legal implications of Big Data applications12. Understand key principles for effective data communication and storytelling
				, At the end of the course, you will be able to:, Context & Concepts, 1. Decode key terms and buzzwords in the Big Data and development landscape2. Discuss Big Data within the broader political context of the post-2015 sustainable development framework and data for social good3. Translate development problems into specific data objectives, Methods & Tools, 4. Understand existing methods and tools used to leverage Big Data5. Assess data representativeness, biases, and insights within Big Data-driven approaches and methods6. Identify applicable tools by assessing the value add of Big Data for specific development problems, Design & Strategy, 7. Identify individual and organizational objectives towards a Big Data strategy8. Understand how to operationalize Big Data as projects, partnerships, and policies9. Recognize individual and organizational next steps towards Big Data applications, Ethics & Engagement, 10. Identify models for prioritizing inclusivity, transparency and accountability in data public-private-people partnerships11. Articulate and assess ethical, privacy, and legal implications of Big Data applications12. Understand key principles for effective data communication and storytelling","
					Target audience
					Designed for professionals who work in varied topics related to sustainable development, this introductory workshop is targeted towards participants who have very little, or no experience with Big Data in their work.
				"
"8",8,"Communicating Gender Statistics","Partnership in Statistics for Development in the 21st Century",",,,,,,Leave no one behind,,,,,,,,,,,,,,SDG5,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/communicating-gender-statistics-for-gender-equality/","gender data, data communication, gender equality, gender statistics","This online and freely available course on Communicating Gender Statistics is designed to guide journalists and statisticians to use statistics to report on the unique situation and needs of women and men. Through 4 modules, the course introduces journalists and statisticians to the unique and complementary roles they each can play in promoting gender equality through gender data, highlighting opportunities for collaboration and partnership between the two communities.
This course was developed by PARIS21 in collaboration with UN Women as part of the ‘Making Every Woman and Girl Count’ initiative. Working globally, ‘Women Count’ is transforming statistical systems to be more gender responsive, connecting gender data communities, and influencing evidence-based policy changes to change the lives of women and girls.
A certificate by UN Women and PARIS21 is available at completion.
									, This online and freely available course on Communicating Gender Statistics is designed to guide journalists and statisticians to use statistics to report on the unique situation and needs of women and men. Through 4 modules, the course introduces journalists and statisticians to the unique and complementary roles they each can play in promoting gender equality through gender data, highlighting opportunities for collaboration and partnership between the two communities., This course was developed by PARIS21 in collaboration with UN Women as part of the ‘Making Every Woman and Girl Count’ initiative. Working globally, ‘Women Count’ is transforming statistical systems to be more gender responsive, connecting gender data communities, and influencing evidence-based policy changes to change the lives of women and girls., A certificate by UN Women and PARIS21 is available at completion., 
					Target audience
					Journalists and statisticians are the main target audiences for this course, however the content is open and accessible to anyone who is looking to improve their understanding of gender statistics and develop their data communication skills. In addition to joint sessions on key issues and themes, the course includes dedicated sessions for journalists and statisticians individually for more targeted content delivery. These sessions are clearly designated in the course outline, but remain open to all participants. Each learning session concludes with a short quiz to facilitate learning retention.
				, Journalists and statisticians are the main target audiences for this course, however the content is open and accessible to anyone who is looking to improve their understanding of gender statistics and develop their data communication skills. In addition to joint sessions on key issues and themes, the course includes dedicated sessions for journalists and statisticians individually for more targeted content delivery. These sessions are clearly designated in the course outline, but remain open to all participants. Each learning session concludes with a short quiz to facilitate learning retention., 
					Learning objectives
					Participants who undertake the course on communicating gender statistics will learn:
 How gender issues are (and are not) reflected in official statistics and why gender data is so important to support sustainable development and gender equality
 How to use and explain gender statistics to inform policy makers, civil society organisations, the general public, and key stakeholders about the state of gender equality
 How the roles of journalists and statisticians are complementary, and can serve important functions in communicating gender statistics
 How to leverage these complementary roles to develop effective collaborations to communicate and disseminate gender statistics to the public
, Participants who undertake the course on communicating gender statistics will learn:","
					Target audience
					Journalists and statisticians are the main target audiences for this course, however the content is open and accessible to anyone who is looking to improve their understanding of gender statistics and develop their data communication skills. In addition to joint sessions on key issues and themes, the course includes dedicated sessions for journalists and statisticians individually for more targeted content delivery. These sessions are clearly designated in the course outline, but remain open to all participants. Each learning session concludes with a short quiz to facilitate learning retention.
				"
"9",9,"Designing a Multidimensional Poverty Index","UNDP, Oxford",",,,,,,SDG1,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/designing-a-multidimensional-poverty-index/","2030 Agenda, MPI, Multidimensional Poverty, SDG 1, poverty","The United Nations Development Programme (UNDP) and the Oxford Poverty and Human Development Initiative (OPHI), Oxford University are offering a FREE five-week Massive Open Online Course (MOOC) “Designing a Multidimensional Poverty Index.”  This five-week course facilitated in English draws on a handbook, How to Build a National Multidimensional Poverty Index (MPI): Using the MPI to inform the SDGs, launched by UNDP and OPHI in July 2019. The MPI complements traditional monetary poverty measures by capturing severe deprivations in education, health, living standards, employment, safety, and many other dimensions of poverty. Using country and sub-national examples, this course offers detailed practical guidance for policymakers, technical experts, and other stakeholders on how to design an MPI at the national and local levels.
MOOC highlights and outcomes:
Gain hands-on tools to develop a comprehensive measure capturing the many deprivations faced by the poor
Interact with experts who are actively engaged in developing national and subnational MPIs
Join the Community-of-Practice committed to ending multidimensional poverty
Take a deep dive into rich learning materials
Receive a certificate of completion from premier international development institutions
, The United Nations Development Programme (UNDP) and the Oxford Poverty and Human Development Initiative (OPHI), Oxford University are offering a FREE five-week Massive Open Online Course (MOOC) “Designing a Multidimensional Poverty Index.”  This five-week course facilitated in English draws on a handbook, How to Build a National Multidimensional Poverty Index (MPI): Using the MPI to inform the SDGs, launched by UNDP and OPHI in July 2019. The MPI complements traditional monetary poverty measures by capturing severe deprivations in education, health, living standards, employment, safety, and many other dimensions of poverty. Using country and sub-national examples, this course offers detailed practical guidance for policymakers, technical experts, and other stakeholders on how to design an MPI at the national and local levels., MOOC highlights and outcomes:, 
					Target audience
					The course is aimed at technicians and politicians who are engaged in developing national and subnational MPIs but is open to everyone.
				, The course is aimed at technicians and politicians who are engaged in developing national and subnational MPIs but is open to everyone., 
					Learning objectives
					By the time the course in completed, participants will be able to:
Understand the steps involved in developing a robust Multidimensional Poverty Index
Examine the normative choices and technical requirements of multidimensional poverty measurement
Understand the key aspects of stakeholder engagement in designing and using an MPI
Monitor, analyze and report progress in reducing multidimensional poverty at national and local levels, in line with the 2030 Agenda for Sustainable Development
, By the time the course in completed, participants will be able to:","
					Target audience
					The course is aimed at technicians and politicians who are engaged in developing national and subnational MPIs but is open to everyone.
				"
"10",10,"Public-Private Partnerships","United Nations Children’s Fund",",,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/public-private-partnerships-ppplab-unicef-project/","children, Public-Private Partnerships, food, water, private sector","PPPLab seeks to create and share knowledge for all stakeholders engaged with Public-Private Partnerships for food, water, and private sector development, and for the wider community interested in them.
The PPP Lab “Insights” eLearning curriculum is an online version of the PPP Insights eLearning print booklets.
This course provides an online treatment of the content in the five booklets in PPPLab Food & Water Insights series.
Methodology
This course consists of five self-paced eLearning tutorials that include examples, case studies and videos.
Structure
The modules in this course reflect the booklets and learning objectives of the PPPLab Food & Water Insight Series booklets.
Public-Private Partnerships: a Brief Introduction
Building Partnerships
Partnerships for Inclusive Business Development
Financing Public-Private Partnerships
Partnering with Governments
, PPPLab seeks to create and share knowledge for all stakeholders engaged with Public-Private Partnerships for food, water, and private sector development, and for the wider community interested in them., The PPP Lab “Insights” eLearning curriculum is an online version of the PPP Insights eLearning print booklets., This course provides an online treatment of the content in the five booklets in PPPLab Food & Water Insights series., Methodology
This course consists of five self-paced eLearning tutorials that include examples, case studies and videos., Structure
The modules in this course reflect the booklets and learning objectives of the PPPLab Food & Water Insight Series booklets., 
					Target audience
					UNICEF staff
PPPLab Food & Water and consortium member staff
External organizations and individuals interested in the mission of PPPLab Food & Water
Anyone interested in learning more about Public-Private Partnerships
, 
					Learning objectives
					Module 1
Upon completion of module one, learners will be able to:
Define Public-Private partnerships
Describe types of Public-Private partnerships: Philanthropic, Transactional, Integrative and Transformative
Discuss the purpose of combining public and private resources
Differentiate between state, market and civil society domains
Summarize the value of a blended value proposition
Module 2
Upon completion of module two, learners will be able to:
Describe the four phases of a public-private partnership
Explain the Critical Success Factors of Public-Private partnerships
Discuss mutuality and tradeoffs in the partnership process
Module 3
Upon completion of module three, learners will be able to:
Define the Base of the Pyramid socio-economic segment
Explain why businesses pursue inclusive business
Describe how inclusive businesses engage with the agricultural sector
Discuss inclusive business and Public-Private Partnerships
Module 4
Upon completion of module four, learners will be able to:
Describe basic financials for a Public-Private partnership
Explain the use of PPPCanvas to develop a business case for a project
Discuss innovative financing options for Public-Private partnership projects
Summarize tips and tricks to improve Public-Private partnership funding strategies
Module 5
Upon completion of module five, learners should be able to:
Define the Government role in Public-Private Partnerships
Summarize the incentives for Government in Public-Private Partnerships
Describe Government roles and their contribution to Public-Private Partnerships
Explain how to effectively partner with Governments
, Module 1, Upon completion of module one, learners will be able to:, Module 2, Upon completion of module two, learners will be able to:, Module 3, Upon completion of module three, learners will be able to:, Module 4, Upon completion of module four, learners will be able to:, Module 5, Upon completion of module five, learners should be able to:","
					Target audience
					UNICEF staff
PPPLab Food & Water and consortium member staff
External organizations and individuals interested in the mission of PPPLab Food & Water
Anyone interested in learning more about Public-Private Partnerships
"
