"","id","exists","weblink_au","category"
"1",1,TRUE,"https://wikipedia.org/wiki/Erasmus_University_Rotterdam"," Public"
"2",2,TRUE,"https://wikipedia.org/wiki/Erasmus_University_Rotterdam"," Public"
"3",3,TRUE,"https://wikipedia.org/wiki/Lund_University"," Public research university"
"4",4,TRUE,"https://wikipedia.org/wiki/The_University_of_North_Carolina_at_Chapel_Hill"," Public research university"
"5",5,TRUE,"https://wikipedia.org/wiki/University_of_Cape_Town"," Public"
"6",6,TRUE,"https://wikipedia.org/wiki/University_of_Geneva"," Public university"
"7",7,TRUE,"https://wikipedia.org/wiki/University_of_Manchester",NA
"8",8,TRUE,"https://wikipedia.org/wiki/American_Museum_of_Natural_History"," Natural history"
"9",9,TRUE,"https://wikipedia.org/wiki/Howard_Hughes_Medical_Institute",NA
"10",10,TRUE,"https://wikipedia.org/wiki/University_of_Alberta"," Public"
"11",11,TRUE,"https://wikipedia.org/wiki/University_of_Colorado_Boulder"," Public research university"
"12",12,TRUE,"https://wikipedia.org/wiki/American_Museum_of_Natural_History"," Natural history"
"13",13,TRUE,"https://wikipedia.org/wiki/University_of_Cape_Town"," Public"
"14",14,TRUE,"https://wikipedia.org/wiki/The_University_of_Chicago"," Private research university"
"15",15,TRUE,"https://wikipedia.org/wiki/University_of_Arizona"," Public land-grant research university"
"16",16,TRUE,"https://wikipedia.org/wiki/University_of_Illinois_at_Urbana-Champaign"," Public land-grant research university"
"17",17,TRUE,"https://wikipedia.org/wiki/University_of_Copenhagen"," Public research university[1]"
"18",18,TRUE,"https://wikipedia.org/wiki/Columbia_University"," Royal (1754–1776)Private research university (1776–present)"
"19",19,TRUE,"https://wikipedia.org/wiki/University_of_Michigan"," Public research university"
"20",20,TRUE,"https://wikipedia.org/wiki/University_of_Colorado_System",NA
"21",21,TRUE,"https://wikipedia.org/wiki/NA",NA
"22",22,TRUE,"https://wikipedia.org/wiki/Technical_University_of_Denmark_(DTU)"," Public"
"23",23,TRUE,"https://wikipedia.org/wiki/The_World_Bank_Group"," Intergovernmental organization"
"24",24,TRUE,"https://wikipedia.org/wiki/University_of_Michigan"," Public research university"
"25",25,TRUE,"https://wikipedia.org/wiki/Technical_University_of_Denmark_(DTU)"," Public"
"26",26,TRUE,"https://wikipedia.org/wiki/University_of_London"," Public"
"27",27,TRUE,"https://wikipedia.org/wiki/SOAS_University_of_London"," Public"
"28",28,TRUE,"https://wikipedia.org/wiki/University_of_California_San_Diego"," Public land-grant research university"
"29",29,TRUE,"https://wikipedia.org/wiki/UNITAR"," Research and training institute"
"30",30,TRUE,"https://wikipedia.org/wiki/UN_DESA"," Department"
"31",31,TRUE,"https://wikipedia.org/wiki/ECLAC"," Primary Organ - Regional Branch"
"32",32,TRUE,"https://wikipedia.org/wiki/UNSSC"," Research and training institute"
"33",33,TRUE,"https://wikipedia.org/wiki/UNDP"," Programme"
"34",34,TRUE,"https://wikipedia.org/wiki/UNSSC"," Research and training institute"
"35",35,TRUE,"https://wikipedia.org/wiki/UNITAR"," Research and training institute"
"36",36,TRUE,"https://wikipedia.org/wiki/UNSSC"," Research and training institute"
"37",37,TRUE,"https://wikipedia.org/wiki/Hertie_School"," Private"
"38",38,TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division",NA
"39",39,TRUE,"https://wikipedia.org/wiki/UNITAR"," Research and training institute"
"40",40,TRUE,"https://wikipedia.org/wiki/MI",NA
"41",41,TRUE,"https://wikipedia.org/wiki/UNSSC"," Research and training institute"
"42",42,TRUE,"https://wikipedia.org/wiki/UNEP"," Programme"
"43",43,TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division",NA
"44",44,TRUE,"https://wikipedia.org/wiki/UNOG",NA
"45",45,TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"," Research and training institute"
"46",46,TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"," Research and training institute"
"47",47,TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division",NA
"48",48,TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"," Research and training institute"
"49",49,TRUE,"https://wikipedia.org/wiki/UNSSC"," Research and training institute"
"50",50,TRUE,"https://wikipedia.org/wiki/Hertie_School"," Private"
"51",51,TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division",NA
"52",52,TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"," Research and training institute"
"53",53,TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"," Research and training institute"
"54",54,TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific"," Primary Organ – Regional Branch"
"55",55,TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"," Research and training institute"
"56",56,TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"," Primary Organ - Regional Branch"
"57",57,TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"," Research and training institute"
"58",58,TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"," Research and training institute"
"59",59,TRUE,"https://wikipedia.org/wiki/MI",NA
"60",60,TRUE,"https://wikipedia.org/wiki/UiB"," Public University"
"61",61,TRUE,"https://wikipedia.org/wiki/UNSSC"," Research and training institute"
"62",62,TRUE,"https://wikipedia.org/wiki/UNITAR"," Research and training institute"
"63",63,TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"," Research and training institute"
